section	ix	mc	mn	onset	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	staff	voice	volta
0	0	0	1	0	1/16		1/16	1		-2	58	2	1	
0	1	0	1	0	1/4		1/4	1		-2	70	1	1	
0	2	0	1	1/16	1/16		1/16	1		-1	65	2	1	
0	3	0	1	1/8	1/16		1/16	1		2	62	2	1	
0	4	0	1	3/16	1/16		1/16	1		-1	65	2	1	
0	5	0	1	1/4	1/16		1/16	1		-2	58	2	1	
0	6	0	1	1/4	3/16		1/8	3/2		2	74	1	1	
0	7	0	1	5/16	1/16		1/16	1		-1	65	2	1	
0	8	0	1	3/8	1/16		1/16	1		2	62	2	1	
0	9	0	1	7/16	1/16		1/16	1		-1	65	2	1	
0	10	0	1	7/16	0	grace32	1/32	1		0	72	1	1	
0	11	0	1	7/16	0	grace32	1/32	1		2	74	1	1	
0	12	0	1	7/16	0	grace32	1/32	1		2	74	1	1	
0	13	0	1	7/16	0	grace32	1/32	1		-3	75	1	1	
0	14	0	1	7/16	1/16		1/16	1		-3	75	1	1	
0	15	0	1	1/2	1/16		1/16	1		3	57	2	1	
0	16	0	1	1/2	3/16		1/8	3/2		4	76	1	1	
0	17	0	1	9/16	1/16		1/16	1		-1	65	2	1	
0	18	0	1	5/8	1/16		1/16	1		0	60	2	1	
0	19	0	1	11/16	1/16		1/16	1		-1	65	2	1	
0	20	0	1	11/16	1/16		1/16	1		-1	77	1	1	
0	21	0	1	3/4	1/16		1/16	1		3	57	2	1	
0	22	0	1	3/4	1/8		1/8	1		0	72	1	1	
0	23	0	1	13/16	1/16		1/16	1		-1	65	2	1	
0	24	0	1	7/8	1/16		1/16	1		0	60	2	1	
0	25	0	1	15/16	1/16		1/16	1		-1	65	2	1	
0	26	1	2	0	1/16		1/16	1		1	55	2	1	
0	27	1	2	0	3/16		1/8	3/2		-3	75	1	1	
0	28	1	2	1/16	1/16		1/16	1		-3	63	2	1	
0	29	1	2	1/8	1/16		1/16	1		-2	58	2	1	
0	30	1	2	3/16	1/16		1/16	1		-3	63	2	1	
0	31	1	2	3/16	0	grace32	1/32	1		2	74	1	1	
0	32	1	2	3/16	0	grace32	1/32	1		-3	75	1	1	
0	33	1	2	3/16	0	grace32	1/32	1		-3	75	1	1	
0	34	1	2	3/16	0	grace32	1/32	1		-1	77	1	1	
0	35	1	2	3/16	1/16		1/16	1		-1	77	1	1	
0	36	1	2	1/4	1/16		1/16	1		-3	51	2	1	
0	37	1	2	1/4	3/16		1/8	3/2		1	79	1	1	
0	38	1	2	5/16	1/16		1/16	1		-2	58	2	1	
0	39	1	2	3/8	1/16		1/16	1		1	55	2	1	
0	40	1	2	7/16	1/16		1/16	1		-2	58	2	1	
0	41	1	2	7/16	0	grace32	1/32	1		-1	77	1	1	
0	42	1	2	7/16	0	grace32	1/32	1		1	79	1	1	
0	43	1	2	7/16	0	grace32	1/32	1		1	79	1	1	
0	44	1	2	7/16	0	grace32	1/32	1		3	81	1	1	
0	45	1	2	7/16	1/16		1/16	1		3	81	1	1	
0	46	1	2	1/2	1/16		1/16	1		2	50	2	1	
0	47	1	2	1/2	3/16		1/8	3/2		3	81	1	1	
0	48	1	2	9/16	1/16		1/16	1		-2	58	2	1	
0	49	1	2	5/8	1/16		1/16	1		-1	53	2	1	
0	50	1	2	11/16	1/16		1/16	1		-2	58	2	1	
0	51	1	2	11/16	1/16		1/16	1		-2	82	1	1	
0	52	1	2	3/4	1/16		1/16	1		2	50	2	1	
0	53	1	2	3/4	1/8		1/8	1		-1	77	1	1	
0	54	1	2	13/16	1/16		1/16	1		-2	58	2	1	
0	55	1	2	7/8	1/16		1/16	1		-1	53	2	1	
0	56	1	2	15/16	1/16		1/16	1		-2	58	2	1	
0	57	2	3	0	1/16		1/16	1		-3	51	2	1	
0	58	2	3	0	3/16		1/8	3/2		1	79	1	1	
0	59	2	3	1/16	1/16		1/16	1		1	55	2	1	
0	60	2	3	1/8	1/16		1/16	1		-3	51	2	1	
0	61	2	3	3/16	1/16		1/16	1		5	59	2	1	
0	62	2	3	3/16	1/32		1/32	1		-4	80	1	1	
0	63	2	3	7/32	1/32		1/32	1		1	79	1	1	
0	64	2	3	1/4	1/16		1/16	1		-3	51	2	1	
0	65	2	3	1/4	1/16		1/16	1		-1	77	1	1	
0	66	2	3	5/16	1/16		1/16	1		0	60	2	1	
0	67	2	3	5/16	1/16		1/16	1		-3	75	1	1	
0	68	2	3	3/8	1/16		1/16	1		-3	51	2	1	
0	69	2	3	3/8	1/16		1/16	1		2	74	1	1	
