mn	onset	cadence	cadence_subtype
4.0	1/4	HC	
8.0	0	PAC	
14.0	1/4	HC	
22.0	0	EC	MEL
25.0	0	EC	MEL
29.0	0	PAC	
35.0	0	EC	
37.0	0	PAC	
43.0	0	HC	PH
51.0	1/8	HC	CON
53.0	1/4	HC	PH
57.0	1/4	HC	
61.0	0	PAC	
67.0	1/4	HC	
77.0	0	EC	MEL
80.0	0	EC	MEL
84.0	0	PAC	
