mn	onset	cadence
4.0	3/4	HC
8.0	1/2	PAC
12.0	5/8	IAC
16.0	3/8	HC
19.0	0	PAC
24.0	3/4	HC
28.0	1/2	PAC
32.0	5/8	IAC
36.0	3/8	HC
39.0	0	PAC
