mn	onset	cadence	cadence_subtype
4.0	1/4	HC	
8.0	1/4	PAC	
16.0	1/4	PAC	
20.0	0	HC	PH
24.0	0	PAC	
31.0	0	HC	PH
35.0	0	HC	PH
39.0	0	PAC	
47.0	1/4	HC	
51.0	1/4	PAC	
59.0	0	PAC	
62.0	0	PAC	
65.0	0	PAC	
