mn	onset	cadence	cadence_subtype
3	3/4	HC	
7	1/2	PAC	
13	1/2	PAC	
19	3/4	HC	
23	1/2	PAC	
38	0	HC	PH
43	3/4	HC	
45	0	PAC	
47	1/2	PAC	
49	1/2	PAC	
54	0	PAC	
