mn	onset	cadence
4	1/4	IAC
5	1/4	HC
8	1/4	HC
16	1/4	PAC
24	1/4	HC
32	1/4	PAC
40	0	PAC
44	1/4	HC
49	1/4	HC
52	1/4	PAC
60	0	PAC
64	1/4	HC
68	1/4	IAC
72	1/4	IAC
73	1/4	HC
76	0	PAC
