measure	beat	label
8	1.5	IAC
12	1	PAC
14	1	PAC
16	1	PAC
18	2	HC
31	2.5	DC
34	1	PAC
38	1.5	HC.CON
42	1	PAC
48	1	PAC
54	1	PAC
56	1	PAC
58	1	PAC
66	1	IAC
79	1	HC.CON
83	1	HC
95	1.5	IAC
99	1	PAC
101	1	PAC
103	1	PAC
105	2	HC
118	2.5	DC
121	1	PAC
125	1.5	HC.CON
129	1	PAC
135	1	PAC
141	1	PAC
143	1	PAC
145	1	PAC
