mn	onset	cadence	cadence_subtype
8	1/8	HC	
15	1/8	HC	
23	0	PAC	
31	0	DC	
35	0	PAC	
39	0	PAC	
59	1/4	HC	PH
69	1/8	HC	
76	1/8	HC	
84	0	PAC	
88	1/4	DC	
92	0	DC	
96	0	PAC	
98	0	EC	
100	0	PAC	
