mn	onset	cadence	cadence_subtype
6	1/2	HC	CON
12	1/2	PAC	
18	1/2	HC	
26	1/2	IAC	
30	0	PAC	
44	1/2	HC	CON
50	1/2	PAC	
58	0	HC	PH
67	0	PAC	
79	0	HC	PH
88	1/2	HC	CON
94	1/2	PAC	
98	1/2	IAC	
102	1/2	PAC	
108	1/2	HC	
116	0	PAC	
125	1/2	HC	CON
131	1/2	PAC	
139	1/2	IAC	
143	0	DC	
147	0	DC	
152	0	HC	PH
170	0	PAC	
180	0	EC	
184	0	PAC	
