measure	beat	label
8	2.0	HC.TEN
16	1.0	PAC
30	1.0	PAC
44	1.0	PAC
58	1.0	HC.PH
60	1.0	HC.PH
62	1.0	HC.PH
74	1.0	PAC
82	1.0	PAC
90	1.0	PAC
111	2.0	HC.TEN
119	1.0	PAC
133	1.0	PAC
179	1.0	HC.PH
181	1.0	HC.PH
183	1.0	HC.PH
197	1.0	PAC
205	1.0	PAC
228	2.0	HC.TEN
248	1.0	PAC
262	1.0	PAC
287	1.0	PAC
301	1.0	DC
309	1.0	PAC
