measure	beat	label
10	1.0	PAC
16	1.0	PAC
22	1.0	HC
26	3.0	HC
30	3.0	HC
38	1.0	PAC
43	1.0	PAC
48	1.0	EC.MEL
51	1.0	PAC
62	1.0	PAC
89	1.0	HC
93	3.0	HC
97	3.0	HC
105	1.0	PAC
110	1.0	PAC
115	1.0	EC.MEL
118	1.0	PAC
