mn	onset	cadence	cadence_subtype
4.0	0	EC	
6.0	1/4	PAC	
10.0	0	HC	CON
17.0	0	EC	
21.0	0	EC	
26.0	0	PAC	
27.0	0	PAC	
28.0	1/2	PAC	
32.0	1/4	HC	PH
35.0	0	EC	
37.0	0	EC	
41.0	1/2	HC	
46.0	0	EC	
50.0	0	HC	TEN
57.0	0	EC	
61.0	0	EC	
68.0	0	PAC	
72.0	0	PAC	
73.0	0	PAC	
74.0	1/2	PAC	
