mn	onset	cadence	cadence_subtype
4	1/4	HC	TEN
8	0	PAC	
12	1/4	HC	
20	0	PAC	
28	0	PAC	
32	1/4	HC	CON
36	0	PAC	
44	1/4	HC	
48	0	PAC	
52	1/4	HC	
60	0	PAC	
