mn	onset	cadence	cadence_subtype
2	3/4	HC	
4	3/4	PAC	
8	3/4	HC	
10	3/4	HC	
12	3/4	PAC	
14	3/4	HC	
16	1/2	PAC	
20	3/4	HC	
22	3/4	HC	
24	1/2	PAC	
29	3/4	HC	
31	3/4	PAC	
35	1/2	PAC	
37	3/4	HC	
39	3/4	PAC	
41	1/2	HC	TEN
45	3/4	HC	
47	3/4	PAC	
51	3/4	DC	
53	1/2	PAC	
