mn	onset	cadence	cadence_subtype
8.0	1/2	HC	
16.0	1/2	PAC	
25.0	0	IAC	
30.0	1/2	PAC	
38.0	1/2	HC	
46.0	1/2	PAC	
52.0	0	HC	PH
61.0	0	IAC	
69.0	1/4	HC	
76.0	0	EC	
85.0	1/2	DC	
87.0	1/2	DC	
91.0	1/2	PAC	
