mn	onset	cadence	cadence_subtype
6.0	3/8	HC	
14.0	3/8	PAC	
26.0	3/8	DC	
32.0	0	PAC	
49.0	0	HC	
57.0	3/8	HC	
65.0	0	PAC	
74.0	0	PAC	
83.0	0	EC	
85.0	0	PAC	
119.0	0	HC	CON
127.0	0	PAC	
139.0	0	HC	PH
153.0	3/8	HC	
161.0	3/8	PAC	
184.0	0	HC	CON
192.0	3/8	HC	PH
200.0	0	PAC	
210.0	0	PAC	
220.0	0	EC	
222.0	0	PAC	
232.0	0	PAC	
236.0	3/8	DC	
242.0	0	PAC	
