mn	onset	cadence	cadence_subtype
4.0	3/4	HC	
8.0	1/2	PAC	
10.0	3/4	HC	CON
18.0	3/4	HC	
22.0	1/2	PAC	
30.0	3/4	PAC	
34.0	3/4	HC	TEN
42.0	3/4	PAC	
48.0	1/2	PAC	
52.0	0	HC	
56.0	1/2	PAC	
66.0	3/4	HC	
70.0	1/2	PAC	
78.0	3/4	DC	
85.0	0	PAC	
