mn	onset	cadence	cadence_subtype
4.0	1/4	HC	SIM
8.0	0	PAC	
10.0	0	HC	CON
12.0	0	PAC	
14.0	0	PAC	
16.0	0	PAC	
27.0	1/4	HC	
39.0	0	PAC	
47.0	1/4	HC	SIM
51.0	0	PAC	
59.0	1/2	HC	PH
63.0	1/2	HC	PH
67.0	1/2	PAC	
69.0	1/2	HC	PH
75.0	1/4	HC	SIM
79.0	0	PAC	
81.0	0	HC	CON
83.0	0	PAC	
85.0	0	PAC	
87.0	0	PAC	
101.0	0	PAC	
109.0	1/4	HC	
118.0	0	HC	TEN
123.0	0	HC	TEN
136.0	0	PAC	
146.0	1/4	HC	SIM
150.0	0	PAC	
152.0	0	HC	CON
154.0	0	PAC	
156.0	0	PAC	
158.0	0	PAC	
