mn	onset	cadence	cadence_subtype
8.0	1/4	HC	
16.0	1/4	PAC	
24.0	1/4	PAC	
32.0	1/4	PAC	
40.0	1/4	PAC	
44.0	1/4	HC	PH
48.0	1/4	PAC	
56.0	1/4	HC	
64.0	0	PAC	
68.0	0	PAC	
72.0	0	PAC	
