mn	onset	cadence	cadence_subtype
8.0	0	IAC	
12.0	0	PAC	
14.0	0	PAC	
21.0	0	HC	CON
23.0	0	HC	CON
26.0	1/4	HC	
35.0	0	DC	
39.0	0	EC	
41.0	0	EC	
43.0	0	PAC	
55.0	1/8	HC	PH
66.0	0	IAC	
70.0	0	PAC	
72.0	0	PAC	
86.0	1/4	HC	
95.0	0	DC	
99.0	0	EC	
101.0	0	EC	
103.0	0	PAC	
