mn	onset	cadence	cadence_subtype
8.0	1/4	PAC	
16.0	0	PAC	
23.0	0	HC	
34.0	0	HC	PH
50.0	0	PAC	
54.0	1/8	HC	CON
58.0	0	PAC	
72.0	1/4	PAC	
80.0	0	PAC	
92.0	0	HC	CON
114.0	0	HC	CON
125.0	0	HC	PH
141.0	0	PAC	
145.0	1/8	HC	CON
149.0	0	PAC	
155.0	0	HC	CON
170.0	1/4	PAC	
178.0	0	EC	
181.0	0	EC	
184.0	0	PAC	
