mn	onset	cadence	cadence_subtype
4.0	3/8	HC	
8.0	3/8	PAC	
12.0	3/8	HC	
16.0	0	PAC	
26.0	0	HC	CON
41.0	0	PAC	
45.0	3/8	HC	
53.0	0	PAC	
77.0	0	HC	PH
102.0	3/8	HC	
106.0	3/8	PAC	
120.0	0	HC	CON
125.0	3/8	HC	
129.0	3/8	PAC	
133.0	3/8	HC	
155.0	0	PAC	
