mn	onset	cadence
10	0	EC
13	0	PAC
26	1/4	HC
43	0	PAC
48	0	PAC
54	0	PAC
78	0	HC
92	0	EC
95	0	PAC
108	1/4	HC
131	0	PAC
136	0	PAC
142	0	PAC
