mn	onset	cadence	cadence_subtype
8.0	3/8	PAC	
12.0	3/8	HC	
19.0	0	DC	
21.0	0	PAC	
22.0	3/8	PAC	
24.0	3/8	PAC	
32.0	0	HC	
42.0	3/8	PAC	
46.0	3/8	HC	CON
53.0	0	EC	
55.0	0	DC	
57.0	0	PAC	
58.0	3/8	PAC	
60.0	3/8	PAC	
