measure	beat	label
3	1	PAC
5	1	PAC
10	4	DC
12	3	PAC
16	1.5	HC
24	1	HC.CON
31	1	PAC
33	1	PAC
35	1	PAC
37	3	IAC
51	3	HC.TEN
60	1	PAC
62	1	PAC
67	3	HC.CON
78	3	HC.CON
86	1.5	HC.SIM
92	1	PAC
94	1	PAC
96	1	PAC
98	3	IAC
