mn	onset	cadence	cadence_subtype
4.0	1/2	HC	
8.0	0	PAC	
12.0	1/2	HC	
16.0	0	PAC	
18.0	0	HC	
20.0	0	IAC	
24.0	1/4	HC	
32.0	0	IAC	
36.0	0	PAC	
44.0	1/2	HC	
48.0	0	PAC	
52.0	1/2	HC	
56.0	0	PAC	
58.0	0	HC	
60.0	0	IAC	
64.0	0	HC	PH
72.0	0	HC	PH
76.0	0	PAC	
89.0	0	EC	
90.0	3/4	HC	
103.0	0	HC	PH
115.0	1/2	HC	
119.0	0	PAC	
123.0	1/2	HC	
127.0	0	PAC	
129.0	0	HC	
131.0	0	IAC	
144.0	0	HC	CON
156.0	0	IAC	
164.0	0	PAC	
179.0	0	HC	PH
202.0	1/2	HC	
206.0	0	EC	
209.0	0	EC	
213.0	0	PAC	
222.0	0	PAC	
223.0	0	PAC	
