mn	onset	cadence	cadence_subtype
4.0	3/8	HC	
8.0	1/4	PAC	
10.0	0	EC	
12.0	0	PAC	
16.0	0	HC	
24.0	0	HC	CON
32.0	3/8	IAC	
38.0	0	PAC	
42.0	3/8	HC	
46.0	1/4	PAC	
48.0	0	EC	
50.0	0	PAC	
52.0	0	HC	PH
60.0	0	HC	CON
68.0	3/8	IAC	
74.0	0	PAC	
78.0	3/8	HC	
82.0	1/4	PAC	
84.0	0	EC	
86.0	0	PAC	
88.0	0	EC	
90.0	0	PAC	
