mn	onset	cadence	cadence_subtype
4.0	1/4	HC	
8.0	0	HC	
12.0	1/4	HC	
16.0	0	DC	
20.0	0	PAC	
28.0	1/4	HC	
32.0	3/8	HC	
44.0	1/4	IAC	
52.0	0	EC	
56.0	0	EC	
63.0	0	HC	CON
79.0	0	PAC	
87.0	0	EC	MEL
99.0	0	HC	CON
110.0	1/4	HC	
114.0	0	HC	
118.0	1/4	HC	
122.0	0	DC	
134.0	0	PAC	
142.0	0	PAC	
158.0	0	PAC	
174.0	0	PAC	
178.0	1/4	HC	
182.0	0	HC	
186.0	1/4	HC	
190.0	0	DC	
194.0	0	PAC	
218.0	0	PAC	
226.0	0	EC	
233.0	0	EC	MEL
239.0	0	EC	MEL
245.0	0	PAC	
251.0	0	PAC	
