mn	onset	cadence	cadence_subtype
10	0	PAC	
18	1/4	HC	
28	0	PAC	
32	0	PAC	
40	1/4	HC	CON
48	0	PAC	
55	0	HC	PH
64	1/4	HC	CON
72	0	PAC	
