mn	onset	cadence	cadence_subtype
2	1/4	HC	
4	0	IAC	
8	0	HC	CON
13	0	DC	
15	0	PAC	
20	0	HC	PH
26	0	HC	CON
31	0	DC	
33	0	PAC	
35	1/8	HC	
36	3/4	PAC	
