mn	onset	cadence	cadence_subtype
10.0	1/4	HC	
22.0	1/4	HC	
33.0	0	PAC	
42.0	0	EC	MEL
44.0	0	EC	MEL
46.0	1/4	PAC	
82.0	1/4	HC	
90.0	1/4	HC	
101.0	0	PAC	
110.0	0	EC	MEL
112.0	0	EC	MEL
114.0	0	PAC	
117.0	0	DC	
120.0	0	PAC	
