mn	onset	cadence	cadence_subtype
2.0	1/4	HC	
4.0	1/4	HC	
8.0	0	HC	
10.0	1/4	HC	
12.0	1/4	HC	
16.0	0	PAC	
18.0	0	PAC	
20.0	0	PAC	
32.0	0	HC	
35.0	1/8	IAC	
39.0	0	IAC	
47.0	0	EC	MEL
55.0	0	PAC	
61.0	0	PAC	
68.0	1/4	PAC	
76.0	1/4	PAC	
86.0	0	HC	
92.0	0	HC	PH
97.0	1/4	HC	
99.0	1/4	HC	
103.0	0	HC	
105.0	1/4	HC	
107.0	1/4	HC	
111.0	0	PAC	
113.0	0	PAC	
115.0	0	PAC	
131.0	0	HC	CON
134.0	1/8	IAC	
138.0	0	IAC	
142.0	1/8	IAC	
146.0	0	EC	MEL
154.0	0	PAC	
160.0	0	PAC	
169.0	1/4	DC	
171.0	0	PAC	
