mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_line
1	1	0	0	0.0		0	0	Tempo	6/8	1	1	0								Andantegrazioso	75.0			1.0		
1	1	0	0	0.0		0	0	Dynamic	6/8	1	1	0					p									
1	1	0	0	0.0		0	0	Tempo	6/8	1	1	0								𝅘𝅥.=50	75.0	𝅘𝅥.	50.0	0.0		
1	1	0	0	0.75		0	0	Chord	6/8	1	1	3/16		1/8	3/2	0									0	
1	1	3/4	3/4	0.25		3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	1										
1	1	1	1	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	2										
1	1	3/2	3/2	1.0		3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	3									1	
1	1	5/2	5/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	4										
1	1	0	0	1.0		0	0	Chord	6/8	2	1	1/4		1/4	1	5										
1	1	1	1	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	6										
1	1	3/2	3/2	1.0		3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	7										
1	1	5/2	5/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	8										
1	1	0	0	0.75		0	0	Chord	6/8	2	2	3/16		1/8	3/2	9										
1	1	3/4	3/4	0.25		3/16	3/16	Chord	6/8	2	2	1/16		1/16	1	10										
1	1	1	1	0.5		1/4	1/4	Chord	6/8	2	2	1/8		1/8	1	11										
1	1	3/2	3/2	1.0		3/8	3/8	Chord	6/8	2	2	1/4		1/4	1	12										
1	1	5/2	5/2	0.5		5/8	5/8	Chord	6/8	2	2	1/8		1/8	1	13										
2	2	3	3	0.75		0	0	Chord	6/8	1	1	3/16		1/8	3/2	14									2	
2	2	15/4	15/4	0.25		3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	15										
2	2	4	4	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	16										
