mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Trill:trill
1	0	0	0	0.0	0	1/2	Tempo	3/4	1	1	0							Andantecantabileconespressione	40.0			1.0		
1	0	0	0	0.0	0	1/2	Tempo	3/4	1	1	0							𝅘𝅥=40	40.0	𝅘𝅥	40.0	0.0		
1	0	0	0	0.25	0	1/2	Chord	3/4	1	1	1/16		1/16	1	0								0	
1	0	1/4	1/4	0.25	1/16	9/16	Chord	3/4	1	1	1/16		1/16	1	1								0	
1	0	1/2	1/2	0.25	1/8	5/8	Chord	3/4	1	1	1/16		1/16	1	2								0	
1	0	3/4	3/4	0.25	3/16	11/16	Chord	3/4	1	1	1/16		1/16	1	3									
1	0	0	0	0.0	0	1/2	Dynamic	3/4	2	1	0					p								
2	1	1	1	0.0	0	0	Dynamic	3/4	1	1	0					fp								
2	1	1	1	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	4									
2	1	1	1	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	5								1	
2	1	7/4	7/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	6									
2	1	2	2	0.0	1/4	1/4	Dynamic	3/4	1	1	0					p								
2	1	2	2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	7									
2	1	5/2	5/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	8									
2	1	3	3	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	9									
2	1	13/4	13/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	10									
2	1	7/2	7/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	11									
2	1	15/4	15/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	12									
2	1	1	1	0.0	0	0	Dynamic	3/4	2	1	0					fp								
2	1	1	1	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	13									
2	1	2	2	0.0	1/4	1/4	Dynamic	3/4	2	1	0					p								
2	1	2	2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	14									
2	1	3	3	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	15									
3	2	4	4	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	16									
3	2	19/4	19/4	0.125	3/16	3/16	Chord	3/4	1	1	1/32		1/32	1	17									
3	2	39/8	39/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32		1/32	1	18									
3	2	5	5	0.75	1/4	1/4	Chord	3/4	1	1	3/16		1/8	3/2	19									
3	2	23/4	23/4	0.125	7/16	7/16	Chord	3/4	1	1	1/32		1/32	1	20								2	
3	2	47/8	47/8	0.125	15/32	15/32	Chord	3/4	1	1	1/32		1/32	1	21								2	
3	2	6	6	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	22								2	
3	2	25/4	25/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	23								2	
3	2	13/2	13/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	24								2	
3	2	27/4	27/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	25									
3	2	4	4	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	26									
3	2	5	5	0.75	1/4	1/4	Chord	3/4	1	2	3/16		1/8	3/2	27									
3	2	6	6	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	28									
3	2	4	4	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	29									
