mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Trill:trill
3	2	5	5	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	30									
3	2	6	6	0.0	1/2	1/2	Dynamic	3/4	2	1	0					fp								
3	2	6	6	0.0	1/2	1/2	Dynamic	3/4	2	1	0					fp								
3	2	6	6	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	31									
4	3	7	7	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	32									
4	3	29/4	29/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	33									
4	3	15/2	15/2	1.0	1/8	1/8	Chord	3/4	1	1	1/4		1/4	1	34									
4	3	17/2	17/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	35									
4	3	9	9	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	36									
4	3	37/4	37/4	0.125	9/16	9/16	Chord	3/4	1	1	1/32		1/32	1	37								3	
4	3	75/8	75/8	0.125	19/32	19/32	Chord	3/4	1	1	1/32		1/32	1	38								3	
4	3	19/2	19/2	0.125	5/8	5/8	Chord	3/4	1	1	1/32		1/32	1	39								3	
4	3	77/8	77/8	0.125	21/32	21/32	Chord	3/4	1	1	1/32		1/32	1	40								3	
4	3	39/4	39/4	0.125	11/16	11/16	Chord	3/4	1	1	1/32		1/32	1	41								3	
4	3	79/8	79/8	0.125	23/32	23/32	Chord	3/4	1	1	1/32		1/32	1	42									
4	3	7	7	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	43									
4	3	15/2	15/2	1.0	1/8	1/8	Chord	3/4	1	2	1/4		1/4	1	44									
4	3	17/2	17/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	45									
4	3	7	7	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	46									
4	3	8	8	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	47									
4	3	9	9	0.875	1/2	1/2	Chord	3/4	2	1	7/32		1/8	7/4	48									
4	3	79/8	79/8	0.125	23/32	23/32	Chord	3/4	2	1	1/32		1/32	1	49									
5	4	10	10	0.0	0	0	Dynamic	3/4	1	1	0					f								
5	4	10	10	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	50								4	
5	4	43/4	43/4	0.125	3/16	3/16	Chord	3/4	1	1	1/32		1/32	1	51								4	
5	4	87/8	87/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32		1/32	1	52								4	
5	4	11	11	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	53								5	
5	4	12	12	0.125	1/2	1/2	Chord	3/4	1	1	1/32		1/32	1	54									
5	4	97/8	97/8	0.0	17/32	17/32	Dynamic	3/4	1	1	0					p								
5	4	97/8	97/8	0.125	17/32	17/32	Chord	3/4	1	1	1/32		1/32	1	55		articStaccatoBelow						6	
5	4	49/4	49/4	0.125	9/16	9/16	Chord	3/4	1	1	1/32		1/32	1	56		articStaccatoBelow						6	
5	4	99/8	99/8	0.125	19/32	19/32	Chord	3/4	1	1	1/32		1/32	1	57		articStaccatoBelow						6	
5	4	25/2	25/2	0.125	5/8	5/8	Chord	3/4	1	1	1/32		1/32	1	58		articStaccatoBelow						6	
5	4	101/8	101/8	0.125	21/32	21/32	Chord	3/4	1	1	1/32		1/32	1	59		articStaccatoBelow						6	
5	4	51/4	51/4	0.125	11/16	11/16	Chord	3/4	1	1	1/32		1/32	1	60		articStaccatoBelow						6	
5	4	103/8	103/8	0.125	23/32	23/32	Chord	3/4	1	1	1/32		1/32	1	61		articStaccatoBelow							
5	4	10	10	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	62								7	
5	4	11	11	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	63									
6	5	13	13	0.0	0	0	Dynamic	3/4	1	1	0					fp								
6	5	13	13	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	64								8	
6	5	55/4	55/4	0.08333333333333333	3/16	3/16	Chord	3/4	1	1	1/48		1/32	2/3	65								8	
6	5	83/6	83/6	0.08333333333333333	5/24	5/24	Chord	3/4	1	1	1/48		1/32	2/3	66								8	
6	5	167/12	167/12	0.08333333333333333	11/48	11/48	Chord	3/4	1	1	1/48		1/32	2/3	67								8	
6	5	14	14	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	68									
6	5	29/2	29/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	69									
6	5	15	15	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	70									
6	5	61/4	61/4	0.125	9/16	9/16	Chord	3/4	1	1	1/32		1/32	1	71									
6	5	123/8	123/8	0.125	19/32	19/32	Chord	3/4	1	1	1/32		1/32	1	72									
6	5	31/2	31/2	0.0	5/8	5/8	Chord	3/4	1	1	0	grace32	1/32	1	73									
6	5	31/2	31/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	74									
6	5	63/4	63/4	0.125	11/16	11/16	Chord	3/4	1	1	1/32		1/32	1	75									
6	5	127/8	127/8	0.125	23/32	23/32	Chord	3/4	1	1	1/32		1/32	1	76									
6	5	29/2	29/2	1.0	3/8	3/8	Chord	3/4	1	2	1/4		1/4	1	77									
6	5	31/2	31/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	78									
6	5	13	13	0.0	0	0	Dynamic	3/4	2	1	0					fp								
6	5	13	13	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	79									
6	5	14	14	0.0	1/4	1/4	Dynamic	3/4	2	1	0					p								
6	5	14	14	0.0	1/4	1/4	Dynamic	3/4	2	1	0					p								
6	5	14	14	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	80									
6	5	15	15	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	81									
7	6	16	16	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	82									
7	6	33/2	33/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	83		ornamentTrill							
7	6	17	17	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	84									
7	6	69/4	69/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	85								9	
7	6	35/2	35/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	86								9	
7	6	71/4	71/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	87								9	
7	6	18	18	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	88								9	
7	6	73/4	73/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	89								9	
7	6	37/2	37/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	90								9	
7	6	75/4	75/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	91									
7	6	16	16	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	92									
7	6	17	17	0.25	1/4	1/4	Chord	3/4	1	2	1/16		1/16	1	93									
7	6	16	16	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	94									
7	6	17	17	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	95									
7	6	18	18	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	96									
7	6	37/2	37/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	97									
7	6	18	18	0.0	1/2	1/2	Dynamic	3/4	2	2	0					f								
7	6	18	18	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	98									
8	7	19	19	0.125	0	0	Chord	3/4	1	1	1/32		1/32	1	99		articStaccatissimoAbove							
8	7	153/8	153/8	0.0	1/32	1/32	Dynamic	3/4	1	1	0					f								
8	7	153/8	153/8	0.125	1/32	1/32	Chord	3/4	1	1	1/32		1/32	1	100								10	
8	7	77/4	77/4	0.125	1/16	1/16	Chord	3/4	1	1	1/32		1/32	1	101								10	
8	7	155/8	155/8	0.125	3/32	3/32	Chord	3/4	1	1	1/32		1/32	1	102								10	
8	7	39/2	39/2	0.125	1/8	1/8	Chord	3/4	1	1	1/32		1/32	1	103								10	
8	7	157/8	157/8	0.125	5/32	5/32	Chord	3/4	1	1	1/32		1/32	1	104								10	
8	7	79/4	79/4	0.125	3/16	3/16	Chord	3/4	1	1	1/32		1/32	1	105								10	
8	7	159/8	159/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32		1/32	1	106									
8	7	20	20	0.75	1/4	1/4	Chord	3/4	1	1	3/16		1/8	3/2	107								11	
8	7	83/4	83/4	0.0	7/16	7/16	Chord	3/4	1	1	0	grace32	1/32	1	108									
8	7	83/4	83/4	0.0	7/16	7/16	Chord	3/4	1	1	0	grace32	1/32	1	109									
8	7	83/4	83/4	0.0	7/16	7/16	Chord	3/4	1	1	0	grace32	1/32	1	110									
8	7	83/4	83/4	0.0	7/16	7/16	Chord	3/4	1	1	0	grace32	1/32	1	111									
8	7	83/4	83/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	112									
8	7	21	21	0.0	1/2	1/2	Dynamic	3/4	1	1	0					p								
8	7	21	21	0.0	1/2	1/2	Chord	3/4	1	1	0	appoggiatura	1/8	1	113									
8	7	21	21	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	114		ornamentTrill							
8	7	87/4	87/4	0.125	11/16	11/16	Chord	3/4	1	1	1/32		1/32	1	115									
8	7	175/8	175/8	0.125	23/32	23/32	Chord	3/4	1	1	1/32		1/32	1	116									
8	7	19	19	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	117									
8	7	39/2	39/2	1.0	1/8	1/8	Chord	3/4	2	1	1/4		1/4	1	118									
8	7	21	21	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	119									
8	7	19	19	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	120									
8	7	39/2	39/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	121									
8	7	20	20	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	122									
8	7	21	21	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	123									
9	8	22	22	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	124									
9	8	93/4	93/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	125		ornamentTrill						12	
9	8	47/2	47/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	126									
9	8	95/4	95/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	127		articStaccatissimoBelow							
9	8	24	24	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	128		articStaccatoAbove							
9	8	97/4	97/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	129		articStaccatoAbove							
9	8	49/2	49/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	130		articStaccatoAbove							
9	8	99/4	99/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	131		articStaccatoAbove							
9	8	22	22	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	132								13	
9	8	89/4	89/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	133								13	
9	8	45/2	45/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	134								13	
9	8	91/4	91/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	135								13	
9	8	23	23	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	136								13	
9	8	93/4	93/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	137								13	
9	8	47/2	47/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	138								13	
9	8	95/4	95/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	139								13	
9	8	24	24	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	140								13	
9	8	97/4	97/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	141								13	
9	8	49/2	49/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	142								13	
9	8	99/4	99/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	143									
10	9	25	25	0.375	0	0	Chord	3/4	1	1	3/32		1/16	3/2	144								14	
10	9	203/8	203/8	0.125	3/32	3/32	Chord	3/4	1	1	1/32		1/32	1	145									
10	9	51/2	51/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	146		articStaccatissimoAbove							
10	9	105/4	105/4	0.0	5/16	5/16	Chord	3/4	1	1	0	grace32	1/32	1	147									
10	9	105/4	105/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	148									
10	9	53/2	53/2	0.0	3/8	3/8	Chord	3/4	1	1	0	grace32	1/32	1	149									
10	9	53/2	53/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	150									
10	9	107/4	107/4	0.0	7/16	7/16	Chord	3/4	1	1	0	grace32	1/32	1	151									
10	9	107/4	107/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	152									
10	9	27	27	0.0	1/2	1/2	Chord	3/4	1	1	0	grace32	1/32	1	153									
10	9	27	27	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	154									
10	9	109/4	109/4	0.0	9/16	9/16	Chord	3/4	1	1	0	grace32	1/32	1	155									
10	9	109/4	109/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	156									
10	9	55/2	55/2	0.0	5/8	5/8	Chord	3/4	1	1	0	grace32	1/32	1	157									
10	9	55/2	55/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	158									
10	9	111/4	111/4	0.0	11/16	11/16	Chord	3/4	1	1	0	grace32	1/32	1	159									
10	9	111/4	111/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	160									
10	9	25	25	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	161								15	
10	9	101/4	101/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	162								15	
10	9	51/2	51/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	163								15	
10	9	103/4	103/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	164								15	
10	9	26	26	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	165								15	
10	9	105/4	105/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	166								15	
10	9	53/2	53/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	167								15	
10	9	107/4	107/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	168								15	
10	9	27	27	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	169								15	
10	9	109/4	109/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	170								15	
10	9	55/2	55/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	171								15	
10	9	111/4	111/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	172									
11	10	28	28	0.375	0	0	Chord	3/4	1	1	3/32		1/16	3/2	173								16	
11	10	227/8	227/8	0.125	3/32	3/32	Chord	3/4	1	1	1/32		1/32	1	174									
11	10	57/2	57/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	175									
11	10	233/8	233/8	0.125	9/32	9/32	Chord	3/4	1	1	1/32		1/32	1	176		articStaccatoBelow							
11	10	117/4	117/4	0.0	5/16	5/16	Dynamic	3/4	1	1	0					p								
11	10	117/4	117/4	0.125	5/16	5/16	Chord	3/4	1	1	1/32		1/32	1	177		articStaccatoBelow							
11	10	235/8	235/8	0.125	11/32	11/32	Chord	3/4	1	1	1/32		1/32	1	178		articStaccatoBelow							
11	10	59/2	59/2	0.125	3/8	3/8	Chord	3/4	1	1	1/32		1/32	1	179		articStaccatoAbove							
11	10	237/8	237/8	0.125	13/32	13/32	Chord	3/4	1	1	1/32		1/32	1	180		articStaccatoAbove							
11	10	119/4	119/4	0.125	7/16	7/16	Chord	3/4	1	1	1/32		1/32	1	181		articStaccatoAbove							
11	10	239/8	239/8	0.125	15/32	15/32	Chord	3/4	1	1	1/32		1/32	1	182		articStaccatoAbove							
11	10	30	30	0.125	1/2	1/2	Chord	3/4	1	1	1/32		1/32	1	183		articStaccatoAbove							
11	10	241/8	241/8	0.125	17/32	17/32	Chord	3/4	1	1	1/32		1/32	1	184		articStaccatoAbove							
11	10	121/4	121/4	0.125	9/16	9/16	Chord	3/4	1	1	1/32		1/32	1	185		articStaccatoAbove							
11	10	243/8	243/8	0.125	19/32	19/32	Chord	3/4	1	1	1/32		1/32	1	186		articStaccatoAbove							
11	10	61/2	61/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	187		articStaccatoAbove							
11	10	123/4	123/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	188		articStaccatoAbove							
11	10	28	28	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	189								17	
11	10	113/4	113/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	190								17	
11	10	57/2	57/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	191								17	
11	10	115/4	115/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	192								17	
11	10	29	29	0.0	1/4	1/4	Dynamic	3/4	2	1	0					p							17	
11	10	29	29	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	193								17	
11	10	117/4	117/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	194								17	
11	10	59/2	59/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	195								17	
11	10	119/4	119/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	196								17	
11	10	30	30	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	197								17	
11	10	121/4	121/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	198								17	
11	10	61/2	61/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	199								17	
11	10	123/4	123/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	200									
12	11	31	31	0.375	0	0	Chord	3/4	1	1	3/32		1/16	3/2	201								18	
12	11	251/8	251/8	0.125	3/32	3/32	Chord	3/4	1	1	1/32		1/32	1	202									
12	11	63/2	63/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	203		articStaccatissimoAbove							
12	11	257/8	257/8	0.0	9/32	9/32	Dynamic	3/4	1	1	0					fp								
12	11	257/8	257/8	0.125	9/32	9/32	Chord	3/4	1	1	1/32		1/32	1	204								19	
12	11	129/4	129/4	0.125	5/16	5/16	Chord	3/4	1	1	1/32		1/32	1	205								19	
12	11	259/8	259/8	0.125	11/32	11/32	Chord	3/4	1	1	1/32		1/32	1	206								19	
12	11	65/2	65/2	0.125	3/8	3/8	Chord	3/4	1	1	1/32		1/32	1	207								19	
12	11	261/8	261/8	0.125	13/32	13/32	Chord	3/4	1	1	1/32		1/32	1	208								19	
12	11	131/4	131/4	0.125	7/16	7/16	Chord	3/4	1	1	1/32		1/32	1	209								19	
12	11	263/8	263/8	0.125	15/32	15/32	Chord	3/4	1	1	1/32		1/32	1	210								19	
12	11	33	33	0.125	1/2	1/2	Chord	3/4	1	1	1/32		1/32	1	211									
12	11	265/8	265/8	0.0	17/32	17/32	Dynamic	3/4	1	1	0					fp								
12	11	265/8	265/8	0.125	17/32	17/32	Chord	3/4	1	1	1/32		1/32	1	212								20	
12	11	133/4	133/4	0.125	9/16	9/16	Chord	3/4	1	1	1/32		1/32	1	213								20	
12	11	267/8	267/8	0.125	19/32	19/32	Chord	3/4	1	1	1/32		1/32	1	214								20	
12	11	67/2	67/2	0.125	5/8	5/8	Chord	3/4	1	1	1/32		1/32	1	215								20	
12	11	269/8	269/8	0.125	21/32	21/32	Chord	3/4	1	1	1/32		1/32	1	216								20	
12	11	135/4	135/4	0.125	11/16	11/16	Chord	3/4	1	1	1/32		1/32	1	217								20	
12	11	271/8	271/8	0.125	23/32	23/32	Chord	3/4	1	1	1/32		1/32	1	218								20	
12	11	31	31	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	219								21	
12	11	125/4	125/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	220								21	
12	11	63/2	63/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	221								21	
12	11	127/4	127/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	222								21	
12	11	32	32	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	223								21	
12	11	129/4	129/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	224								21	
12	11	65/2	65/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	225								21	
12	11	131/4	131/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	226								21	
12	11	33	33	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	227								21	
12	11	133/4	133/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	228								21	
12	11	67/2	67/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	229								21	
12	11	135/4	135/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	230									
13	12	34	34	0.125	0	0	Chord	3/4	1	1	1/32		1/32	1	231									
13	12	273/8	273/8	0.125	1/32	1/32	Chord	3/4	1	1	1/32		1/32	1	232		articStaccatissimoAbove							
13	12	137/4	137/4	0.125	1/16	1/16	Chord	3/4	1	1	1/32		1/32	1	233								22	
13	12	275/8	275/8	0.125	3/32	3/32	Chord	3/4	1	1	1/32		1/32	1	234								22	
13	12	69/2	69/2	0.125	1/8	1/8	Chord	3/4	1	1	1/32		1/32	1	235									
13	12	277/8	277/8	0.125	5/32	5/32	Chord	3/4	1	1	1/32		1/32	1	236		articStaccatoAbove							
13	12	139/4	139/4	0.125	3/16	3/16	Chord	3/4	1	1	1/32		1/32	1	237		articStaccatoAbove							
13	12	279/8	279/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32		1/32	1	238		articStaccatoAbove							
13	12	35	35	0.125	1/4	1/4	Chord	3/4	1	1	1/32		1/32	1	239		articStaccatissimoAbove							
13	12	281/8	281/8	0.0625	9/32	9/32	Chord	3/4	1	1	1/64		1/64	1	240								23	
13	12	563/16	563/16	0.0625	19/64	19/64	Chord	3/4	1	1	1/64		1/64	1	241								23	
13	12	141/4	141/4	0.125	5/16	5/16	Chord	3/4	1	1	1/32		1/32	1	242									
13	12	283/8	283/8	0.125	11/32	11/32	Chord	3/4	1	1	1/32		1/32	1	243		articStaccatissimoAbove							
13	12	71/2	71/2	0.125	3/8	3/8	Chord	3/4	1	1	1/32		1/32	1	244		articStaccatissimoAbove							
13	12	285/8	285/8	0.0625	13/32	13/32	Chord	3/4	1	1	1/64		1/64	1	245								24	
13	12	571/16	571/16	0.0625	27/64	27/64	Chord	3/4	1	1	1/64		1/64	1	246								24	
13	12	143/4	143/4	0.125	7/16	7/16	Chord	3/4	1	1	1/32		1/32	1	247									
13	12	287/8	287/8	0.125	15/32	15/32	Chord	3/4	1	1	1/32		1/32	1	248		articStaccatissimoAbove							
13	12	36	36	0.375	1/2	1/2	Chord	3/4	1	1	3/32		1/16	3/2	249								25	
13	12	291/8	291/8	0.125	19/32	19/32	Chord	3/4	1	1	1/32		1/32	1	250								25	
13	12	73/2	73/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	251									
13	12	295/8	295/8	0.125	23/32	23/32	Chord	3/4	1	1	1/32		1/32	1	252									
13	12	34	34	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	253								26	
13	12	137/4	137/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	254								26	
13	12	69/2	69/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	255								26	
