mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Dynamic	2/4	1	1	0				p							
1	1	0	0	0.0	0	0	Tempo	2/4	1	1	0						Allegretto	90.0			1.0	
1	1	0	0	0.0	0	0	Tempo	2/4	1	1	0						𝅘𝅥=92	92.0	𝅘𝅥	92.0	0.0	
1	1	0	0	0.75	0	0	Chord	2/4	1	1	3/16	1/8	3/2	0								0
1	1	3/4	3/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32	1/32	1	1								0
1	1	7/8	7/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32	1/32	1	2								0
1	1	1	1	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	3								
1	1	3/2	3/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	4		articStaccatoAbove						
1	1	1/2	1/2	0.0	1/8	1/8	Dynamic	2/4	2	1	0				p							
1	1	1/2	1/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	5								
1	1	1	1	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	6								
1	1	3/2	3/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	7								
1	1	1/2	1/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8	1/8	1	8								
1	1	1	1	0.5	1/4	1/4	Chord	2/4	2	2	1/8	1/8	1	9								
1	1	3/2	3/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8	1/8	1	10								
2	2	2	2	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	11								1
2	2	5/2	5/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	12								
2	2	3	3	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	13		articStaccatoAbove						
2	2	5/2	5/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	14								
