mc	mn	onset	chords	volta
0	1	0	.A.I	
2	3	1/2	vi6	
3	4	0	V7/V	
3	4	1/4	V\\	
5	6	0	V7	
6	7	0	V(64)	
7	8	0	ii6	
9	10	0	V7	
9	10	1/4	I\\	
10	11	0	V.I	
11	12	0	V65	
11	12	1/8	I	
11	12	1/4	V43	
11	12	3/8	V7	
11	12	1/2	IV6	
11	12	5/8	viio	
12	13	0	I	
13	14	0	V65	
13	14	1/8	I	
13	14	1/4	V43	
13	14	3/8	V7	
13	14	1/2	IV6	
13	14	5/8	viio	
14	15	0	I	
16	17	0	ii6	
16	17	1/4	V(64)	
16	17	1/2	V7	
17	18	0	I\\	
18	19	0	ii.iv	
19	20	0	V(4)/V	
19	20	1/4	V	
20	21	0	i64(9)	
20	21	1/4	i64	
21	22	0	V7(6)	
21	22	1/4	V7	
22	23	0	i	
23	24	0	I.V(4)	
23	24	1/4	V	
24	25	0	i64(9)	
24	25	1/4	i64	
25	26	0	V7(6)	
25	26	1/4	V7	
26	27	0	i	
26	27	1/2	i2	
27	28	0	.Ger6	
29	30	0	V\\	
30	31	0	I	
32	33	1/2	vi6	
33	34	0	V7/V	
33	34	1/4	V\\	
35	36	0	V7	
36	37	0	V(64)	
37	38	1/4	V43/IV	
38	39	0	IV	
39	40	0	I6	
39	40	3/16	IV	
39	40	1/4	V(64)	
39	40	1/2	V\\	
40	41	0	I	
41	42	0	V65	
41	42	1/8	I	
41	42	1/4	V43	
41	42	3/8	V7	
41	42	1/2	IV6	
41	42	5/8	viio	
42	43	0	I	
43	44	0	V65	
43	44	1/8	I	
43	44	1/4	V43	
43	44	3/8	V7	
43	44	1/2	IV6	
43	44	5/8	viio	
44	45	0	I	
44	45	1/4	IV6	
44	45	1/2	IV	
45	46	0	I6	
46	47	0	ii6	
46	47	1/4	V(64)	
46	47	1/2	V7	
47	48	0	I\\	
48	49	0	IV.I	
50	51	1/4	I(64)	
50	51	1/2	V7	
51	52	0	I	
52	53	1/4	I(64)	
52	53	1/2	viio6	
53	54	0	I6	
54	55	0	I.V	
54	55	1/4	I6	
54	55	1/2	I	
55	56	0	V	
55	56	1/4	IV6	
55	56	3/8	iii6	
55	56	1/2	ii6	
55	56	5/8	I6	
56	57	0	V	
56	57	1/4	I6	
56	57	1/2	I	
57	58	0	V	
57	58	1/4	I	
57	58	5/8	V43	
58	59	0	I6	
58	59	1/4	V(64)	
58	59	1/2	V	
59	60	0	I\\	
60	61	0	V(64)	
60	61	1/2	V	
61	62	0	I	
61	62	1/4	ii6	
61	62	1/2	V7	
62	63	0	I	
62	63	1/4	ii6	
62	63	1/2	V7	
63	64	0	I\\	
63	64	1/2	V7/IV	
64	65	0	v.V7	
64	65	1/2	V(64)	
65	66	0	V7	
65	66	1/2	V(64)	
66	67	0	V7	
66	67	1/2	V(64)	
67	68	0	V7	
67	68	1/2	i6	
68	69	0	i	
71	72	0	i\\	
72	73	0	.bIII.I	
72	73	1/2	V65	
73	74	0	I	
73	74	1/2	V65	
74	75	0	I	
74	75	1/2	V65	
75	76	0	I	
76	77	0	V2/IV	
77	78	0	iv.V7	
78	79	0	V(64)	
78	79	1/2	V65/V	
79	80	0	V	
80	81	0	.Ger6	
81	82	0	V\\	
81	82	1/2	V(64)	
82	83	0	V	
82	83	1/2	V(64)	
83	84	0	V	
84	85	0	IV.I	
86	87	0	IV6	
86	87	1/4	I64	
86	87	1/2	IV	
87	88	0	I	
88	89	0	I(42)	
88	89	1/4	I	
88	89	1/2	I(64)	
89	90	0	I	
90	91	0	V	
90	91	1/4	I6	
90	91	1/2	I	
91	92	0	V	
91	92	1/4	I	
92	93	0	V	
92	93	1/4	V(64)	
93	94	0	V6	
93	94	1/4	IV6	
94	95	0	I6	
94	95	1/4	ii	
94	95	1/2	V	
95	96	0	I\\	
95	96	1/4	IV6	
96	97	0	I	
96	97	1/4	ii64	
96	97	1/2	V	
97	98	0	I\\	
97	98	1/4	IV	
97	98	1/2	V7	
98	99	0	I\\	
98	99	1/4	IV	
98	99	1/2	V7	
99	100	0	I\\	1
100	100	0	I\\	2
