mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0					Adagio	46.0			1.0	
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0					𝅘𝅥=46	46.0	𝅘𝅥	46.0	0.0	
1	1	0	0	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	0							0
1	1	3/4	3/4	0.0625	3/16	3/16	Chord	3/4	1	1	1/64	1/64	1	1							0
1	1	13/16	13/16	0.0625	13/64	13/64	Chord	3/4	1	1	1/64	1/64	1	2							0
1	1	7/8	7/8	0.0625	7/32	7/32	Chord	3/4	1	1	1/64	1/64	1	3							0
1	1	15/16	15/16	0.0625	15/64	15/64	Chord	3/4	1	1	1/64	1/64	1	4							0
1	1	1	1	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	5							0, 1
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	6							0, 1
1	1	2	2	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	7							0, 1
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	8							
1	1	0	0	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	9							
1	1	0	0	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	10							
1	1	1	1	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	11							
1	1	2	2	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	12							
2	2	3	3	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	13							2
2	2	15/4	15/4	0.125	3/16	3/16	Chord	3/4	1	1	1/32	1/32	1	14							2
2	2	31/8	31/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32	1/32	1	15							
2	2	4	4	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	16							
2	2	3	3	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	17							
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	18	articStaccatoAbove						
2	2	5	5	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	19	articStaccatoAbove						
