mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
2	2	11/2	11/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	20	articStaccatoAbove						
3	3	6	6	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	21							
3	3	25/4	25/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	22							3
3	3	13/2	13/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	23							3
3	3	27/4	27/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	24							3
3	3	7	7	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	25							3
3	3	29/4	29/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	26							3
3	3	15/2	15/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	27							3
3	3	31/4	31/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	28							3
3	3	8	8	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	29							3
3	3	33/4	33/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	30							3
3	3	17/2	17/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	31							3
3	3	35/4	35/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	32							
3	3	6	6	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	33							4
3	3	7	7	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	34							
4	4	9	9	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	35							5
4	4	39/4	39/4	0.125	3/16	3/16	Chord	3/4	1	1	1/32	1/32	1	36							5
4	4	79/8	79/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32	1/32	1	37							
4	4	10	10	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	38	articStaccatoBelow						
4	4	41/4	41/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	39							6
4	4	21/2	21/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	40							6
4	4	43/4	43/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	41							6
4	4	11	11	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	42							6
4	4	45/4	45/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	43							6
4	4	23/2	23/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	44							6
4	4	47/4	47/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	45							
4	4	9	9	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	46							7
4	4	10	10	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	47							
4	4	9	9	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	48							
5	5	12	12	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	49							8
5	5	51/4	51/4	0.0625	3/16	3/16	Chord	3/4	1	1	1/64	1/64	1	50							8
5	5	205/16	205/16	0.0625	13/64	13/64	Chord	3/4	1	1	1/64	1/64	1	51							8
5	5	103/8	103/8	0.0625	7/32	7/32	Chord	3/4	1	1	1/64	1/64	1	52							8
5	5	207/16	207/16	0.0625	15/64	15/64	Chord	3/4	1	1	1/64	1/64	1	53							
5	5	13	13	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	54							9
5	5	27/2	27/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	55							9
5	5	14	14	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	56							9
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	57							
5	5	12	12	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	58							10
5	5	13	13	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	59							10
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	60							
6	6	15	15	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	61							11
6	6	63/4	63/4	0.125	3/16	3/16	Chord	3/4	1	1	1/32	1/32	1	62							11
6	6	127/8	127/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32	1/32	1	63							
6	6	16	16	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	64							
6	6	17	17	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	65							12
6	6	69/4	69/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	66							12
6	6	35/2	35/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	67							12
6	6	71/4	71/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	68							
6	6	15	15	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	69							
6	6	33/2	33/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	70							13
6	6	17	17	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	71							
6	6	35/2	35/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	72							
7	7	18	18	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	73							
7	7	37/2	37/2	0.125	1/8	1/8	Chord	3/4	1	1	1/32	1/32	1	74							14
7	7	149/8	149/8	0.125	5/32	5/32	Chord	3/4	1	1	1/32	1/32	1	75							14
7	7	75/4	75/4	0.125	3/16	3/16	Chord	3/4	1	1	1/32	1/32	1	76							14
7	7	151/8	151/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32	1/32	1	77							
7	7	19	19	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	78							15
7	7	77/4	77/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	79							15
7	7	39/2	39/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	80							15
7	7	79/4	79/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	81							15
7	7	20	20	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	82							15
7	7	81/4	81/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	83							15
7	7	41/2	41/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	84							15
7	7	83/4	83/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	85							
7	7	18	18	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	86							
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	87							
8	8	21	21	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	88							16
8	8	22	22	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	89							
8	8	21	21	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	90							17
8	8	22	22	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	91							
8	8	45/2	45/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	92							
8	8	23	23	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	93							
8	8	47/2	47/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	94							
9	9	24	24	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	95							
9	9	49/2	49/2	0.125	1/8	1/8	Chord	3/4	1	1	1/32	1/32	1	96							18
9	9	197/8	197/8	0.125	5/32	5/32	Chord	3/4	1	1	1/32	1/32	1	97							18
9	9	99/4	99/4	0.125	3/16	3/16	Chord	3/4	1	1	1/32	1/32	1	98							18
9	9	199/8	199/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32	1/32	1	99							18
9	9	25	25	0.125	1/4	1/4	Chord	3/4	1	1	1/32	1/32	1	100							18
9	9	201/8	201/8	0.125	9/32	9/32	Chord	3/4	1	1	1/32	1/32	1	101							18
9	9	101/4	101/4	0.125	5/16	5/16	Chord	3/4	1	1	1/32	1/32	1	102							18
9	9	203/8	203/8	0.125	11/32	11/32	Chord	3/4	1	1	1/32	1/32	1	103							18
9	9	51/2	51/2	0.125	3/8	3/8	Chord	3/4	1	1	1/32	1/32	1	104							18
9	9	205/8	205/8	0.125	13/32	13/32	Chord	3/4	1	1	1/32	1/32	1	105							18
9	9	103/4	103/4	0.125	7/16	7/16	Chord	3/4	1	1	1/32	1/32	1	106							18
9	9	207/8	207/8	0.125	15/32	15/32	Chord	3/4	1	1	1/32	1/32	1	107							
9	9	26	26	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	108							
9	9	49/2	49/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	109							
9	9	25	25	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	110							
9	9	51/2	51/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	111							
9	9	26	26	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	112							
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	113							
9	9	24	24	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	114							
9	9	26	26	0.5	1/2	1/2	Chord	3/4	2	2	1/8	1/8	1	115							
10	10	27	27	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	116							
10	10	55/2	55/2	0.125	1/8	1/8	Chord	3/4	1	1	1/32	1/32	1	117							19
10	10	221/8	221/8	0.125	5/32	5/32	Chord	3/4	1	1	1/32	1/32	1	118							19
10	10	111/4	111/4	0.125	3/16	3/16	Chord	3/4	1	1	1/32	1/32	1	119							19
10	10	223/8	223/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32	1/32	1	120							19
10	10	28	28	0.125	1/4	1/4	Chord	3/4	1	1	1/32	1/32	1	121							19
10	10	225/8	225/8	0.125	9/32	9/32	Chord	3/4	1	1	1/32	1/32	1	122							19
10	10	113/4	113/4	0.125	5/16	5/16	Chord	3/4	1	1	1/32	1/32	1	123							19
10	10	227/8	227/8	0.125	11/32	11/32	Chord	3/4	1	1	1/32	1/32	1	124							19
10	10	57/2	57/2	0.125	3/8	3/8	Chord	3/4	1	1	1/32	1/32	1	125							19
10	10	229/8	229/8	0.125	13/32	13/32	Chord	3/4	1	1	1/32	1/32	1	126							19
10	10	115/4	115/4	0.125	7/16	7/16	Chord	3/4	1	1	1/32	1/32	1	127							19
10	10	231/8	231/8	0.125	15/32	15/32	Chord	3/4	1	1	1/32	1/32	1	128							
10	10	29	29	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	129							
10	10	55/2	55/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	130							
10	10	28	28	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	131							
10	10	57/2	57/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	132							
10	10	29	29	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	133							
10	10	59/2	59/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	134							
10	10	27	27	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	135							
10	10	29	29	0.5	1/2	1/2	Chord	3/4	2	2	1/8	1/8	1	136							
10	10	59/2	59/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8	1/8	1	137							
11	11	30	30	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	138							
11	11	61/2	61/2	0.125	1/8	1/8	Chord	3/4	1	1	1/32	1/32	1	139							20
11	11	245/8	245/8	0.125	5/32	5/32	Chord	3/4	1	1	1/32	1/32	1	140							20
11	11	123/4	123/4	0.125	3/16	3/16	Chord	3/4	1	1	1/32	1/32	1	141							20
11	11	247/8	247/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32	1/32	1	142							20
11	11	31	31	0.125	1/4	1/4	Chord	3/4	1	1	1/32	1/32	1	143							20
11	11	249/8	249/8	0.125	9/32	9/32	Chord	3/4	1	1	1/32	1/32	1	144							20
11	11	125/4	125/4	0.125	5/16	5/16	Chord	3/4	1	1	1/32	1/32	1	145							20
11	11	251/8	251/8	0.125	11/32	11/32	Chord	3/4	1	1	1/32	1/32	1	146							20
11	11	63/2	63/2	0.125	3/8	3/8	Chord	3/4	1	1	1/32	1/32	1	147							20
11	11	253/8	253/8	0.125	13/32	13/32	Chord	3/4	1	1	1/32	1/32	1	148							20
11	11	127/4	127/4	0.125	7/16	7/16	Chord	3/4	1	1	1/32	1/32	1	149							20
11	11	255/8	255/8	0.125	15/32	15/32	Chord	3/4	1	1	1/32	1/32	1	150							20
11	11	32	32	0.125	1/2	1/2	Chord	3/4	1	1	1/32	1/32	1	151							20
11	11	257/8	257/8	0.125	17/32	17/32	Chord	3/4	1	1	1/32	1/32	1	152							20
11	11	129/4	129/4	0.125	9/16	9/16	Chord	3/4	1	1	1/32	1/32	1	153							20
11	11	259/8	259/8	0.125	19/32	19/32	Chord	3/4	1	1	1/32	1/32	1	154							20
11	11	65/2	65/2	0.125	5/8	5/8	Chord	3/4	1	1	1/32	1/32	1	155							20
11	11	261/8	261/8	0.125	21/32	21/32	Chord	3/4	1	1	1/32	1/32	1	156							20
11	11	131/4	131/4	0.125	11/16	11/16	Chord	3/4	1	1	1/32	1/32	1	157							20
11	11	263/8	263/8	0.125	23/32	23/32	Chord	3/4	1	1	1/32	1/32	1	158							
11	11	61/2	61/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	159							
11	11	31	31	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	160							
11	11	63/2	63/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	161							
11	11	32	32	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	162							
11	11	65/2	65/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	163							
11	11	30	30	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	164							
12	12	33	33	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	165							
12	12	34	34	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	166							21
12	12	137/4	137/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	167							21
12	12	69/2	69/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	168							21
12	12	139/4	139/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	169							21
12	12	35	35	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	170							21
12	12	141/4	141/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	171							21
12	12	71/2	71/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	172							21
12	12	143/4	143/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	173							
12	12	33	33	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	174							
12	12	34	34	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	175							
13	13	36	36	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	176							22
13	13	147/4	147/4	0.0625	3/16	3/16	Chord	3/4	1	1	1/64	1/64	1	177							22
13	13	589/16	589/16	0.0625	13/64	13/64	Chord	3/4	1	1	1/64	1/64	1	178							22
13	13	295/8	295/8	0.0625	7/32	7/32	Chord	3/4	1	1	1/64	1/64	1	179							22
13	13	591/16	591/16	0.0625	15/64	15/64	Chord	3/4	1	1	1/64	1/64	1	180							
13	13	37	37	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	181							23
13	13	75/2	75/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	182							23
13	13	38	38	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	183							23
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	184							
13	13	36	36	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	185							24
13	13	37	37	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	186							24
13	13	38	38	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	187							24
14	14	39	39	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	188							25
14	14	159/4	159/4	0.125	3/16	3/16	Chord	3/4	1	1	1/32	1/32	1	189							25
14	14	319/8	319/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32	1/32	1	190							
14	14	40	40	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	191							
14	14	39	39	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	192							
14	14	81/2	81/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	193							26
14	14	41	41	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	194							26
14	14	83/2	83/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	195							
15	15	42	42	0.125	0	0	Chord	3/4	1	1	1/32	1/32	1	196							27
15	15	337/8	337/8	0.125	1/32	1/32	Chord	3/4	1	1	1/32	1/32	1	197							27
15	15	169/4	169/4	0.125	1/16	1/16	Chord	3/4	1	1	1/32	1/32	1	198							27
15	15	339/8	339/8	0.125	3/32	3/32	Chord	3/4	1	1	1/32	1/32	1	199							27
15	15	85/2	85/2	0.125	1/8	1/8	Chord	3/4	1	1	1/32	1/32	1	200							27
15	15	341/8	341/8	0.125	5/32	5/32	Chord	3/4	1	1	1/32	1/32	1	201							27
15	15	171/4	171/4	0.125	3/16	3/16	Chord	3/4	1	1	1/32	1/32	1	202							27
15	15	343/8	343/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32	1/32	1	203							
15	15	43	43	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	204	articStaccatoBelow						
15	15	173/4	173/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	205	articStaccatoBelow						
15	15	87/2	87/2	0.75	3/8	3/8	Chord	3/4	1	1	3/16	1/8	3/2	206							
15	15	177/4	177/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	207							28
15	15	89/2	89/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	208							28
15	15	179/4	179/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	209							
15	15	42	42	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	210							
15	15	43	43	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	211							
15	15	44	44	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	212							
16	16	45	45	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	213							29
16	16	46	46	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	214							
16	16	93/2	93/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	215	articStaccatoBelow						30
16	16	47	47	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	216	articStaccatoAbove						
16	16	95/2	95/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	217	articStaccatoAbove						
16	16	45	45	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	218							31
16	16	46	46	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	219							
17	17	48	48	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	220							
17	17	197/4	197/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	221							
17	17	99/2	99/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	222							
17	17	199/4	199/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	223							
17	17	50	50	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	224							
17	17	201/4	201/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	225							
17	17	101/2	101/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	226							
17	17	203/4	203/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	227							
17	17	48	48	0.25	0	0	Chord	3/4	2	1	1/16	1/16	1	228							
17	17	193/4	193/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16	1/16	1	229							
17	17	97/2	97/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16	1/16	1	230							
17	17	195/4	195/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	231							
17	17	49	49	0.25	1/4	1/4	Chord	3/4	2	1	1/16	1/16	1	232							
17	17	197/4	197/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16	1/16	1	233							
17	17	99/2	99/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16	1/16	1	234							
17	17	199/4	199/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	235							
17	17	50	50	0.25	1/2	1/2	Chord	3/4	2	1	1/16	1/16	1	236							
17	17	201/4	201/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16	1/16	1	237							
17	17	101/2	101/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16	1/16	1	238							
17	17	203/4	203/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	239							
18	18	51	51	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	240							
18	18	209/4	209/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	241							
18	18	105/2	105/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	242							
18	18	211/4	211/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	243							
18	18	53	53	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	244							
18	18	213/4	213/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	245							
18	18	107/2	107/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	246							
18	18	215/4	215/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	247							
18	18	51	51	0.25	0	0	Chord	3/4	2	1	1/16	1/16	1	248							
18	18	205/4	205/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16	1/16	1	249							
18	18	103/2	103/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16	1/16	1	250							
18	18	207/4	207/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	251							
18	18	52	52	0.25	1/4	1/4	Chord	3/4	2	1	1/16	1/16	1	252							
18	18	209/4	209/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16	1/16	1	253							
18	18	105/2	105/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16	1/16	1	254							
18	18	211/4	211/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	255							
18	18	53	53	0.25	1/2	1/2	Chord	3/4	2	1	1/16	1/16	1	256							
18	18	213/4	213/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16	1/16	1	257							
18	18	107/2	107/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16	1/16	1	258							
18	18	215/4	215/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	259							
19	19	217/4	217/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	260							
19	19	219/4	219/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	261							
19	19	221/4	221/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	262							
19	19	111/2	111/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	263							
19	19	223/4	223/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	264							
19	19	56	56	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	265							
19	19	225/4	225/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	266							
19	19	113/2	113/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	267							
19	19	227/4	227/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	268							
19	19	54	54	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	269							
19	19	56	56	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	270							
19	19	54	54	0.5	0	0	Chord	3/4	2	2	1/8	1/8	1	271							
19	19	109/2	109/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8	1/8	1	272							
19	19	55	55	2.0	1/4	1/4	Chord	3/4	2	2	1/2	1/2	1	273							
20	20	57	57	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	274							32
20	20	229/4	229/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	275							32
20	20	115/2	115/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	276							32
20	20	231/4	231/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	277							
20	20	58	58	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	278							
20	20	57	57	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	279							
20	20	233/4	233/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16	1/16	1	280							33
20	20	117/2	117/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16	1/16	1	281							33
20	20	235/4	235/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	282							33
20	20	59	59	0.25	1/2	1/2	Chord	3/4	2	1	1/16	1/16	1	283							33
20	20	237/4	237/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16	1/16	1	284							33
