mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	slur
1	1	0	0.0	0	0	StaffText	6/8	1	1	0								<b/>Adagio			
1	1	0	0.0	0	0	Dynamic	6/8	1	1	0						f					
1	1	0	0.0	0	0	Tempo	6/8	1	1	0									  = 30	45	
1	1	0	0.75	0	0	Chord	6/8	1	1	3/16			1/8	3/2	0		ornamentTrill				
1	1	3/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16			1/16	1	1						
1	1	1	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	2						
1	1	3/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4			1/4	1	3						0
1	1	5/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	4						
1	1	0	1.0	0	0	Chord	6/8	2	1	1/4			1/4	1	5						
2	2	3	1.5	0	0	Chord	6/8	1	1	3/8			1/4	3/2	6						
2	2	9/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	7						1
2	2	5	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	8						1
2	2	11/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	9						
2	2	3	0.75	0	0	Chord	6/8	1	2	3/16			1/8	3/2	10						
2	2	15/4	0.25	3/16	3/16	Chord	6/8	1	2	1/16			1/16	1	11						
2	2	4	0.5	1/4	1/4	Chord	6/8	1	2	1/8			1/8	1	12						
2	2	9/2	0.5	3/8	3/8	Chord	6/8	1	2	1/8			1/8	1	13						
2	2	3	1.5	0	0	Chord	6/8	2	1	3/8			1/4	3/2	14						
2	2	9/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	15						
3	3	6	0.0	0	0	Dynamic	6/8	1	1	0						p					
3	3	6	3.0	0	0	Chord	6/8	1	1	3/4			1/2	3/2	16						
3	3	6	1.5	0	0	Chord	6/8	1	2	3/8			1/4	3/2	17						
3	3	15/2	0.5	3/8	3/8	Chord	6/8	1	2	1/8			1/8	1	18						
3	3	8	0.5	1/2	1/2	Chord	6/8	1	2	1/8			1/8	1	19						
3	3	17/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8			1/8	1	20						
3	3	6	0.75	0	0	Chord	6/8	2	2	3/16			1/8	3/2	21						
3	3	27/4	0.25	3/16	3/16	Chord	6/8	2	2	1/16			1/16	1	22						
3	3	7	0.5	1/4	1/4	Chord	6/8	2	2	1/8			1/8	1	23						
3	3	15/2	1.5	3/8	3/8	Chord	6/8	2	2	3/8			1/4	3/2	24						
4	4	9	0.0	0	0	Dynamic	6/8	1	1	0						f					
4	4	9	0.75	0	0	Chord	6/8	1	1	3/16			1/8	3/2	25						
4	4	39/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16			1/16	1	26						
4	4	10	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	27						
4	4	21/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8			1/4	3/2	28						
4	4	9	0.75	0	0	Chord	6/8	1	2	3/16			1/8	3/2	29						
