mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	slur	crescendo_line
1	1	0	0.0		0	0	Dynamic	3/4	1	1	0						p					
1	1	0	0.0		0	0	Tempo	3/4	1	1	0								 = 44	44		
1	1	0	0.0		0	0	Tempo	3/4	1	1	0								Andante cantabile	44		
1	1	0	1.0		0	0	Chord	3/4	1	1	1/4			1/4	1	0						
1	1	1	0.5		1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	1					0	
1	1	3/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	2						
1	1	2	0.5		1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	3						
1	1	5/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	4						
1	1	0	2.0		0	0	Chord	3/4	2	1	1/2			1/2	1	5						
2	2	3	1.0		0	0	Chord	3/4	1	1	1/4			1/4	1	6					1	
2	2	4	1.0		1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	7					1	
2	2	5	1.0		1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	8						
2	2	3	1.0		0	0	Chord	3/4	2	1	1/4			1/4	1	9					2	
2	2	4	1.0		1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	10					2	
2	2	5	1.0		1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	11						
3	3	6	1.0		0	0	Chord	3/4	1	1	1/4			1/4	1	12					3	
3	3	7	0.5		1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	13						
3	3	15/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	14						
3	3	8	0.0		1/2	1/2	Chord	3/4	1	1	0	grace16		1/16	1	15						
3	3	8	0.5		1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	16						
3	3	17/2	0.25		5/8	5/8	Chord	3/4	1	1	1/16			1/16	1	17						
3	3	35/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	18						
3	3	6	1.0		0	0	Chord	3/4	2	1	1/4			1/4	1	19					4	
3	3	7	1.0		1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	20						
4	4	9	1.0		0	0	Chord	3/4	1	1	1/4			1/4	1	21					5	
4	4	10	0.25		1/4	1/4	Chord	3/4	1	1	1/16			1/16	1	22						
4	4	83/8	0.125		11/32	11/32	Chord	3/4	1	1	1/32			1/32	1	23		articStaccatoBelow				
4	4	21/2	0.125		3/8	3/8	Chord	3/4	1	1	1/32			1/32	1	24					6	
4	4	85/8	0.125		13/32	13/32	Chord	3/4	1	1	1/32			1/32	1	25					6	
4	4	43/4	0.125		7/16	7/16	Chord	3/4	1	1	1/32			1/32	1	26					6	
4	4	87/8	0.125		15/32	15/32	Chord	3/4	1	1	1/32			1/32	1	27					6	
4	4	11	0.125		1/2	1/2	Chord	3/4	1	1	1/32			1/32	1	28					6	
4	4	89/8	0.125		17/32	17/32	Chord	3/4	1	1	1/32			1/32	1	29					6	
4	4	45/4	0.125		9/16	9/16	Chord	3/4	1	1	1/32			1/32	1	30					6	
4	4	91/8	0.125		19/32	19/32	Chord	3/4	1	1	1/32			1/32	1	31					6	
4	4	23/2	0.125		5/8	5/8	Chord	3/4	1	1	1/32			1/32	1	32					6	
