mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0		0	0	Tempo	2/4	1	1	0							Presto	200.0			1.0	
1	1	0	0	0.0		0	0	Dynamic	2/4	1	1	0					p							
1	1	0	0	0.0		0	0	Tempo	2/4	1	1	0							𝅗𝅥=100	200.0	𝅗𝅥	100.0	0.0	
1	1	0	0	1.5		0	0	Chord	2/4	1	1	3/8		1/4	3/2	0								0
1	1	3/2	3/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	1								
1	1	1/2	1/2	0.0		1/8	1/8	Dynamic	2/4	2	1	0					p							
1	1	1/2	1/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	2								1
1	1	1	1	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	3								1
1	1	3/2	3/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	4								
1	1	1/2	1/2	1.5		1/8	1/8	Chord	2/4	2	2	3/8		1/4	3/2	5								
2	2	2	2	1.5		0	0	Chord	2/4	1	1	3/8		1/4	3/2	6								2
2	2	7/2	7/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	7								
2	2	2	2	2.0		0	0	Chord	2/4	1	2	1/2		1/2	1	8								
2	2	5/2	5/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	9								3
2	2	3	3	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	10								3
2	2	7/2	7/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	11								
2	2	5/2	5/2	1.5		1/8	1/8	Chord	2/4	2	2	3/8		1/4	3/2	12								
3	3	4	4	1.5		0	0	Chord	2/4	1	1	3/8		1/4	3/2	13								4
3	3	11/2	11/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	14								
3	3	4	4	2.0		0	0	Chord	2/4	1	2	1/2		1/2	1	15								
3	3	9/2	9/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	16								5
3	3	5	5	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	17								5
3	3	11/2	11/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	18								
4	4	6	6	0.0		0	0	Chord	2/4	1	1	0	appoggiatura	1/8	1	19								
4	4	6	6	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	20								
4	4	7	7	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	21								
4	4	6	6	1.0		0	0	Chord	2/4	1	2	1/4		1/4	1	22								
4	4	7	7	1.0		1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	23								
4	4	13/2	13/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	24								
