mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_line
1	1	0	0	0.0		0	0	Dynamic	3/4	1	1	0					f									
1	1	0	0	0.0		0	0	Tempo	3/4	1	1	0								𝅘𝅥=120	120.0	𝅘𝅥	120.0	0.0		
1	1	0	0	0.0		0	0	SystemText	3/4	1	1	0							MENUETTO							
1	1	0	0	0.0		0	0	Chord	3/4	1	1	0	grace32	1/32	1	0										
1	1	0	0	0.0		0	0	Chord	3/4	1	1	0	grace32	1/32	1	1										
1	1	0	0	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	2									0	
1	1	2	2	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	3										
1	1	0	0	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	4										
1	1	2	2	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	5										
2	2	3	3	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	6									1	
2	2	7/2	7/2	0.25		1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	7									1	
2	2	15/4	15/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	8										
2	2	4	4	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	9										
2	2	3	3	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	10										
2	2	4	4	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	11										
3	3	6	6	0.0		0	0	Dynamic	3/4	1	1	0					p									
3	3	6	6	0.0		0	0	Dynamic	3/4	1	1	0					p									
3	3	6	6	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	12									2	
3	3	13/2	13/2	0.25		1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	13									2	
3	3	27/4	27/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	14										
3	3	7	7	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	15										
3	3	8	8	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	16										
3	3	8	8	0.0		1/2	1/2	Dynamic	3/4	2	1	0					p									
3	3	8	8	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	17										
4	4	9	9	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	18									3	
4	4	10	10	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	19									3	
4	4	23/2	23/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	20										
4	4	9	9	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	21									4	
4	4	10	10	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	22										
5	5	12	12	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	23									5	
5	5	25/2	25/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	24									5	
5	5	13	13	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	25									5	
5	5	27/2	27/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	26									5	
5	5	14	14	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	27									5	
5	5	29/2	29/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	28										
6	6	15	15	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	29									6	
6	6	31/2	31/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	30									6	
6	6	16	16	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	31									6	
6	6	33/2	33/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	32										
6	6	15	15	0.5		0	0	Chord	3/4	2	1	1/8		1/8	1	33									7	
6	6	31/2	31/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	34									7	
6	6	16	16	0.5		1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	35									7	
6	6	33/2	33/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	36									7	
6	6	17	17	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	37									7	
6	6	35/2	35/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	38										
7	7	18	18	0.0		0	0	Spanner	3/4	1	1	0														0
7	7	18	18	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	39									8	0
7	7	37/2	37/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	40									8	0
7	7	19	19	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	41									8	0
7	7	39/2	39/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	42										0
7	7	18	18	0.5		0	0	Chord	3/4	2	1	1/8		1/8	1	43									9	
7	7	37/2	37/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	44									9	
7	7	19	19	0.5		1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	45									9	
7	7	39/2	39/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	46									9	
7	7	20	20	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	47									9	
7	7	41/2	41/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	48										
8	8	21	21	0.0		0	0	Spanner	3/4	1	1	0														
8	8	21	21	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	49									10	
8	8	43/2	43/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	50									10	
8	8	22	22	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	51									10	
8	8	45/2	45/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	52										
8	8	21	21	0.5		0	0	Chord	3/4	2	1	1/8		1/8	1	53									11	
8	8	43/2	43/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	54									11	
8	8	22	22	0.5		1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	55									11	
8	8	45/2	45/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	56									11	
8	8	23	23	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	57									11	
8	8	47/2	47/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	58										
9	9	24	24	0.0		0	0	Dynamic	3/4	1	1	0					p									
9	9	24	24	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	59										
9	9	25	25	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	60									12	
