mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_line
9	9	51/2	51/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	61									12	
9	9	26	26	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	62									12	
9	9	53/2	53/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	63										
9	9	24	24	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	64										
10	10	27	27	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	65									13	
10	10	55/2	55/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	66										
10	10	28	28	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	67										
10	10	27	27	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	68									14	
10	10	28	28	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	69										
11	11	30	30	0.0		0	0	Dynamic	3/4	1	1	0					f									
11	11	30	30	0.0		0	0	Chord	3/4	1	1	0	grace32	1/32	1	70										
11	11	30	30	0.0		0	0	Chord	3/4	1	1	0	grace32	1/32	1	71										
11	11	30	30	0.0		0	0	Chord	3/4	1	1	0	grace32	1/32	1	72										
11	11	30	30	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	73										
11	11	30	30	0.5		0	0	Chord	3/4	2	1	1/8		1/8	1	74									15	
11	11	61/2	61/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	75									15	
11	11	31	31	0.5		1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	76									15	
11	11	63/2	63/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	77									15	
11	11	32	32	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	78									15	
11	11	65/2	65/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	79										
12	12	33	33	0.25		0	0	Chord	3/4	1	1	1/16		1/16	1	80									16	
12	12	133/4	133/4	0.25		1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	81									16	
12	12	67/2	67/2	0.25		1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	82									16	
12	12	135/4	135/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	83										
12	12	34	34	0.25		1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	84									17	
12	12	137/4	137/4	0.25		5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	85									17	
12	12	69/2	69/2	0.25		3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	86									17	
12	12	139/4	139/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	87										
12	12	35	35	0.25		1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	88									18	
12	12	141/4	141/4	0.25		9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	89									18	
12	12	71/2	71/2	0.25		5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	90									18	
12	12	143/4	143/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	91										
12	12	33	33	0.5		0	0	Chord	3/4	2	1	1/8		1/8	1	92									19	
12	12	67/2	67/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	93									19	
12	12	34	34	0.5		1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	94									19	
12	12	69/2	69/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	95									19	
12	12	35	35	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	96									19	
12	12	71/2	71/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	97										
13	13	36	36	0.25		0	0	Chord	3/4	1	1	1/16		1/16	1	98										
13	13	145/4	145/4	0.25		1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	99										
13	13	73/2	73/2	0.25		1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	100										
13	13	147/4	147/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	101										
13	13	37	37	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	102										
13	13	36	36	0.5		0	0	Chord	3/4	2	1	1/8		1/8	1	103									20	
13	13	73/2	73/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	104									20	
13	13	37	37	0.5		1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	105									20	
13	13	75/2	75/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	106									20	
13	13	38	38	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	107									20	
13	13	77/2	77/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	108										
14	14	39	39	0.25		0	0	Chord	3/4	1	1	1/16		1/16	1	109									21	
14	14	157/4	157/4	0.25		1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	110									21	
14	14	79/2	79/2	0.25		1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	111									21	
14	14	159/4	159/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	112										
14	14	40	40	0.25		1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	113									22	
14	14	161/4	161/4	0.25		5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	114									22	
14	14	81/2	81/2	0.25		3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	115									22	
14	14	163/4	163/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	116										
14	14	41	41	0.25		1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	117									23	
14	14	165/4	165/4	0.25		9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	118									23	
14	14	83/2	83/2	0.25		5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	119									23	
14	14	167/4	167/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	120										
14	14	39	39	0.5		0	0	Chord	3/4	2	1	1/8		1/8	1	121									24	
14	14	79/2	79/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	122									24	
14	14	40	40	0.5		1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	123									24	
14	14	81/2	81/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	124									24	
14	14	41	41	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	125									24	
14	14	83/2	83/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	126										
15	15	42	42	0.25		0	0	Chord	3/4	1	1	1/16		1/16	1	127										
15	15	169/4	169/4	0.25		1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	128										
15	15	85/2	85/2	0.25		1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	129										
15	15	171/4	171/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	130										
15	15	43	43	0.25		1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	131										
15	15	173/4	173/4	0.25		5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	132										
15	15	87/2	87/2	0.25		3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	133										
15	15	175/4	175/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	134										
15	15	44	44	0.25		1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	135										
15	15	177/4	177/4	0.25		9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	136										
15	15	89/2	89/2	0.25		5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	137										
15	15	179/4	179/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	138										
15	15	42	42	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	139										
16	16	45	45	0.25		0	0	Chord	3/4	1	1	1/16		1/16	1	140										
16	16	181/4	181/4	0.25		1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	141										
16	16	91/2	91/2	0.25		1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	142										
16	16	183/4	183/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	143										
16	16	46	46	0.25		1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	144										
16	16	185/4	185/4	0.25		5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	145										
16	16	93/2	93/2	0.25		3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	146										
16	16	187/4	187/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	147										
16	16	47	47	0.25		1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	148										
16	16	189/4	189/4	0.25		9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	149										
16	16	95/2	95/2	0.25		5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	150										
16	16	191/4	191/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	151										
17	17	48	48	0.0		0	0	Dynamic	3/4	1	1	0					p									
17	17	48	48	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	152										
17	17	195/4	195/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	153										
17	17	49	49	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	154										
17	17	50	50	0.0		1/2	1/2	Chord	3/4	1	1	0	grace16	1/16	1	155										
17	17	50	50	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	156										
17	17	48	48	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	157										
17	17	49	49	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	158									25	
17	17	50	50	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	159										
17	17	49	49	2.0		1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	160										
18	18	51	51	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	161										
18	18	51	51	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	162										
18	18	52	52	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	163										
18	18	51	51	1.0		0	0	Chord	3/4	2	2	1/4		1/4	1	164										
19	19	54	54	0.0		0	0	Dynamic	3/4	1	1	0					f									
19	19	54	54	0.0		0	0	Chord	3/4	1	1	0	grace16	1/16	1	165										
19	19	54	54	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	166										
19	19	55	55	0.0		1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	167										
19	19	55	55	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	168										
19	19	56	56	0.0		1/2	1/2	Chord	3/4	1	1	0	grace16	1/16	1	169										
19	19	56	56	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	170										
20	20	57	57	0.0		0	0	Dynamic	3/4	1	1	0					p									
20	20	57	57	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	171									26	
20	20	58	58	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	172										
20	20	239/4	239/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	173										
20	20	57	57	0.5		0	0	Chord	3/4	2	1	1/8		1/8	1	174									27	
20	20	115/2	115/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	175									27	
20	20	58	58	0.5		1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	176									27	
20	20	117/2	117/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	177									27	
20	20	59	59	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	178									27	
20	20	119/2	119/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	179										
21	21	60	60	0.0		0	0	Spanner	3/4	1	1	0														1
21	21	60	60	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	180									28	1
21	21	61	61	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	181										1
21	21	251/4	251/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	182										1
21	21	60	60	0.5		0	0	Chord	3/4	2	1	1/8		1/8	1	183									29	
21	21	121/2	121/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	184									29	
21	21	61	61	0.5		1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	185									29	
21	21	123/2	123/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	186									29	
21	21	62	62	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	187									29	
21	21	125/2	125/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	188										
22	22	63	63	0.0		0	0	Spanner	3/4	1	1	0														
22	22	63	63	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	189									30	
22	22	64	64	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	190										
22	22	263/4	263/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	191										
22	22	63	63	0.5		0	0	Chord	3/4	2	1	1/8		1/8	1	192									31	
22	22	127/2	127/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	193									31	
22	22	64	64	0.5		1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	194									31	
22	22	129/2	129/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	195									31	
22	22	65	65	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	196									31	
22	22	131/2	131/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	197										
23	23	66	66	0.0		0	0	Dynamic	3/4	1	1	0					f									
23	23	66	66	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	198									32	
23	23	133/2	133/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	199										
23	23	67	67	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	200									33	
23	23	135/2	135/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	201										
23	23	68	68	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	202									34	
23	23	137/2	137/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	203										
23	23	66	66	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	204										
24	24	69	69	0.0		0	0	Dynamic	3/4	1	1	0					p									
24	24	69	69	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	205									35	
24	24	70	70	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	206										
24	24	287/4	287/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	207										
24	24	69	69	0.5		0	0	Chord	3/4	2	1	1/8		1/8	1	208									36	
24	24	139/2	139/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	209									36	
24	24	70	70	0.5		1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	210									36	
24	24	141/2	141/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	211									36	
24	24	71	71	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	212									36	
24	24	143/2	143/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	213										
25	25	72	72	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	214									37	
25	25	73	73	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	215										
25	25	299/4	299/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	216										
25	25	72	72	0.5		0	0	Chord	3/4	2	1	1/8		1/8	1	217									38	
25	25	145/2	145/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	218									38	
25	25	73	73	0.5		1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	219									38	
25	25	147/2	147/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	220									38	
25	25	74	74	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	221									38	
25	25	149/2	149/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	222										
26	26	75	75	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	223									39	
26	26	76	76	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	224										
26	26	311/4	311/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	225										
26	26	75	75	0.5		0	0	Chord	3/4	2	1	1/8		1/8	1	226									40	
26	26	151/2	151/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	227									40	
26	26	76	76	0.5		1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	228									40	
26	26	153/2	153/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	229									40	
26	26	77	77	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	230									40	
26	26	155/2	155/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	231										
27	27	78	78	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	232									41	
27	27	157/2	157/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	233									41	
27	27	79	79	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	234									41	
27	27	159/2	159/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	235										
27	27	80	80	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	236		articStaccatoAbove								
27	27	161/2	161/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	237		articStaccatoAbove								
27	27	78	78	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	238										
27	27	80	80	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	239										
28	28	81	81	0.0		0	0	Dynamic	3/4	1	1	0					f									
28	28	81	81	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	240									42	
28	28	163/2	163/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	241									42	
28	28	82	82	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	242									42	
28	28	165/2	165/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	243									42	
28	28	83	83	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	244									42	
28	28	167/2	167/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	245										
28	28	81	81	3.0		0	0	Chord	3/4	2	1	3/4		1/2	3/2	246										
29	29	84	84	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	247									43	
29	29	86	86	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	248										
29	29	84	84	0.5		0	0	Chord	3/4	2	1	1/8		1/8	1	249									44	
29	29	169/2	169/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	250									44	
29	29	85	85	0.5		1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	251									44	
29	29	171/2	171/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	252									44	
29	29	86	86	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	253									44	
29	29	173/2	173/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	254										
29	29	84	84	3.0		0	0	Chord	3/4	2	2	3/4		1/2	3/2	255										
30	30	87	87	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	256										
30	30	177/2	177/2	0.25		3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	257										
30	30	355/4	355/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	258										
30	30	89	89	0.0		1/2	1/2	Chord	3/4	1	1	0	grace16	1/16	1	259										
30	30	89	89	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	260										
30	30	179/2	179/2	0.25		5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	261										
30	30	359/4	359/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	262										
30	30	87	87	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	263										
30	30	87	87	1.0		0	0	Chord	3/4	2	2	1/4		1/4	1	264										
31	31	90	90	0.0		0	0	Dynamic	3/4	1	1	0					f									
31	31	90	90	0.0		0	0	Chord	3/4	1	1	0	grace16	1/16	1	265										
31	31	90	90	0.0		0	0	Chord	3/4	1	1	0	grace16	1/16	1	266										
31	31	90	90	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	267									45	
31	31	92	92	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	268										
31	31	90	90	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	269										
31	31	92	92	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	270										
32	32	93	93	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	271									46	
32	32	187/2	187/2	0.25		1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	272									46	
32	32	375/4	375/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	273										
32	32	94	94	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	274										
32	32	93	93	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	275										
32	32	94	94	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	276										
33	33	96	96	0.0		0	0	Dynamic	3/4	1	1	0					p									
