mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Trill:trill	crescendo_line
1	1	0	0	0.0		0	0	StaffText	2/4	1	1	0							Andante con espressione								
1	1	0	0	0.0		0	0	Dynamic	2/4	1	1	0					p										
1	1	0	0	0.0		0	0	Tempo	2/4	1	1	0								𝅘𝅥=40	40.0	𝅘𝅥	40.0	0.0			
1	1	0	0	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	0									0		
1	1	1/2	1/2	0.0		1/8	1/8	Chord	2/4	1	1	0	grace32	1/32	1	1									0		
1	1	1/2	1/2	0.375		1/8	1/8	Chord	2/4	1	1	3/32		1/16	3/2	2									0		
1	1	7/8	7/8	0.125		7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	3											
1	1	1	1	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	4									1		
1	1	3/2	3/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	5											
1	1	0	0	2.0		0	0	Chord	2/4	2	1	1/2		1/2	1	6											
1	1	0	0	1.0		0	0	Chord	2/4	2	2	1/4		1/4	1	7											
1	1	1	1	0.5		1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	8									2		
1	1	3/2	3/2	0.5		3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	9									2		
2	2	2	2	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	10									3		
2	2	5/2	5/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	11											
2	2	3	3	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	12									4		
2	2	13/4	13/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	13									4		
2	2	7/2	7/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	14									4		
2	2	15/4	15/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	15											
2	2	2	2	2.0		0	0	Chord	2/4	2	1	1/2		1/2	1	16											
2	2	2	2	0.5		0	0	Chord	2/4	2	2	1/8		1/8	1	17									2		
2	2	5/2	5/2	0.5		1/8	1/8	Chord	2/4	2	2	1/8		1/8	1	18											
2	2	3	3	1.0		1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	19											
3	3	4	4	0.0		0	0	Dynamic	2/4	1	1	0					f										
3	3	4	4	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	20		articStaccatoBelow									
3	3	9/2	9/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	21		articStaccatoBelow									
3	3	5	5	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	22		articStaccatoAbove									
3	3	23/4	23/4	0.0		7/16	7/16	Dynamic	2/4	1	1	0					p										
3	3	23/4	23/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	23											
3	3	4	4	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	24		articStaccatoAbove									
3	3	9/2	9/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	25		articStaccatoAbove									
3	3	5	5	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	26		articStaccatoAbove									
3	3	23/4	23/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	27											
4	4	6	6	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	28									5		
4	4	25/4	25/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	29									5		
4	4	13/2	13/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	30									5		
4	4	27/4	27/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	31											
4	4	7	7	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	32									6		
4	4	15/2	15/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	33											
4	4	6	6	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	34									7		
4	4	13/2	13/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	35											
4	4	7	7	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	36											
5	5	8	8	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	37									8		
5	5	17/2	17/2	0.0		1/8	1/8	Chord	2/4	1	1	0	grace32	1/32	1	38									8		
5	5	17/2	17/2	0.375		1/8	1/8	Chord	2/4	1	1	3/32		1/16	3/2	39									8		
5	5	71/8	71/8	0.125		7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	40											
5	5	9	9	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	41									9		
5	5	19/2	19/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	42											
5	5	8	8	2.0		0	0	Chord	2/4	2	1	1/2		1/2	1	43											
5	5	8	8	1.0		0	0	Chord	2/4	2	2	1/4		1/4	1	44											
5	5	9	9	0.5		1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	45									10		
5	5	19/2	19/2	0.5		3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	46									10		
6	6	10	10	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	47											
6	6	21/2	21/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	48									11		
6	6	43/4	43/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	49									11		
6	6	11	11	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	50									11		
6	6	45/4	45/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	51									11		
6	6	23/2	23/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	52									11		
6	6	47/4	47/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	53											
6	6	10	10	2.0		0	0	Chord	2/4	2	1	1/2		1/2	1	54											
6	6	10	10	0.5		0	0	Chord	2/4	2	2	1/8		1/8	1	55									10		
6	6	21/2	21/2	0.5		1/8	1/8	Chord	2/4	2	2	1/8		1/8	1	56											
6	6	11	11	1.0		1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	57											
7	7	12	12	0.0		0	0	Dynamic	2/4	1	1	0					f										
7	7	12	12	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	58		articStaccatoBelow									
7	7	25/2	25/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	59		articStaccatoBelow									
7	7	13	13	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	60									12		
7	7	53/4	53/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	61									12		
7	7	27/2	27/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	62									12		
7	7	55/4	55/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	63											
7	7	13	13	0.5		1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	64											
7	7	12	12	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	65		articStaccatoAbove									
7	7	25/2	25/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	66		articStaccatoAbove									
7	7	13	13	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	67											
7	7	55/4	55/4	0.0		7/16	7/16	Dynamic	2/4	2	1	0					p										
7	7	55/4	55/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	68											
8	8	14	14	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	69									13		
8	8	29/2	29/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	70		ornamentTrill									
8	8	15	15	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	71											
8	8	14	14	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	72									14		
8	8	29/2	29/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	73											
8	8	15	15	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	74									15		
8	8	61/4	61/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	75									15		
8	8	31/2	31/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	76									15		
8	8	63/4	63/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	77											
8	8	14	14	1.0		0	0	Chord	2/4	2	2	1/4		1/4	1	78											
8	8	15	15	1.0		1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	79											
9	9	16	16	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	80											
9	9	17	17	0.0		1/4	1/4	Chord	2/4	1	1	0	grace16	1/16	1	81											
9	9	17	17	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	82											
9	9	35/2	35/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	83											
9	9	71/4	71/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	84											
9	9	16	16	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	85									16		
9	9	65/4	65/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	86									16		
9	9	33/2	33/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	87									16		
9	9	67/4	67/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	88											
9	9	17	17	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	89									17		
9	9	69/4	69/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	90									17		
9	9	35/2	35/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	91									17		
9	9	71/4	71/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	92											
9	9	16	16	1.0		0	0	Chord	2/4	2	2	1/4		1/4	1	93											
9	9	17	17	1.0		1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	94											
10	10	18	18	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	95											
10	10	19	19	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	96											
10	10	39/2	39/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	97		ornamentTrill									
10	10	18	18	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	98									18		
10	10	73/4	73/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	99									18		
10	10	37/2	37/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	100									18		
10	10	75/4	75/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	101											
10	10	19	19	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	102									19		
10	10	77/4	77/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	103									19		
10	10	39/2	39/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	104									19		
10	10	79/4	79/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	105											
10	10	18	18	1.0		0	0	Chord	2/4	2	2	1/4		1/4	1	106											
10	10	19	19	1.0		1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	107											
11	11	20	20	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	108											
11	11	41/2	41/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	109											
11	11	21	21	0.0		1/4	1/4	Chord	2/4	1	1	0	grace16	1/16	1	110											
11	11	21	21	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	111											
11	11	43/2	43/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	112											
11	11	87/4	87/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	113											
11	11	20	20	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	114									20		
11	11	81/4	81/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	115									20		
11	11	41/2	41/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	116									20		
11	11	83/4	83/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	117											
11	11	21	21	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	118									21		
11	11	85/4	85/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	119									21		
11	11	43/2	43/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	120									21		
11	11	87/4	87/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	121											
11	11	20	20	1.0		0	0	Chord	2/4	2	2	1/4		1/4	1	122											
11	11	21	21	1.0		1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	123											
12	1		22	0.0	1	0	0	Dynamic	2/4	1	1	0					p										
12	1		22	0.5	1	0	0	Chord	2/4	1	1	1/8		1/8	1	124									22		
12	1		45/2	0.0	1	1/8	1/8	Chord	2/4	1	1	0	grace32	1/32	1	125									22		
12	1		45/2	0.375	1	1/8	1/8	Chord	2/4	1	1	3/32		1/16	3/2	126									22		
12	1		183/8	0.125	1	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	127											
12	1		23	0.5	1	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	128									23		
12	1		47/2	0.5	1	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	129											
12	1		22	2.0	1	0	0	Chord	2/4	2	1	1/2		1/2	1	130											
12	1		22	1.0	1	0	0	Chord	2/4	2	2	1/4		1/4	1	131											
12	1		23	0.5	1	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	132									24		
12	1		47/2	0.5	1	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	133											
13	12	22	24	1.0	2	0	0	Chord	2/4	1	1	1/4		1/4	1	134											
13	12	23	25	0.5	2	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	135											
13	12	47/2	51/2	0.5	2	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	136											
13	12	22	24	1.0	2	0	0	Chord	2/4	2	1	1/4		1/4	1	137											
13	12	23	25	0.5	2	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	138											
13	12	47/2	51/2	0.5	2	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	139											
14	13	24	26	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	140									25		
14	13	97/4	105/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	141									25		
14	13	49/2	53/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	142									25		
14	13	99/4	107/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	143											
14	13	25	27	0.0		1/4	1/4	Chord	2/4	1	1	0	grace16	1/16	1	144											
14	13	25	27	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	145											
14	13	51/2	55/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	146											
14	13	103/4	111/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	147											
14	13	24	26	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	148											
14	13	25	27	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	149											
14	13	51/2	55/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	150											
15	14	26	28	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	151											
15	14	27	29	0.0		1/4	1/4	Dynamic	2/4	1	1	0					f										
15	14	27	29	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	152											
15	14	55/2	59/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	153											
15	14	26	28	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	154											
15	14	27	29	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	155											
15	14	55/2	59/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	156											
16	15	28	30	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	157											
16	15	29	31	0.0		1/4	1/4	Dynamic	2/4	1	1	0					p										
16	15	29	31	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	158											
16	15	59/2	63/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	159											
16	15	28	30	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	160											
16	15	29	31	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	161											
16	15	59/2	63/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	162											
17	16	30	32	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	163											
17	16	63/2	67/2	0.0		3/8	3/8	Dynamic	2/4	1	1	0					f										
17	16	63/2	67/2	0.375		3/8	3/8	Chord	2/4	1	1	3/32		1/16	3/2	164		ornamentTrill									
17	16	255/8	271/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	165											
17	16	30	32	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	166											
18	17	32	34	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	167											
18	17	65/2	69/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	168											
18	17	33	35	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	169											
18	17	133/4	141/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	170											
18	17	67/2	71/2	0.375		3/8	3/8	Chord	2/4	1	1	3/32		1/16	3/2	171		ornamentTrill									
18	17	271/8	287/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	172											
18	17	32	34	0.0		0	0	Dynamic	2/4	2	1	0					f										
18	17	32	34	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	173									26		
18	17	129/4	137/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	174									26		
18	17	65/2	69/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	175									26		
18	17	131/4	139/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	176											
18	17	33	35	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	177									27		
18	17	133/4	141/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	178									27		
18	17	67/2	71/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	179									27		
18	17	135/4	143/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	180											
19	18	34	36	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	181									28		
19	18	137/4	145/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	182											
19	18	69/2	73/2	0.75		1/8	1/8	Chord	2/4	1	1	3/16		1/8	3/2	183											
19	18	141/4	149/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	184		articStaccatoAbove									
19	18	71/2	75/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	185		articStaccatoAbove									
19	18	143/4	151/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	186		articStaccatoAbove									
19	18	34	36	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	187									29		
19	18	137/4	145/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	188									29		
19	18	69/2	73/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	189									29		
19	18	139/4	147/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	190											
19	18	35	37	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	191									30		
19	18	141/4	149/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	192									30		
19	18	71/2	75/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	193									30		
19	18	143/4	151/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	194											
20	19	36	38	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	195									31		
20	19	145/4	153/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	196											
20	19	73/2	77/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	197											
20	19	37	39	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	198											
