mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	slur
1	1	0	0.0	0	0	Dynamic	2/4	1	1	0						p				
1	1	0	0.0	0	0	Tempo	2/4	1	1	0								Allegretto	90	
1	1	0	0.0	0	0	Tempo	2/4	1	1	0								 = 92	92	
1	1	0	0.75	0	0	Chord	2/4	1	1	3/16			1/8	3/2	0					0
1	1	3/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32			1/32	1	1					0
1	1	7/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32			1/32	1	2					0
1	1	1	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	3					
1	1	3/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	4		articStaccatoAbove			
1	1	1/2	0.0	1/8	1/8	Dynamic	2/4	2	1	0						p				
1	1	1/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	5					
1	1	1	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	6					
1	1	3/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	7					
1	1	1/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8			1/8	1	8					
1	1	1	0.5	1/4	1/4	Chord	2/4	2	2	1/8			1/8	1	9					
1	1	3/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8			1/8	1	10					
2	2	2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	11					1
2	2	5/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	12					
2	2	3	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	13		articStaccatoAbove			
2	2	5/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	14					
2	2	3	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	15					
2	2	7/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	16					
2	2	5/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8			1/8	1	17					
2	2	3	0.5	1/4	1/4	Chord	2/4	2	2	1/8			1/8	1	18					
2	2	7/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8			1/8	1	19					
3	3	4	0.75	0	0	Chord	2/4	1	1	3/16			1/8	3/2	20					2
3	3	19/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32			1/32	1	21					
3	3	39/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32			1/32	1	22					
3	3	5	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	23					
3	3	11/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	24		articStaccatoAbove			
3	3	9/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	25					
3	3	5	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	26					
3	3	11/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	27					
3	3	9/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8			1/8	1	28					
3	3	5	0.5	1/4	1/4	Chord	2/4	2	2	1/8			1/8	1	29					
3	3	11/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8			1/8	1	30					
4	4	6	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	31					3
4	4	13/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	32					
4	4	7	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	33		articStaccatoAbove			
4	4	13/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	34					
4	4	7	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	35					
4	4	15/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	36					
4	4	13/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8			1/8	1	37					
4	4	7	0.5	1/4	1/4	Chord	2/4	2	2	1/8			1/8	1	38					
4	4	15/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8			1/8	1	39					
