mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	0	0	0	0.0	0	7/8	SystemText	4/4	1	1	0							Allegretto						
1	0	0	0	0.0	0	7/8	Tempo	4/4	1	1	0								𝅗𝅥=72	144.0	𝅗𝅥	72.0	0.0	
1	0	0	0	0.5	0	7/8	Chord	4/4	1	1	1/8		1/8	1	0									
2	1	1/2	1/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	1									
2	1	3/2	3/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	2									
2	1	5/2	5/2	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	3									0
2	1	7/2	7/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	4									
2	1	4	4	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	5		articStaccatissimoAbove							
2	1	1/2	1/2	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	6									
2	1	1	1	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	7									
2	1	3/2	3/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	8									
2	1	2	2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	9									
2	1	5/2	5/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	10									
2	1	3	3	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	11									
2	1	7/2	7/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	12									
2	1	4	4	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	13									
3	2	9/2	9/2	0.0	0	0	Chord	4/4	1	1	0	grace16	1/16	1	14									
3	2	9/2	9/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	15		articStaccatoAbove							
3	2	5	5	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	16		articStaccatoAbove							
3	2	11/2	11/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	17		articStaccatoAbove							
3	2	6	6	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	18		articStaccatoAbove							
3	2	13/2	13/2	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	19									1
3	2	15/2	15/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	20									
3	2	8	8	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	21		articStaccatissimoAbove							
3	2	9/2	9/2	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	22									
3	2	5	5	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	23									
3	2	11/2	11/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	24									
3	2	6	6	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	25									
3	2	13/2	13/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	26									
3	2	7	7	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	27									
3	2	15/2	15/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	28									
3	2	8	8	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	29									
4	3	17/2	17/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	30		articStaccatissimoAbove							
4	3	9	9	1.0	1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	31									2
4	3	10	10	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	32									
4	3	21/2	21/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	33		articStaccatissimoAbove							
4	3	11	11	1.0	5/8	5/8	Chord	4/4	1	1	1/4		1/4	1	34									3
4	3	12	12	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	35									
4	3	17/2	17/2	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	36									
4	3	9	9	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	37									
