mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_line
1	1	0	0	0.0	0	0	Dynamic	3/4	1	1	0					p								
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0							𝅗𝅥.=50	150.0	𝅗𝅥.	50.0	0.0		
1	1	0	0	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	0								0	
1	1	2	2	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	1									
1	1	0	0	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	2								1	
1	1	1/2	1/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	3								1	
1	1	1	1	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	4								1	
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	5								1	
1	1	2	2	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	6								1	
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	7								1	
2	2	3	3	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	8								2	
2	2	5	5	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	9									
2	2	3	3	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	10								1	
2	2	7/2	7/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	11								1	
2	2	4	4	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	12								1	
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	13								1	
2	2	5	5	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	14								1	
2	2	11/2	11/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	15									
3	3	6	6	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	16								3	
3	3	8	8	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	17									
3	3	6	6	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	18								4	
3	3	13/2	13/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	19								4	
3	3	7	7	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	20								4	
3	3	15/2	15/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	21								4	
3	3	8	8	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	22								4	
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	23									
4	4	9	9	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	24								5	
4	4	19/2	19/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	25									
4	4	10	10	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	26									
4	4	9	9	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	27								6	
4	4	19/2	19/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	28								6	
4	4	10	10	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	29								6	
4	4	21/2	21/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	30								6	
4	4	11	11	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	31								6	
4	4	23/2	23/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	32									
5	5	12	12	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	33								7	
5	5	13	13	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	34								7	
5	5	14	14	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	35									
5	5	12	12	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	36									
6	6	15	15	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	37								8	
6	6	16	16	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	38									
6	6	35/2	35/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	39									
7	7	18	18	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	40									
7	7	18	18	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	41								9	
7	7	19	19	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	42									
7	7	20	20	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	43									
8	8	21	21	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	44									
8	8	21	21	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	45									
8	8	22	22	0.5	1/4	1/4	Chord	3/4	1	3	1/8		1/8	1	46		ornamentTrill						10	
8	8	45/2	45/2	0.5	3/8	3/8	Chord	3/4	1	3	1/8		1/8	1	47								10	
8	8	23	23	1.0	1/2	1/2	Chord	3/4	1	3	1/4		1/4	1	48									
8	8	21	21	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	49								11	
8	8	22	22	1.5	1/4	1/4	Chord	3/4	2	1	3/8		1/4	3/2	50								11	
8	8	47/2	47/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	51									
9	9	24	24	0.0	0	0	Spanner	3/4	1	1	0													0
9	9	24	24	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	52								12	0
9	9	25	25	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	53									0
9	9	26	26	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	54									0
9	9	24	24	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	55									0
