mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_line
1	1	0	0	0.0	0	0	Dynamic	2/4	1	1	0					p									
1	1	0	0	0.0	0	0	Tempo	2/4	1	1	0								𝅘𝅥=90	90.0	𝅘𝅥	90.0	0.0		
1	1	0	0	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	0									0	
1	1	3/4	3/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	1									0	
1	1	7/8	7/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	2									0	
1	1	1	1	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	3										
1	1	3/2	3/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	4		articStaccatoAbove								
1	1	1/2	1/2	0.0	1/8	1/8	Dynamic	2/4	2	1	0					p									
1	1	1/2	1/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	5										
1	1	1	1	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	6										
1	1	3/2	3/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	7										
2	2	2	2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	8										
2	2	5/2	5/2	0.0	1/8	1/8	Chord	2/4	1	1	0	grace16	1/16	1	9										
2	2	5/2	5/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	10										
2	2	3	3	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	11										
2	2	2	2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	12										
2	2	5/2	5/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	13										
2	2	3	3	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	14										
2	2	7/2	7/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	15										
3	3	4	4	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	16									1	
3	3	19/4	19/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	17									1	
3	3	39/8	39/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	18										
3	3	5	5	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	19										
3	3	11/2	11/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	20		articStaccatoAbove								
3	3	9/2	9/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	21										
3	3	5	5	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	22										
3	3	11/2	11/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	23										
4	4	6	6	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	24									2	
4	4	13/2	13/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	25		ornamentTrill								
4	4	7	7	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	26										
4	4	6	6	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	27										
4	4	13/2	13/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	28										
4	4	7	7	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	29										
4	4	15/2	15/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	30										
5	5	8	8	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	31									3	
5	5	35/4	35/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	32										
5	5	71/8	71/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	33										
5	5	9	9	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	34										
5	5	19/2	19/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	35		articStaccatoAbove								
5	5	8	8	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	36									4	
5	5	17/2	17/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	37									4	
5	5	9	9	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	38									4	
5	5	19/2	19/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	39									4	
6	6	10	10	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	40									5	
6	6	43/4	43/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	41									5	
6	6	87/8	87/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	42										
6	6	11	11	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	43										
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	44		articStaccatoAbove								
6	6	10	10	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	45									4	
6	6	21/2	21/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	46									4	
6	6	11	11	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	47									4	
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	48										
7	7	12	12	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	49									6	
7	7	49/4	49/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	50										
7	7	25/2	25/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	51									7	
7	7	51/4	51/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	52										
7	7	13	13	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	53									8	
7	7	53/4	53/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	54										
7	7	27/2	27/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	55									9	
7	7	55/4	55/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	56										
7	7	25/2	25/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	57										
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	58										
8	8	14	14	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	59									10	
8	8	57/4	57/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	60									10	
8	8	29/2	29/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	61									10	
8	8	59/4	59/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	62									10	
8	8	15	15	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	63									10	
8	8	61/4	61/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	64									10	
8	8	31/2	31/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	65									10	
8	8	63/4	63/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	66										
8	8	14	14	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	67										
9	9	16	16	0.0	0	0	Dynamic	2/4	1	1	0					f									
9	9	16	16	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	68									11	
9	9	67/4	67/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	69									11	
9	9	135/8	135/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	70									11	
9	9	17	17	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	71										
9	9	35/2	35/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	72										
9	9	16	16	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	73										
9	9	65/4	65/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	74										
9	9	33/2	33/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	75										
9	9	67/4	67/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	76										
9	9	17	17	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	77										
9	9	69/4	69/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	78										
9	9	35/2	35/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	79										
9	9	71/4	71/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	80										
10	10	18	18	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	81									12	
10	10	37/2	37/2	0.0	1/8	1/8	Chord	2/4	1	1	0	grace16	1/16	1	82										
10	10	37/2	37/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	83										
10	10	19	19	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	84										
10	10	18	18	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	85										
