path	filename	extension	md5	composer	workTitle	composed_start	composed_end	workNumber	movementNumber	movementTitle	label_count	KeySig	TimeSig	musescore	source	typesetter	annotator	reviewers	wikidata	viaf	musicbrainz	imslp
./K279-1.mscx	K279-1	.mscx	f483c21438f515e9892ef90c2e0f95e2	Wolfgang Amadeus Mozart	Piano Sonata no. 1 in C major	1775	1775	K279	1	Allegro	246		4/4	2.3.2	http://www.tobis-notenarchiv.de/mozart/KV_279_1.cap	Tobias Schölkopf	Uli Kneisel	Johannes Hentschel, Markus Neuwirth	http://www.wikidata.org/entity/Q2194957		https://musicbrainz.org/work/62c0bdd8-46ca-4e17-879c-443ad9fd599e	https://imslp.org/wiki/Piano_Sonata_No.1_in_C_major,_K.279/189d_(Mozart,_Wolfgang_Amadeus)
./K279-2.mscx	K279-2	.mscx	764549d7f12dafcd230b099c46365525	Wolfgang Amadeus Mozart	Piano Sonata no. 1 in C major	1775	1775	K279	2	Andante	160	-1	3/4	2.3.2	http://www.tobis-notenarchiv.de/mozart/KV_279_2.cap	Tobias Schölkopf	Uli Kneisel	Johannes Hentschel, Markus Neuwirth	http://www.wikidata.org/entity/Q2194958		https://musicbrainz.org/work/62c0bdd8-46ca-4e17-879c-443ad9fd599e	https://imslp.org/wiki/Piano_Sonata_No.1_in_C_major,_K.279/189d_(Mozart,_Wolfgang_Amadeus)
./K279-3.mscx	K279-3	.mscx	7bb125dd471686f7c9cb23972b29fb82	Wolfgang Amadeus Mozart	Piano Sonata no. 1 in C major	1775	1775	K279	3	Allegro	320		2/4	2.3.2	http://www.tobis-notenarchiv.de/mozart/KV_279_3.cap	Tobias Schölkopf	Uli Kneisel	Johannes Hentschel, Markus Neuwirth	http://www.wikidata.org/entity/Q2194959		https://musicbrainz.org/work/62c0bdd8-46ca-4e17-879c-443ad9fd599e	https://imslp.org/wiki/Piano_Sonata_No.1_in_C_major,_K.279/189d_(Mozart,_Wolfgang_Amadeus)
./K280-1.mscx	K280-1	.mscx	a3ad8990db3152a390c514506c40b5de	Wolfgang Amadeus Mozart	Piano Sonata no. 2 in F major	1775	1775	K280	1	Allegro assai	237	-1	3/4	2.3.2	http://www.tobis-notenarchiv.de/mozart/KV_280_1.cap	Tobias Schölkopf	Uli Kneisel	Johannes Hentschel, Markus Neuwirth	http://www.wikidata.org/entity/Q954538	https://viaf.org/viaf/185925450	https://musicbrainz.org/work/52912ca4-855d-451d-9abb-d3e3a353e6d2	https://imslp.org/wiki/Piano_Sonata_No.2_in_F_major,_K.280/189e_(Mozart,_Wolfgang_Amadeus)
./K280-2.mscx	K280-2	.mscx	0f52380a98613c1b9512de0b26932479	Wolfgang Amadeus Mozart	Piano Sonata no. 2 in F major	1775	1775	K280	2	Adagio	122	-4	6/8	2.3.2	http://www.tobis-notenarchiv.de/mozart/KV_280_2.cap	Tobias Schölkopf	Uli Kneisel	Johannes Hentschel, Markus Neuwirth	http://www.wikidata.org/entity/Q954539	https://viaf.org/viaf/185925451	https://musicbrainz.org/work/52912ca4-855d-451d-9abb-d3e3a353e6d3	https://imslp.org/wiki/Piano_Sonata_No.2_in_F_major,_K.280/189e_(Mozart,_Wolfgang_Amadeus)
./K280-3.mscx	K280-3	.mscx	489c4092201a1fa52c10b1efb0d2b60a	Wolfgang Amadeus Mozart	Piano Sonata no. 2 in F major	1775	1775	K280	3	Presto	199	-1	3/8	2.3.2	http://www.tobis-notenarchiv.de/mozart/KV_280_3.cap	Tobias Schölkopf	Uli Kneisel	Johannes Hentschel, Markus Neuwirth	http://www.wikidata.org/entity/Q954540	https://viaf.org/viaf/185925452	https://musicbrainz.org/work/52912ca4-855d-451d-9abb-d3e3a353e6d4	https://imslp.org/wiki/Piano_Sonata_No.2_in_F_major,_K.280/189e_(Mozart,_Wolfgang_Amadeus)
./K281-1.mscx	K281-1	.mscx	96acc307fb5738ddff73c85bcfb2441f	Wolfgang Amadeus Mozart	Piano Sonata no. 3 in B flat major	1775	1775	K281	1	Allegro	202	-2	2/4	2.3.2	http://www.tobis-notenarchiv.de/mozart/KV_281_1.cap	Tobias Schölkopf	Uli Kneisel	Johannes Hentschel, Markus Neuwirth	http://www.wikidata.org/entity/Q2061529		https://musicbrainz.org/work/4495fb34-25b6-48f9-9a53-e2caa9ac8a2c	https://imslp.org/wiki/Piano_Sonata_No.3_in_B-flat_major,_K.281/189f_(Mozart,_Wolfgang_Amadeus)
./K281-2.mscx	K281-2	.mscx	3094bc98add1080993051db61b34d342	Wolfgang Amadeus Mozart	Piano Sonata no. 3 in B flat major	1775	1775	K281	2	Andante amoroso	153	-3	3/8	2.3.2	http://www.tobis-notenarchiv.de/mozart/KV_281_2.cap	Tobias Schölkopf	Uli Kneisel	Johannes Hentschel, Markus Neuwirth	http://www.wikidata.org/entity/Q2061530		https://musicbrainz.org/work/4495fb34-25b6-48f9-9a53-e2caa9ac8a2c	https://imslp.org/wiki/Piano_Sonata_No.3_in_B-flat_major,_K.281/189f_(Mozart,_Wolfgang_Amadeus)
./K281-3.mscx	K281-3	.mscx	dcd707f3996fc8cfb9d0efca48ea5b94	Wolfgang Amadeus Mozart	Piano Sonata no. 3 in B flat major	1775	1775	K281	3	Rondeau – Allegro	375	-2	2/2	2.3.2	http://www.tobis-notenarchiv.de/mozart/KV_281_3.cap	Tobias Schölkopf	Uli Kneisel	Johannes Hentschel, Markus Neuwirth	http://www.wikidata.org/entity/Q2061531		https://musicbrainz.org/work/4495fb34-25b6-48f9-9a53-e2caa9ac8a2c	https://imslp.org/wiki/Piano_Sonata_No.3_in_B-flat_major,_K.281/189f_(Mozart,_Wolfgang_Amadeus)
./K282-1.mscx	K282-1	.mscx	15737ed315050a0c41f1b3cc801b3718	Wolfgang Amadeus Mozart	Piano Sonata no. 4 in E flat major	1775	1775	K282	1	Adagio	106	-3	4/4	2.3.2	http://www.tobis-notenarchiv.de/mozart/KV_282_1.cap	Tobias Schölkopf	Uli Kneisel	Johannes Hentschel, Markus Neuwirth	http://www.wikidata.org/entity/Q3964687		https://musicbrainz.org/work/97cc4159-c124-48a6-92ae-d05e8175cb2b	https://imslp.org/wiki/Piano_Sonata_No.4_in_E-flat_major,_K.282/189g_(Mozart,_Wolfgang_Amadeus)
