mc	mn	onset	chords
57	55	0	viio6
58	56	0	I6
59	57	0	ii6
59	57	1/2	V
60	58	0	I
61	59	1/4	viio6(2)
61	59	1/2	viio6
62	60	1/4	I6
63	61	0	ii6
63	61	1/2	V
64	62	0	I\\
65	63	0	I.V[I
66	64	0	V7
68	66	0	I
69	67	0	I6
69	67	1/2	V7
70	68	0	V]\\
72	70	0	V7
74	72	0	I
75	73	0	V43
76	74	0	V65
77	75	0	I
77	75	3/8	V6/ii
77	75	1/2	ii
79	77	0	V43/ii
80	78	0	V65/ii
81	79	0	ii
82	80	0	IV.IV6
82	80	1/2	V65
83	81	0	I(#9)
83	81	1/4	I
83	81	1/2	I6
84	82	0	I
85	83	0	V6
86	84	0	I
86	84	3/8	vi
87	85	0	ii
87	85	3/8	viio
87	85	5/8	viio6
88	86	0	I6
88	86	1/4	I
88	86	1/2	I6
88	86	5/8	I.viio
89	87	0	I
89	87	1/4	vi
89	87	1/2	vi6
90	88	0	I6
90	88	1/4	I
90	88	1/2	I.I6
90	88	5/8	viio/V
91	89	0	V\\
92	90	0	I6
92	90	1/4	V43
92	90	1/2	I(4)
92	90	5/8	I
93	91	0	V6(6)
93	91	1/8	V6
93	91	1/4	vi7(4)
93	91	3/8	vi7
93	91	1/2	V(4)
93	91	5/8	V
94	92	0	vi7(4)
94	92	1/16	vi7
94	92	1/4	V6(6)
94	92	5/16	V6
94	92	1/2	I(4)
94	92	9/16	I
95	93	0	V43
95	93	1/4	V6
95	93	1/2	V
96	94	0	I6
96	94	1/4	V43
96	94	1/2	I
97	95	0	V6
97	95	1/4	vi7
97	95	1/2	V
98	96	0	vi7
98	96	1/4	V6
98	96	1/2	I
99	97	0	V64
99	97	1/4	V6
99	97	1/2	V
100	98	0	I\\
100	98	1/2	viio
100	98	5/8	I
101	99	1/2	vii%7
101	99	5/8	I
102	100	1/2	viio/V
102	100	5/8	V
103	101	0	viio/IV
103	101	1/8	IV
103	101	1/4	viio43/V
103	101	3/8	V6
103	101	1/2	viio43/IV
103	101	5/8	IV6
104	102	0	V7
104	102	1/2	V2
105	103	0	I6
106	104	0	ii6
106	104	1/4	V(64)
106	104	1/2	V7
107	105	0	I\\
107	105	1/2	viio/V
107	105	5/8	V
108	106	0	viio/IV
108	106	1/8	IV
108	106	1/4	viio43/V
108	106	3/8	V6
108	106	1/2	viio43/IV
108	106	5/8	IV6
109	107	0	V7
109	107	1/2	V2
110	108	0	I6
111	109	0	ii6
111	109	1/4	V(64)
111	109	1/2	V7
112	110	0	I
112	110	1/2	IV6
112	110	5/8	viio
113	111	0	I
113	111	1/2	IV6
113	111	5/8	viio
114	112	0	I
114	112	1/8	vi6
114	112	1/4	V6(2)
114	112	3/8	V6
114	112	1/2	IV6(2)
114	112	5/8	IV6
115	113	0	iii6(2)
115	113	1/8	iii6
115	113	1/4	ii6(2)
115	113	3/8	ii6
115	113	1/2	I6(2)
115	113	5/8	I6
116	114	0	IV+
116	114	1/8	ii6
116	114	1/4	ii
116	114	1/2	V(64)
116	114	5/8	V
117	115	0	I
117	115	3/16	vi6
117	115	1/4	V6(2)
117	115	7/16	V6
117	115	1/2	IV6(2)
117	115	11/16	IV6
118	116	0	iii6(2)
118	116	3/16	iii6
118	116	1/4	ii6(2)
118	116	7/16	ii6
118	116	1/2	I6(2)
118	116	11/16	I6
119	117	0	IV
119	117	1/4	V(64)
119	117	1/2	V7
120	118	0	I[I\\
120	118	3/8	viio6/IV
120	118	1/2	IV6
120	118	5/8	viio
121	119	0	I
121	119	3/8	viio/IV
121	119	1/2	IV
121	119	5/8	viio6
122	120	0	I]
