mc	mn	onset	chords
1	0	1/2	.G.I
2	1	0	I
3	2	0	V43
4	3	0	V6
4	3	1/2	V65
5	4	0	I
6	5	0	IV(4)
6	5	1/8	IV
7	6	0	I6(6)
7	6	1/8	I6
8	7	0	V43
8	7	1/4	I
8	7	1/2	V6
9	8	0	I
9	8	1/2	IV6
10	9	1/4	V(64)
10	9	1/2	V7
11	10	0	I\\
12	11	0	IV(4)
12	11	1/8	IV
13	12	0	I6(6)
13	12	1/8	I6
14	13	0	V43
14	13	1/4	I
14	13	1/2	V6
15	14	0	I
15	14	1/2	IV6
16	15	1/4	V(64)
16	15	1/2	V7
17	16	0	I\\
18	17	0	IV
18	17	3/8	ii
19	18	0	V
19	18	3/8	I6
19	18	5/8	viio6/IV
20	19	0	IV6
20	19	1/4	IV
20	19	1/2	IV6
20	19	5/8	viio
21	20	0	I
21	20	1/4	vi
21	20	1/2	vi6
22	21	0	I6
22	21	1/4	I
22	21	1/2	I6
22	21	5/8	viio/V
23	22	0	V\\
24	23	0	V.I6
24	23	1/4	V43
24	23	1/2	I(4)
24	23	5/8	I
25	24	0	V6(6)
25	24	1/8	V6
25	24	1/4	vi7(4)
25	24	3/8	vi7
25	24	1/2	V(4)
25	24	5/8	V
26	25	0	vi7(4)
26	25	1/16	vi7
26	25	1/4	V6(6)
26	25	5/16	V6
26	25	1/2	I(4)
26	25	9/16	I
27	26	0	V43
27	26	1/4	V6
27	26	1/2	V
28	27	0	I6
28	27	1/4	V43
28	27	1/2	I
29	28	0	V6
29	28	1/4	vi7
29	28	1/2	V
30	29	0	vi7
30	29	1/4	V6
30	29	1/2	I
31	30	0	V43
31	30	1/4	V6
31	30	1/2	V
32	31	0	I\\
32	31	1/2	viio
32	31	5/8	I
33	32	1/2	vii%7
33	32	5/8	I
34	33	1/2	viio/V
34	33	5/8	V
35	34	0	viio/IV
35	34	1/8	IV
35	34	1/4	#viio43/V
35	34	3/8	V6
35	34	1/2	viio43/IV
35	34	5/8	IV6
36	35	0	V7
36	35	1/2	V2
37	36	0	I6
38	37	0	ii6
38	37	1/4	V(64)
38	37	1/2	V7
39	38	0	I\\
39	38	1/2	viio/V
39	38	5/8	V
40	39	0	viio/IV
40	39	1/8	IV
40	39	1/4	viio43/V
40	39	3/8	V6
40	39	1/2	viio43/IV
40	39	5/8	IV6
41	40	0	V7
41	40	1/2	V2
42	41	0	I6
43	42	0	ii6
43	42	1/4	V(64)
43	42	1/2	V7
44	43	0	I\\
44	43	3/8	iii6
44	43	1/2	IV6
44	43	5/8	viio
45	44	0	I
45	44	3/8	iii6
45	44	1/2	IV6
45	44	5/8	viio
46	45	0	I
46	45	1/8	vi6
46	45	1/4	V6(2)
46	45	3/8	V6
46	45	1/2	IV6(2)
46	45	5/8	IV6
47	46	0	iii6(2)
47	46	1/8	iii6
47	46	1/4	ii6(2)
47	46	3/8	ii6
47	46	1/2	I6(2)
47	46	5/8	I6
48	47	0	IV+
48	47	1/8	ii6
48	47	1/4	ii
48	47	1/2	V7
49	48	0	I\\
49	48	3/16	vi6
49	48	1/4	V6(2)
49	48	7/16	V6
49	48	1/2	IV6(2)
49	48	11/16	IV6
50	49	0	iii6(2)
50	49	3/16	iii6
50	49	1/4	ii6(2)
50	49	7/16	ii6
50	49	1/2	I6(2)
50	49	11/16	I6
51	50	0	ii6
51	50	1/4	V(64)
51	50	1/2	V7
52	51	0	I[I\\
52	51	3/8	viio/IV
52	51	1/2	IV64
52	51	5/8	viio6
53	52	0	I6
53	52	3/8	viio/IV
53	52	1/2	IV64
53	52	5/8	viio6
54	53	0	I]
56	54	0	I
