mc	mn	onset	label	volta
1	1	0	.A.I	
1	1	3/8	I6	
2	2	0	V6	
2	2	3/8	V43	
3	3	0	vi7	
3	3	3/8	V6	
4	4	0	I	
4	4	1/4	ii6	
4	4	3/8	V(64)	
4	4	5/8	V\\	
5	5	0	I	
5	5	3/8	I6	
6	6	0	V6	
6	6	3/8	V43	
7	7	0	vi7	
7	7	1/4	V6	
7	7	3/8	I	
7	7	5/8	ii6	
8	8	0	V(64)	
8	8	1/4	V7	
8	8	3/8	I\\	
9	9	0	I[I6	
9	9	3/8	IV	
10	10	3/8	I6	
11	11	0	I6]	
11	11	3/8	V65	
12	12	0	I	
12	12	1/4	viio6/V	
12	12	3/8	V(64)	
12	12	5/8	V\\	
13	13	0	I	
13	13	3/8	I6	
14	14	0	V6	
14	14	3/8	V43	
15	15	0	vi7	
15	15	1/4	V6	
15	15	3/8	I	
15	15	5/8	ii6	
16	16	0	V(64)	
16	16	1/4	V	
16	16	3/8	I(97)	
16	16	5/8	I\\	
17	17	0	I	
17	17	1/4	V43	
17	17	3/8	I6	
17	17	5/8	IV	
18	18	0	V(64)	
18	18	1/4	V7	
18	18	3/8	I\\	
19	19	0	I	
19	19	1/2	I6	
20	20	0	V6	
20	20	1/2	V43	
21	21	0	vi7	
21	21	3/8	V6	
22	22	0	I	
22	22	1/4	ii6	
22	22	3/8	V\\	
23	23	0	I	
24	24	0	V	
24	24	1/4	V(64)	
24	24	1/2	V7	
25	25	0	vi	
25	25	1/4	V6	
25	25	3/8	I	
25	25	5/8	ii6	
26	26	0	V(64)	
26	26	1/4	V7	
26	26	3/8	I\\	
27	27	0	I[I6	
27	27	3/8	IV	
28	28	3/8	I6	
29	29	0	I6]	
29	29	3/8	V43	
30	30	0	I6	
30	30	1/4	vii%7/V	
30	30	3/8	V(64)	
30	30	5/8	V\\	
31	31	0	I	
31	31	1/2	I6	
32	32	0	V6	
32	32	1/2	V43	
33	33	0	vi7	
33	33	1/4	V6	
33	33	3/8	I	
33	33	5/8	ii6	
34	34	0	V(64)	
34	34	1/4	V7	
34	34	3/8	I(97)	
34	34	5/8	I\\	
35	35	0	I	
35	35	1/4	V43	
35	35	3/8	I6	
35	35	5/8	IV	
36	36	0	V(64)	
36	36	1/4	V7	
36	36	3/8	I\\	
37	37	0	I	
37	37	1/4	V43	
37	37	3/8	I6	
37	37	5/8	I	
38	38	0	V6	
38	38	1/4	I	
38	38	3/8	V43	
38	38	5/8	V65	
39	39	0	vi7	
39	39	3/8	V65	
40	40	0	I	
40	40	1/4	ii6	
40	40	3/8	V(64)	
40	40	5/8	V\\	
41	41	0	I	
42	42	0	V	
42	42	3/8	V7	
43	43	0	vi7	
43	43	1/4	V65	
43	43	3/8	I	
43	43	5/8	ii6	
44	44	0	V(64)	
44	44	1/4	V7	
44	44	3/8	I\\	
45	45	0	I[I6	
45	45	3/8	IV	
46	46	0	IV6	
46	46	1/8	iii6	
46	46	1/4	IV	
46	46	3/8	I6	
47	47	0	I6]	
47	47	3/8	V43	
48	48	0	I	
48	48	1/4	viio6/V	
48	48	3/8	V(64)	
