mc	mn	onset	chords
1	1	0	.Eb.I
1	1	1/2	V(64)
1	1	3/4	V
2	2	0	I
2	2	1/4	V
2	2	1/2	I
3	3	1/4	ii
3	3	1/2	V(64)
3	3	3/4	V\\
4	4	0	I
4	4	1/2	V(64)
4	4	3/4	V7
5	5	0	I
5	5	1/4	V
5	5	1/2	I
6	6	0	I+6
6	6	3/4	IV
7	7	0	I6
7	7	1/4	V(64)
7	7	3/8	V7(4)
7	7	7/16	V7
7	7	1/2	I\\
8	8	0	V.I
8	8	1/2	V(64)
8	8	3/4	V
8	8	7/8	V7(+9)
9	9	0	V
9	9	1/8	V7(+9)
9	9	1/4	V
9	9	1/2	I(974)
9	9	3/4	I\\
10	10	0	I6
10	10	1/2	IV
11	11	0	V7
11	11	1/2	vi(#4)
11	11	5/8	vi
12	12	0	I6
12	12	1/4	#viio65/ii
12	12	1/2	ii6
12	12	3/4	viio7/V
13	13	0	V(64)
13	13	1/4	V
13	13	1/2	I\\
13	13	3/4	V7
14	14	0	I
14	14	1/4	V7
14	14	1/2	I
14	14	3/4	V7
15	15	0	I\\
15	15	3/8	V7
15	15	1/2	I
15	15	5/8	V7
15	15	3/4	I
15	15	7/8	V7
16	16	0	I\\
16	16	1/4	I.ii43
16	16	1/2	viio7
16	16	5/8	V7
17	17	0	I
17	17	1/2	V(64)
17	17	3/4	V7
18	18	0	I
18	18	1/4	V
18	18	1/2	I
19	19	9/32	ii
19	19	1/2	V(64)
19	19	3/4	V\\
20	20	0	I
20	20	1/2	V(64)
20	20	3/4	V
21	21	0	I
21	21	1/4	V
21	21	1/2	I
22	22	0	I+6
22	22	1/2	V+65/IV
22	22	3/4	IV
23	23	0	I6
23	23	1/4	V(64)
23	23	3/8	V7(4)
23	23	7/16	V7
23	23	1/2	I\\
24	24	0	IV.I
24	24	1/4	I(94)
24	24	1/2	I
24	24	3/4	V7
25	25	0	I
25	25	1/4	I(94)
25	25	1/2	I
25	25	3/4	V7
26	26	0	I
26	26	3/8	IM7
26	26	1/2	I(64)
26	26	5/8	I
27	27	0	V[V43
27	27	1/2	I
28	28	0	V6
28	28	1/2	I]
29	29	0	V65/V
29	29	1/2	V
30	30	0	I.viio6/V
30	30	1/2	V7
30	30	3/4	.Ger65
31	31	0	V6
31	31	1/8	.Ger65
31	31	1/4	V6
31	31	3/8	.Ger65
31	31	1/2	V6\\
32	32	0	.bIII.I
32	32	1/4	I(94)
32	32	1/2	I
32	32	3/4	V7
33	33	0	I
33	33	1/4	I(94)
33	33	1/2	I
33	33	3/4	V7
34	34	0	I
34	34	1/4	V6
34	34	3/8	iv.iio64
34	34	1/2	V7
34	34	3/4	V(64)
34	34	7/8	V
35	35	0	i
35	35	1/4	V6
35	35	3/8	v.iv65
35	35	1/2	V7
35	35	3/4	V(64)
35	35	7/8	V
36	36	0	i
36	36	1/4	V6
36	36	3/8	vi.ii%43
36	36	1/2	V7
36	36	3/4	i6
36	36	7/8	V6
37	37	0	i
37	37	1/4	V6
37	37	3/8	III64
37	37	1/2	.Ger6(7)
37	37	3/4	.Ger6
38	38	0	V[V\\
38	38	1/4	viio43/V
38	38	1/2	V6
38	38	3/4	viio43/V
39	39	0	V6]
39	39	1/2	#viio43
39	39	3/4	I.V2/V
40	40	0	V6
40	40	1/2	V7
41	41	0	I
41	41	1/2	V(64)
41	41	3/4	V7
42	42	0	I
42	42	1/4	V
42	42	1/2	I
43	43	1/4	ii
43	43	1/2	V(64)
43	43	3/4	V\\
44	44	0	I
44	44	1/2	V(64)
44	44	3/4	V7
45	45	0	I
45	45	1/4	V
45	45	1/2	I
46	46	0	I+6
46	46	3/4	IV
47	47	0	I6
47	47	1/4	V(64)
47	47	3/8	V7(4)
47	47	7/16	V7
47	47	1/2	I[I\\
47	47	3/4	IV
48	48	0	I6
48	48	1/4	IV
48	48	1/2	I6]
48	48	3/4	ii6
49	49	0	V(64)
49	49	1/4	V7
49	49	1/2	I[I\\
49	49	3/4	IV
50	50	0	I6
50	50	1/4	IV
50	50	1/2	I6]
50	50	3/4	V43
51	51	0	I6
51	51	1/4	vi
51	51	1/2	ii6
51	51	3/4	V65/V
52	52	0	V
52	52	1/8	vi6
52	52	1/4	V6
52	52	3/8	viio6/V
52	52	1/2	V7\\
53	53	0	I
53	53	1/4	IV
53	53	1/2	V(64)
53	53	3/4	V7
54	54	0	I\\
54	54	1/4	V7
54	54	1/2	I
54	54	3/4	V7
55	55	0	I
55	55	1/4	V7
55	55	1/2	I
55	55	7/8	V7
56	56	0	I
56	56	1/8	V7
56	56	1/4	I
56	56	3/8	V7
56	56	1/2	I
56	56	3/4	V7
57	57	0	I
57	57	1/8	V7
57	57	1/4	I
57	57	3/8	V7
57	57	1/2	I\\
