mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	7.0	0	0	3/4	2	1	F.I[I{		F	I	I	I		I						{	M	0	0	0, 4, 1		0	0
3	3	7	1.0	1/4	1/4	3/4	2	1	viio6		F	I	I	viio6		vii	o	6					o	0	0	2, -1, 5		5	2
3	3	8	1.0	1/2	1/2	3/4	2	1	V7/IV		F	I	I	V7/IV		V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
4	4	9	3.0	0	0	3/4	2	1	IV		F	I	I	IV		IV							M	0	0	-1, 3, 0		-1	-1
5	5	12	3.0	0	0	3/4	2	1	V43		F	I	I	V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
6	6	15	3.0	0	0	3/4	2	1	I]		F	I	I	I		I							M	0	0	0, 4, 1		0	0
7	7	18	3.0	0	0	3/4	2	1	V65		F	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
8	8	21	1.0	0	0	3/4	2	1	I		F	I		I		I							M	0	0	0, 4, 1		0	0
8	8	22	1.0	1/4	1/4	3/4	2	1	V43		F	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
8	8	23	1.0	1/2	1/2	3/4	2	1	I6		F	I		I6		I		6					M	0	0	4, 1, 0		0	4
9	9	24	1.0	0	0	3/4	2	1	IV		F	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
9	9	25	1.0	1/4	1/4	3/4	2	1	ii6		F	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
9	9	26	1.0	1/2	1/2	3/4	2	1	V		F	I		V		V							M	0	0	1, 5, 2		1	1
10	10	27	3.0	0	0	3/4	2	1	V65|EC		F	I		V65		V		65			EC		Mm7	0	0	5, 2, -1, 1		1	5
11	11	30	1.0	0	0	3/4	2	1	I		F	I		I		I							M	0	0	0, 4, 1		0	0
11	11	31	1.0	1/4	1/4	3/4	2	1	viio6		F	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
