mc	mn	onset	chords
1	1	0	.Bb.I
1	1	1/2	V6(#7)
1	1	11/16	V6
2	2	0	IV6
2	2	1/4	IV
2	2	1/2	I6(7)
2	2	11/16	I6
3	3	0	IV
3	3	1/8	IV+
3	3	1/4	ii6
3	3	1/2	iii
3	3	3/4	I6
4	4	0	V65
4	4	1/4	I(4)
4	4	5/16	I
4	4	1/2	V(64)
4	4	3/4	V\\
5	5	0	i.i
5	5	1/2	v6(#7)
5	5	11/16	v6
6	6	0	iv6
6	6	1/4	iv
6	6	1/2	I6(#7)
6	6	11/16	i6
7	7	0	V7(b9)/V
7	7	5/16	V7/V
7	7	1/2	v.VI(4)
7	7	5/8	VI
7	7	3/4	ii%65
8	8	0	V(64)
8	8	1/4	V7(4)
8	8	3/8	V7
8	8	1/2	I\\
8	8	3/4	V.I
9	9	0	V65
9	9	1/2	I
10	10	0	V65
10	10	1/2	I
11	11	0	vi
11	11	1/4	IV
11	11	1/2	V7/ii
11	11	3/4	ii
11	11	7/8	V43
12	12	0	I6
12	12	1/8	ii6
12	12	1/4	V(64)
12	12	3/8	V7
12	12	1/2	I(79)
12	12	5/8	I\\
13	13	0	V65
13	13	1/2	I
14	14	0	V65
14	14	1/2	I
15	15	0	vi
15	15	1/4	IV
15	15	1/2	V7/ii
15	15	3/4	ii
15	15	7/8	V43
16	16	0	I6
16	16	1/8	ii6
16	16	1/4	V(64)
16	16	3/8	V
16	16	1/2	I
16	16	11/16	vi
16	16	3/4	viio6
17	17	0	I6
17	17	3/8	V65/IV
17	17	1/2	IV
17	17	3/4	ii6
18	18	0	V(64)
18	18	1/2	V7
19	19	0	I[I
19	19	3/16	V2/IV
19	19	1/4	IV6
19	19	3/8	ii6
19	19	1/2	I6
19	19	11/16	V2/IV
19	19	3/4	IV6
19	19	7/8	ii6
20	20	0	I6]
20	20	1/4	I.V7
20	20	1/2	V7\\
21	21	0	I
21	21	1/2	V6(#7)
21	21	11/16	V6
22	22	0	IV6
22	22	1/4	IV
22	22	1/2	I6(7)
22	22	11/16	I6
23	23	0	IV
23	23	1/8	IV+
23	23	1/4	ii6
23	23	1/2	I6
24	24	0	V65
24	24	1/4	I
24	24	1/2	V(64)
24	24	3/4	V\\
25	25	0	i.i
25	25	1/2	v6(#7)
25	25	11/16	v6
26	26	0	iv6
26	26	1/4	iv
26	26	1/2	I6(7)
26	26	11/16	I6
26	26	3/4	i6
27	27	0	V7(b9)/V
27	27	1/4	V7/V
27	27	1/2	v.VI(4)
27	27	5/8	VI
27	27	3/4	ii%65
28	28	0	V(64)
28	28	1/4	V7(4)
28	28	3/8	V7
28	28	1/2	I\\
28	28	3/4	I.I
29	29	0	V65/IV
29	29	1/2	I
30	30	0	V65
30	30	1/2	I
31	31	0	vi
31	31	1/4	IV
31	31	1/2	V7/ii
31	31	3/4	ii
31	31	7/8	V43
32	32	0	I6
32	32	1/8	ii6
32	32	1/4	V(64)
32	32	3/8	V7
32	32	1/2	I(97)
32	32	5/8	I\\
33	33	0	V65
33	33	1/2	I
34	34	0	V65
34	34	1/2	I
35	35	0	vi
35	35	1/4	IV
35	35	1/2	V7/ii
35	35	3/4	ii
35	35	7/8	V43
36	36	0	I6
36	36	1/8	ii6
36	36	1/4	V(64)
36	36	3/8	V
36	36	1/2	I
36	36	11/16	vi
36	36	3/4	viio6
37	37	0	I6
37	37	3/8	V65/IV
37	37	1/2	IV
37	37	3/4	ii6
38	38	0	V(64)
38	38	1/2	V7
39	39	0	I[I\\
39	39	3/16	V2/IV
39	39	1/4	IV6
39	39	3/8	ii6
39	39	1/2	I6
39	39	5/8	V2/IV
39	39	3/4	IV6
39	39	7/8	ii6
40	40	0	I6
40	40	1/8	viio6
40	40	1/4	I6
40	40	3/8	viio6
40	40	1/2	I(974)
40	40	3/4	I]\\
