mc	mn	onset	chords
2	1	0	.F.I
2	1	1/4	V43
2	1	1/2	I
3	2	0	V65
3	2	1/4	V7
3	2	1/2	I
4	3	0	ii6
4	3	1/4	V(64)
4	3	1/2	V7
5	4	0	IV6
5	4	1/4	V65
5	4	1/2	I
6	5	0	ii6
6	5	1/4	V(64)
6	5	1/2	V7
7	6	0	I\\
8	7	0	V(64)
8	7	1/4	V
9	8	0	I(94)
9	8	1/4	V2/IV
9	8	1/2	viio/IV
10	9	0	IV
10	9	1/2	V65/V
11	10	0	V\\
12	11	0	V.V43
13	12	0	I6
14	13	0	V65
15	14	0	I
16	15	0	V65/V
16	15	1/4	V
16	15	1/2	V7
16	15	7/12	V2
17	16	0	I6
17	16	1/6	IV
17	16	1/4	V(64)
17	16	1/2	V7
18	17	0	I6\\
19	18	0	viio7/V
19	18	1/4	V(b64)
19	18	5/12	V
19	18	1/2	vii%7
20	19	0	I(64)
20	19	1/6	I
20	19	1/4	#viio7/vi
20	19	1/2	vi(64)
20	19	2/3	vi
21	20	0	ii6
21	20	1/4	V(64)
21	20	1/2	V7
22	21	0	I
22	21	1/4	viio6
22	21	1/2	I6
23	22	0	ii65
24	23	0	viio7/V
25	24	0	V(64)
26	25	0	viio/V
26	25	1/4	V(4)
26	25	1/2	V
27	26	0	I\\
27	26	1/2	V7
28	27	0	I
28	27	1/2	V7
29	28	0	I(9#74)
29	28	1/2	I\\
31	29	0	I
32	30	0	V6
33	31	0	vi.iv6
34	32	0	V(64)
34	32	1/4	V
35	33	0	#viio43
35	33	1/4	i6
35	33	1/2	i
36	34	0	iio6
36	34	1/4	V(64)
36	34	1/2	V
37	35	0	#viio64
37	35	1/4	i6
37	35	1/2	i
38	36	0	iio6
38	36	1/4	V(64)
38	36	1/2	V
39	37	0	#viio65/iv
40	38	0	iv6
42	40	0	iv
43	41	0	I.V(64)
43	41	1/4	V7
45	43	0	I
45	43	1/4	V43
45	43	1/2	I
46	44	0	V65
46	44	1/4	V7
46	44	1/2	I
47	45	0	ii6
47	45	1/4	V(64)
47	45	1/2	V7
48	46	0	viio2
48	46	1/4	V7
48	46	1/2	viio2
49	47	0	V7
49	47	1/4	#viio7/vi
49	47	1/2	vi
50	48	0	V65/V
51	49	0	viio6/V
52	50	0	V\\
53	51	0	V43
54	52	0	I6
55	53	0	V65
56	54	0	I
57	55	0	V65/V
57	55	1/4	V
57	55	1/2	V7
57	55	2/3	V2
58	56	0	I6
58	56	1/6	IV
58	56	1/4	V(64)
58	56	1/2	V7
59	57	0	I6\\
60	58	0	viio7/V
60	58	1/4	V(b64)
60	58	5/12	V
60	58	1/2	vii%7
61	59	0	I(64)
61	59	1/6	I
61	59	1/4	#viio7/vi
61	59	1/2	vi(64)
61	59	2/3	vi
62	60	0	ii6
62	60	1/4	V(64)
62	60	1/2	V7
63	61	0	I
63	61	1/4	viio6
63	61	1/2	I6
64	62	0	ii6
64	62	1/4	V(64)
64	62	1/2	V7
65	63	0	I
65	63	1/4	viio6
65	63	1/2	I6
66	64	0	ii65
67	65	0	viio7/V
68	66	0	V(64)
69	67	0	V65/V
69	67	1/4	V(4)
69	67	1/2	V7
70	68	0	I\\
71	69	0	V(64)
71	69	1/4	V
72	70	0	I(42)
72	70	1/4	I
72	70	1/3	V2/IV
72	70	1/2	viio/IV
73	71	0	IV
73	71	1/4	V(64)
73	71	1/2	V7
74	72	0	I\\
74	72	1/2	V7
75	73	0	I
75	73	1/2	V7
76	74	0	I(974)
76	74	1/2	I\\
