mc	mn	timesig	onset	staff	voice	label
55	54	4/4	0	1	1	V6
55	54	4/4	1/2	1	1	I
56	55	4/4	0	1	1	IV
56	55	4/4	1/4	1	1	V/V/ii
56	55	4/4	3/8	1	1	#viio/ii
56	55	4/4	1/2	1	1	II
56	55	4/4	5/8	1	1	viio
56	55	4/4	3/4	1	1	I
56	55	4/4	7/8	1	1	viio7/V
57	56	4/4	0	1	1	V(4)
57	56	4/4	1/4	1	1	V
57	56	4/4	1/2	1	1	I}
58	57	4/4	0	1	1	I.V/ii{
58	57	4/4	1/2	1	1	ii6
58	57	4/4	3/4	1	1	ii
58	57	4/4	7/8	1	1	viio64/V
59	58	4/4	0	1	1	V65
59	58	4/4	1/2	1	1	I
59	58	4/4	3/4	1	1	I6
60	59	4/4	0	1	1	V6/ii
60	59	4/4	1/8	1	1	ii
60	59	4/4	1/4	1	1	V6
60	59	4/4	3/8	1	1	I
60	59	4/4	1/2	1	1	IV6
60	59	4/4	5/8	1	1	viio
60	59	4/4	3/4	1	1	V6/vi
60	59	4/4	7/8	1	1	vi
61	60	4/4	0	1	1	viio6/V
61	60	4/4	1/2	1	1	V
62	61	4/4	0	1	1	viio6/V
62	61	4/4	1/2	1	1	V
63	62	4/4	0	1	1	viio6/V
63	62	4/4	1/2	1	1	V}
64	63	4/4	0	1	1	I{
64	63	4/4	1/4	1	1	V43
64	63	4/4	1/2	1	1	I6(#11)
64	63	4/4	3/4	1	1	I
65	64	4/4	0	1	1	V6
65	64	4/4	1/4	1	1	I
65	64	4/4	1/2	1	1	V64
65	64	4/4	3/4	1	1	V2
66	65	4/4	0	1	1	I6
66	65	4/4	1/2	1	1	V6
67	66	4/4	0	1	1	I
67	66	4/4	3/8	1	1	ii6
67	66	4/4	1/2	1	1	V(64)}
67	66	4/4	3/4	1	1	V
68	67	4/4	0	1	1	I{
68	67	4/4	1/4	1	1	V43
68	67	4/4	1/2	1	1	I6(#11)
68	67	4/4	3/4	1	1	I
69	68	4/4	0	1	1	V6
69	68	4/4	1/4	1	1	I
69	68	4/4	1/2	1	1	V64
69	68	4/4	3/4	1	1	V2
70	69	4/4	0	1	1	I6
70	69	4/4	1/2	1	1	ii6
71	70	4/4	0	1	1	V(64)
71	70	4/4	1/4	1	1	V7
71	70	4/4	1/2	1	1	I}
71	70	4/4	7/8	1	1	{
72	71	4/4	0	1	1	I(64)
72	71	4/4	1/2	1	1	I
73	72	4/4	0	1	1	V7
73	72	4/4	1/2	1	1	I(#97)
73	72	4/4	3/4	1	1	I
74	73	4/4	0	1	1	I(64)
74	73	4/4	1/2	1	1	I
75	74	4/4	0	1	1	V7
75	74	4/4	1/2	1	1	I(#97)
75	74	4/4	3/4	1	1	I
76	75	4/4	1/4	1	1	vi
76	75	4/4	1/2	1	1	viio6/V
76	75	4/4	7/8	1	1	V2/V
77	76	4/4	0	1	1	V6(4)
77	76	4/4	1/8	1	1	V6
77	76	4/4	3/8	1	1	V
77	76	4/4	1/2	1	1	IV6
77	76	4/4	7/8	1	1	viio
78	77	4/4	0	1	1	I
78	77	4/4	1/4	1	1	viio6
78	77	4/4	3/8	1	1	viio/IV
78	77	4/4	1/2	1	1	IV
78	77	4/4	5/8	1	1	iv
78	77	4/4	3/4	1	1	I64
78	77	4/4	7/8	1	1	.It6
79	78	4/4	0	1	1	V(64)
79	78	4/4	1/4	1	1	V
79	78	4/4	1/2	1	1	#viio7/vi
79	78	4/4	3/4	1	1	vi
80	79	4/4	0	1	1	vi6
80	79	4/4	1/2	1	1	viio7/V
81	80	4/4	0	1	1	viio2
81	80	4/4	1/2	1	1	viio7
82	81	4/4	0	1	1	I
82	81	4/4	1/4	1	1	V6
82	81	4/4	3/8	1	1	V2/IV
82	81	4/4	1/2	1	1	IV6
82	81	4/4	5/8	1	1	.It6
82	81	4/4	3/4	1	1	I64
82	81	4/4	7/8	1	1	V+6/IV
83	82	4/4	0	1	1	IV
83	82	4/4	1/4	1	1	viio7/V
84	83	4/4	0	1	1	V(64)
85	84	4/4	0	1	1	V7
86	85	4/4	0	1	1	I}
87	86	4/4	0	1	1	I(64)
88	87	4/4	0	1	1	I
89	88	4/4	0	1	1	V7
90	89	4/4	0	1	1	I
