mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	4.0	0	0	4/4	2	1	a.i[i{	a	i	i	i		i						{	m	1	1	0, -3, 1		0	0
2	2	4	4.0	0	0	4/4	2	1	V43	a	i	i	V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
3	3	8	4.0	0	0	4/4	2	1	i	a	i	i	i		i							m	1	1	0, -3, 1		0	0
4	4	12	4.0	0	0	4/4	2	1	V43	a	i	i	V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
5	5	16	4.0	0	0	4/4	2	1	i]	a	i	i	i		i							m	1	1	0, -3, 1		0	0
6	6	20	1.0	0	0	4/4	2	1	iv(9#7)	a	i		iv(9#7)		iv			9#7				m	1	1	-1, -4, 0	1, 4	-1	-1
6	6	21	1.0	1/4	1/4	4/4	2	1	iv65	a	i		iv65		iv		65					mm7	1	1	-4, 0, -3, -1		-1	-4
6	6	22	2.0	1/2	1/2	4/4	2	1	VII	a	i		VII		VII							M	1	1	-2, 2, -1		-2	-2
7	7	24	1.0	0	0	4/4	2	1	III(7#2)	a	i		III(7#2)		III			7#2				M	1	1	-3, 6, -2	2	-3	-3
7	7	25	1.0	1/4	1/4	4/4	2	1	IIIM65	a	i		IIIM65		III	M	65					MM7	1	1	1, -2, 2, -3		-3	1
7	7	26	3.0	1/2	1/2	4/4	2	1	VI	a	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
8	8	29	1.0	1/4	1/4	4/4	2	1	iio6	a	i		iio6		ii	o	6					o	1	1	-1, -4, 2		2	-1
8	8	30	1.0	1/2	1/2	4/4	2	1	V(64)	a	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
8	8	31	1.0	3/4	3/4	4/4	2	1	V7	a	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
9	9	32	4.0	0	0	4/4	2	1	i[i}{	a	i	i	i		i						}{	m	1	1	0, -3, 1		0	0
10	10	36	4.0	0	0	4/4	2	1	#viio65	a	i	i	#viio65		#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
11	11	40	4.0	0	0	4/4	2	1	i]	a	i	i	i		i							m	1	1	0, -3, 1		0	0
12	12	44	4.0	0	0	4/4	2	1	V43/VI	a	i		V43/VI		V		43		VI			Mm7	1	1	-2, -5, -3, 1		-3	-2
13	13	48	1.0	0	0	4/4	2	1	VI	a	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
13	13	49	1.0	1/4	1/4	4/4	2	1	iv6	a	i		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
13	13	50	2.0	1/2	1/2	4/4	2	1	V43/iv	a	i		V43/iv		V		43		iv			Mm7	1	1	1, -2, 0, 4		0	1
14	14	52	1.0	0	0	4/4	2	1	IV	a	i		IV		IV							M	1	1	-1, 3, 0		-1	-1
14	14	53	1.0	1/4	1/4	4/4	2	1	V65/III	a	i		V65/III		V		65		III			Mm7	1	1	2, -1, -4, -2		-2	2
14	14	54	1.0	1/2	1/2	4/4	2	1	III(#9)	a	i		III(#9)		III			#9				M	1	1	-3, 1, -2	6	-3	-3
14	14	55	1.0	3/4	3/4	4/4	2	1	i	a	i		i		i							m	1	1	0, -3, 1		0	0
15	15	56	3.0	0	0	4/4	2	1	III.ii6	a	III		ii6		ii		6					m	1	0	-1, 3, 2		2	-1
15	15	59	1.0	3/4	3/4	4/4	2	1	viio/V	a	III		viio/V		vii	o			V			o	1	0	6, 3, 0		6	6
16	16	60	2.0	0	0	4/4	2	1	V[V}{	a	III	V	V		V						}{	M	1	0	1, 5, 2		1	1
16	16	62	1.0	1/2	1/2	4/4	2	1	i	a	III	V	i		i							m	1	0	0, -3, 1		0	0
16	16	63	1.0	3/4	3/4	4/4	2	1	V7	a	III	V	V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
17	17	64	3.0	0	0	4/4	2	1	i	a	III	V	i		i							m	1	0	0, -3, 1		0	0
17	17	67	1.0	3/4	3/4	4/4	2	1	viio43/V	a	III	V	viio43/V		vii	o	43		V			o7	1	0	0, -3, 6, 3		6	0
18	18	68	2.0	0	0	4/4	2	1	V	a	III	V	V		V							M	1	0	1, 5, 2		1	1
18	18	70	1.0	1/2	1/2	4/4	2	1	i	a	III	V	i		i							m	1	0	0, -3, 1		0	0
18	18	71	1.0	3/4	3/4	4/4	2	1	V7	a	III	V	V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
19	19	72	3.0	0	0	4/4	2	1	i	a	III	V	i		i							m	1	0	0, -3, 1		0	0
19	19	75	1.0	3/4	3/4	4/4	2	1	viio43/V	a	III	V	viio43/V		vii	o	43		V			o7	1	0	0, -3, 6, 3		6	0
20	20	76	1.0	0	0	4/4	2	1	V]	a	III	V	V		V							M	1	0	1, 5, 2		1	1
20	20	77	1.0	1/4	1/4	4/4	2	1	i	a	III		i		i							m	1	0	0, -3, 1		0	0
20	20	78	1.0	1/2	1/2	4/4	2	1	V	a	III		V		V							M	1	0	1, 5, 2		1	1
20	20	79	1.0	3/4	3/4	4/4	2	1	i	a	III		i		i							m	1	0	0, -3, 1		0	0
21	21	80	1.0	0	0	4/4	2	1	V	a	III		V		V							M	1	0	1, 5, 2		1	1
21	21	81	1.0	1/4	1/4	4/4	2	1	i	a	III		i		i							m	1	0	0, -3, 1		0	0
21	21	82	0.5	1/2	1/2	4/4	2	1	V	a	III		V		V							M	1	0	1, 5, 2		1	1
21	21	165/2	0.5	5/8	5/8	4/4	2	1	i	a	III		i		i							m	1	0	0, -3, 1		0	0
21	21	83	0.5	3/4	3/4	4/4	2	1	V	a	III		V		V							M	1	0	1, 5, 2		1	1
21	21	167/2	0.5	7/8	7/8	4/4	2	1	i	a	III		i		i							m	1	0	0, -3, 1		0	0
22	22	84	4.0	0	0	4/4	2	1	V}	a	III		V		V						}	M	1	0	1, 5, 2		1	1
22	22	173/2	0.0	5/8	5/8	4/4	2	1	{	a	III										{		1	0				
23	23	88	4.0	0	0	4/4	2	1	I6	a	III		I6		I		6					M	1	0	4, 1, 0		0	4
24	24	92	4.0	0	0	4/4	2	1	ii	a	III		ii		ii							m	1	0	2, -1, 3		2	2
25	25	96	4.0	0	0	4/4	2	1	V7	a	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
26	26	100	4.0	0	0	4/4	2	1	I	a	III		I		I							M	1	0	0, 4, 1		0	0
27	27	104	4.0	0	0	4/4	2	1	I6	a	III		I6		I		6					M	1	0	4, 1, 0		0	4
28	28	108	4.0	0	0	4/4	2	1	ii6	a	III		ii6		ii		6					m	1	0	-1, 3, 2		2	-1
29	29	112	2.0	0	0	4/4	2	1	I6(2)	a	III		I6(2)		I		6	2				M	1	0	4, 1, 2		0	4
29	29	114	2.0	1/2	1/2	4/4	2	1	I6	a	III		I6		I		6					M	1	0	4, 1, 0		0	4
30	30	116	1.0	0	0	4/4	2	1	ii7	a	III		ii7		ii		7					mm7	1	0	2, -1, 3, 0		2	2
30	30	117	1.0	1/4	1/4	4/4	2	1	ii6	a	III		ii6		ii		6					m	1	0	-1, 3, 2		2	-1
30	30	118	1.0	1/2	1/2	4/4	2	1	V	a	III		V		V							M	1	0	1, 5, 2		1	1
30	30	119	1.0	3/4	3/4	4/4	2	1	V65	a	III		V65		V		65					Mm7	1	0	5, 2, -1, 1		1	5
31	31	120	1.0	0	0	4/4	2	1	I	a	III		I		I							M	1	0	0, 4, 1		0	0
31	31	121	1.0	1/4	1/4	4/4	2	1	V43	a	III		V43		V		43					Mm7	1	0	2, -1, 1, 5		1	2
31	31	122	1.0	1/2	1/2	4/4	2	1	I6	a	III		I6		I		6					M	1	0	4, 1, 0		0	4
31	31	123	1.0	3/4	3/4	4/4	2	1	V65/IV	a	III		V65/IV		V		65		IV			Mm7	1	0	4, 1, -2, 0		0	4
32	32	124	1.5	0	0	4/4	2	1	IV	a	III		IV		IV							M	1	0	-1, 3, 0		-1	-1
32	32	251/2	6.5	3/8	3/8	4/4	2	1	ii6	a	III		ii6		ii		6					m	1	0	-1, 3, 2		2	-1
34	34	132	2.0	0	0	4/4	2	1	V(64)	a	III		V(64)		V			64				M	1	0	1, 0, 4		1	1
34	34	134	2.0	1/2	1/2	4/4	2	1	V7	a	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
