mc	mn	onset	chords	volta
1	1	0	.F.I6	
1	1	1/2	I	
2	2	0	V2	
2	2	1/2	I6	
3	3	0	V2	
3	3	1/2	I6	
4	4	0	V43	
4	4	1/4	V65	
4	4	1/2	I	
4	4	3/4	I6	
5	5	0	IV	
5	5	1/2	vi	
5	5	3/4	V65/V	
6	6	0	V(4)	
6	6	1/4	V	
6	6	1/2	V\\	
7	7	0	I6	
7	7	1/2	I	
8	8	0	V2	
8	8	1/2	I6	
9	9	0	V2	
9	9	1/2	I6	
10	10	0	V43	
10	10	1/4	V65	
10	10	1/2	I	
10	10	3/4	vi	
11	11	0	IV	
11	11	3/8	ii6	
11	11	1/2	V(64)	
11	11	3/4	V7	
12	12	0	I(74)	
12	12	1/2	I\\	
13	13	0	V.I6	
13	13	1/2	IV	
14	14	0	V7	
14	14	1/2	vi	
15	15	0	I6	
15	15	1/2	IV	
16	16	0	V7	
16	16	1/2	vi	
17	17	0	ii6	
18	18	0	V(64)	
18	18	1/2	V\\	
19	19	0	IV6	
19	19	1/2	I64	
20	20	0	V2	
20	20	1/2	I6	
21	21	0	IV6	
21	21	1/2	I64	
22	22	0	V2	
22	22	1/2	I6\\	
23	23	0	viio6/V	
23	23	3/4	V	
24	24	0	V65	
24	24	3/4	I	
25	25	0	IV6	
25	25	1/2	V(64)	
25	25	3/4	V	
26	26	0	I(97)	
26	26	1/2	I\\	
27	27	0	V7/V	
27	27	3/4	V	
28	28	0	V9	
28	28	3/4	I	
29	29	0	ii6	
29	29	1/2	V(64)	
29	29	3/4	V7	
30	30	0	I\\	
30	30	1/4	V[I	
31	31	0	V65	
32	32	0	I	
33	33	0	V65]	
34	34	0	I\\	
34	34	3/8	I	
35	35	3/8	I.V7	
39	39	0	I6	
39	39	1/2	I	
40	40	0	V2	
40	40	1/2	I6	
41	41	0	V2	
41	41	1/2	I6	
42	42	0	V43	
42	42	1/4	V65	
42	42	1/2	I	
42	42	3/4	I6	
43	43	0	IV	
43	43	1/2	vi	
43	43	3/4	V65/V	
44	44	0	V(4)	
44	44	1/4	V	
44	44	1/2	V\\	
45	45	0	I6	
45	45	1/2	I	
46	46	0	V2	
46	46	1/2	I6	
47	47	0	V2	
47	47	1/2	I6	
48	48	0	V43	
48	48	1/4	V65	
48	48	1/2	I	
48	48	3/4	vi	
49	49	0	IV	
49	49	3/8	ii6	
49	49	1/2	V(64)	
49	49	3/4	V7	
50	50	0	I(74)	
50	50	1/2	I\\	
51	51	0	vi.i	
52	52	0	V43	
52	52	1/4	i	
52	52	1/2	V65	
53	53	0	#viio43	
54	54	0	i6	
54	54	1/4	#viio6	
54	54	1/2	i\\	
55	55	0	V2	
55	55	1/2	i6	
56	56	0	V2	
56	56	1/2	i6	
57	57	0	V43	
57	57	1/4	V65	
57	57	1/2	i(4)	
57	57	3/4	.Ger6	
58	58	0	V\\	
59	59	0	i	
60	60	0	V43	
60	60	1/4	i	
60	60	1/2	V65	
61	61	0	#viio43	
62	62	0	i6	
62	62	1/4	#viio6	
62	62	1/2	i\\	
63	63	0	.bII6	
63	63	1/4	#viio2	
63	63	1/2	i6(2)	
63	63	5/8	i6	
64	64	0	.bII6	
64	64	1/4	#viio2	
64	64	1/2	i6	
65	65	0	iio6(2)	
65	65	1/8	iio6	
65	65	1/2	V(64)	
65	65	3/4	V	
66	66	0	i(#74)	
67	67	0	i\\	
67	67	1/2	IV.V2	
68	68	0	I	
69	69	0	V43	
69	69	1/2	V7	
70	70	0	I	
71	71	0	V43	
71	71	1/2	V7	
72	72	0	I	
73	73	0	I.V43/ii	
74	74	0	ii	
74	74	1/2	ii2	
75	75	0	V65	
75	75	1/2	V43	
76	76	0	i.i	
77	77	0	VI	
78	78	1/2	.Ger6	
79	79	0	V\\	
79	79	5/8	viio/V	
80	80	0	V	
80	80	1/8	viio/V	
80	80	1/2	V	
80	80	5/8	viio/V	
81	81	0	V	
81	81	1/8	iii	
81	81	1/2	IV	
82	82	0	iii	
82	82	1/8	V6/ii	
82	82	1/2	ii	
82	82	5/8	V6	
83	83	0	I6	
83	83	1/2	I	
84	84	0	V2	
84	84	1/2	I6	
85	85	0	V2	
85	85	1/2	I6	
86	86	0	V43	
86	86	1/4	V65	
86	86	1/2	I	
87	87	0	IV	
87	87	1/2	vi	
87	87	3/4	V65/V	
88	88	0	V(4)	
88	88	1/4	V	
88	88	1/2	V\\	
89	89	0	I6	
89	89	1/2	I	
90	90	0	V2	
90	90	1/2	I6	
91	91	0	V2	
91	91	1/2	I6	
92	92	0	V65	
92	92	1/2	I	
92	92	3/4	vi	
93	93	0	IV	
93	93	3/8	ii6	
93	93	1/2	V(64)	
93	93	3/4	V7	
94	94	0	I(74)	
94	94	1/2	I\\	
95	95	0	i.i	
95	95	1/2	iv7	
96	96	0	V7/III	
96	96	1/2	IIIM7	
97	97	0	VIM7	
97	97	1/2	ii7	
98	98	0	V7	
98	98	1/2	i\\	
98	98	5/8	.bIII.V2	
98	98	3/4	I6	
98	98	7/8	viio6	
99	99	0	I	
100	100	1/4	V65	
100	100	3/4	I	
101	101	0	ii6	
101	101	1/2	V(64)	
101	101	3/4	V7	
102	102	0	I(94)	
102	102	1/2	I\\	
