mc	mn	onset	label	volta
1	1	0	.a.i[i	
1	1	3/8	#viio64	
2	2	0	i	
2	2	3/8	V43	
3	3	0	i	
3	3	3/8	V6	
4	4	0	i]	
4	4	1/4	V	
5	5	0	iv6	
5	5	3/8	i64	
6	6	0	iv	
6	6	3/8	i6	
7	7	0	#viio6	
7	7	3/8	i	
8	8	0	V\\	
9	9	0	i[i	
9	9	3/8	#viio64	
10	10	0	i	
10	10	3/8	V43	
11	11	0	i	
11	11	3/8	V6	
12	12	0	i]	
12	12	1/4	V	
13	13	0	iv	
13	13	3/8	i6	
14	14	0	iv6	
14	14	3/8	iv64	
15	15	0	iio6	
15	15	1/4	V(4)	
15	15	3/8	V	
16	16	0	VI	
16	16	1/4	iv6	
17	17	0	iv	
17	17	3/8	i6	
18	18	0	#viio6	
18	18	3/8	i	
19	19	0	iio6	
19	19	1/4	V(64)	
19	19	3/8	V	
20	20	0	i\\	
21	21	0	III.IV6	
22	22	0	I64	
23	23	0	IV	
24	24	0	I6	
26	26	0	IV	
26	26	1/4	I6	
27	27	0	viio6(6)	
27	27	1/8	viio6	
27	27	1/4	I(4)	
27	27	3/8	I	
28	28	0	V(64)	
28	28	1/4	V\\	
29	29	0	iii.i[i	
29	29	3/8	V2	
30	30	0	i6	
30	30	3/8	#viio6	
31	31	0	i]	
31	31	3/8	iv6	
32	32	0	V(64)	
32	32	1/4	V\\	
33	33	0	III.V[V7	
33	33	3/8	I	
34	34	0	V2	
34	34	3/8	I6	
35	35	0	viio	
35	35	3/8	I6]	
36	36	0	V65	
36	36	1/4	I	
37	37	0	I6	
37	37	3/8	viio6	
38	38	0	vi6	
38	38	3/8	V6	
39	39	0	IV6	
39	39	3/8	iii6	
40	40	0	ii6	
40	40	3/8	#viio6/ii	
41	41	0	ii6	
41	41	1/4	V6/ii	
42	42	0	ii	
42	42	3/8	ii6	
43	43	0	V(64)	
43	43	1/4	V	
44	44	0	I(97)	
44	44	1/4	I\\	
45	45	0	I6	
45	45	3/8	viio6	
46	46	0	vi6	
46	46	3/8	V6	
47	47	0	IV6	
47	47	3/8	iii6	
48	48	0	ii6	
48	48	3/8	#viio6/ii	
49	49	0	ii6	
49	49	1/4	V6/ii	
50	50	0	ii	
51	51	0	V(64)	
51	51	1/4	V	
52	52	0	#viio43/ii	
53	53	0	ii6	
53	53	1/4	V6/ii	
54	54	0	ii	
55	55	0	V(64)	
55	55	1/4	V	
56	56	0	#viio43/ii	
57	57	0	ii6	
58	58	0	#viio43/iii	
59	59	0	iii6	
60	60	0	vi	
61	61	0	vi6	
62	62	0	v.iio6	
62	62	3/8	viio/V	
63	63	0	V\\	
64	64	0	i6	
64	64	3/8	V64	
65	65	0	i	
65	65	3/8	V6	
66	66	0	i	
66	66	3/8	V43	
67	67	0	i	
67	67	1/4	V6	
68	68	0	V43	
68	68	3/8	i	
69	69	0	V6	
69	69	3/8	i	
70	70	0	V43	
70	70	3/8	i6	
71	71	0	V43	
71	71	1/4	i	
72	72	0	i6	
72	72	3/8	#viio6	
73	73	0	VI6	
73	73	3/8	v6	
74	74	0	iv6	
74	74	3/8	III6	
75	75	0	.bII6	
75	75	3/8	i6	
76	76	0	#viio6	
76	76	1/4	V65	
77	77	0	i	
77	77	1/4	iv	
78	78	0	V(64)	
78	78	1/4	V	
79	79	0	i\\	
80	80	0	i6	
80	80	3/8	#viio6	
81	81	0	i	
81	81	3/8	v6	
82	82	0	iv6	
82	82	3/8	III6	
83	83	0	.bII6	
83	83	3/8	i6	
84	84	0	#viio6	
84	84	1/4	V65	
85	85	0	i	
85	85	1/4	iv	
86	86	0	V(64)	
86	86	1/4	V	
87	87	0	i.V\\	
87	87	3/8	V65	
88	88	0	i	
89	89	0	iv	
90	90	0	V7/III	
91	91	0	III	
92	92	0	VIM7	
93	93	0	iio	
94	94	0	V7	
95	95	0	i	
95	95	3/8	v6	
96	96	0	iv6(9)	
96	96	1/4	iv6	
96	96	3/8	ii%65	
97	97	0	V7	
97	97	3/8	i6	
98	98	0	ii6(9)	
98	98	1/4	ii6	
98	98	3/8	viio/V	
99	99	0	V\\	
100	100	0	.It6(2)	
100	100	1/4	.It6	
101	101	0	V	
102	102	0	.It6(2)	
102	102	1/4	.It6	
103	103	0	V	
104	104	0	.It6(2)	
104	104	1/4	.It6	
105	105	0	V\\	
106	106	0	V7	
107	107	0	i[i	
107	107	3/8	#viio64	
108	108	0	i6	
108	108	3/8	V43	
109	109	0	i	
109	109	3/8	V6	
110	110	0	i]	
110	110	1/4	V	
111	111	0	iv6	
111	111	3/8	i64	
112	112	0	iv	
112	112	3/8	i6	
113	113	0	#viio6	
113	113	3/8	i	
114	114	0	V\\	
115	115	0	i[i	
115	115	3/8	#viio64	
116	116	0	i6	
116	116	3/8	V43	
117	117	0	i	
117	117	3/8	V6	
118	118	0	i]	
118	118	1/4	V	
119	119	0	iv	
119	119	3/8	i6	
120	120	0	iv6	
120	120	3/8	i64	
121	121	0	iio6	
121	121	1/4	V(4)	
121	121	3/8	V	
122	122	0	VI	
122	122	1/4	iv6	
123	123	0	iv	
123	123	3/8	i6	
124	124	0	#viio6	
124	124	3/8	i	
125	125	0	V6	
125	125	3/8	viio65/V	
126	126	0	V7	
127	127	0	i	
127	127	3/8	v	
128	128	0	VI	
128	128	3/8	III	
129	129	0	iv	
129	129	3/8	i	
130	130	0	iio	
130	130	3/8	VI	
131	131	0	#viio43	
132	132	0	i6	
132	132	1/4	VI	
133	133	0	iio6(2)	
133	133	1/8	iio6	
133	133	1/4	V(4)	
133	133	3/8	V	
134	134	0	i\\	
135	135	0	i	
135	135	3/8	v	
136	136	0	VI	
136	136	3/8	III	
137	137	0	iv	
137	137	3/8	i	
138	138	0	iio	
138	138	3/8	VI	
139	139	0	#viio43	
140	140	0	i6	
140	140	1/4	VI	
141	141	0	iio6(2)	
141	141	1/8	iio6	
141	141	1/4	V(4)	
141	141	3/8	V	
142	142	0	i\\	
143	143	0	I.I[I	
144	144	1/8	ii6	
145	145	0	viio6	
146	146	1/8	I6	
148	148	0	IV	
149	149	1/8	viio6	
150	150	1/8	V	
150	150	1/4	I6	
152	152	1/8	ii6	
153	153	1/8	viio6	
154	154	0	I]	
155	155	0	V7/V	
156	156	0	V.I	
156	156	1/4	ii6	
157	157	0	V(64)	
157	157	1/4	V	
158	158	0	I\\	
160	160	0	I.I	
161	161	0	#viio43/ii	
162	162	0	ii6	
165	165	0	viio43	
166	166	0	I6	
167	167	0	I[I	
168	168	1/8	ii6	
169	169	1/8	viio6	
170	170	1/8	V	
170	170	1/4	I6	
171	171	0	V2	
172	172	0	I6	
173	173	0	V2]	
174	174	0	I\\	1
175	174	0	i[I\\	2
176	175	0	i.i	
176	175	3/8	#viio64	
177	176	0	i6	
177	176	3/8	V43	
178	177	0	i	
178	177	3/8	V6	
179	178	0	i]	
179	178	1/4	V	
180	179	0	iv6	
180	179	3/8	i64	
181	180	0	iv	
181	180	3/8	i6	
182	181	0	#viio6	
182	181	3/8	i	
183	182	0	V\\	
184	183	0	i[i	
184	183	3/8	#viio64	
185	184	0	i6	
185	184	3/8	V43	
186	185	0	i	
186	185	3/8	V6	
187	186	0	i]	
187	186	1/4	V	
188	187	0	iv	
188	187	3/8	i6	
189	188	0	iv6	
189	188	3/8	i64	
190	189	0	iio6	
190	189	1/4	V(4)	
190	189	3/8	V	
191	190	0	VI	
191	190	1/4	iv6	
192	191	0	iv	
192	191	3/8	i6	
193	192	0	#viio6	
193	192	3/8	i	
194	193	0	iio6(42)	
194	193	1/4	V(64)	
194	193	3/8	V	
195	194	0	i\\	
196	195	0	#viio7/iv	
197	196	0	iv	
198	197	0	viio7/V	
199	198	0	V	
200	199	0	iv6	
200	199	3/8	V	
201	200	0	iv6	
201	200	3/8	V	
202	201	0	iv6	
202	201	3/8	V	
203	202	0	iv6	
203	202	3/8	V	
204	203	0	i6	
204	203	3/8	V43	
205	204	0	i	
205	204	3/8	V43	
206	205	0	i6	
206	205	3/8	iio6	
207	206	0	i6	
207	206	1/4	V43	
208	207	0	V[V7	
208	207	3/8	i	
209	208	0	V	
209	208	3/8	i	
210	209	0	V7	
210	209	3/8	i	
211	210	0	V7]	
211	210	1/4	i	
212	211	0	i6	
212	211	3/8	VII6	
213	212	0	VI6	
213	212	3/8	v6	
214	213	0	iv6	
214	213	3/8	III6	
215	214	0	iio6	
215	214	3/8	i6	
216	215	0	#viio6	
216	215	1/4	V65	
217	216	0	i	
217	216	1/4	iv	
218	217	0	V(64)	
218	217	1/4	V	
219	218	0	i\\	
220	219	0	i6	
220	219	3/8	VII6	
221	220	0	VI6	
221	220	3/8	v6	
222	221	0	iv6	
222	221	3/8	III6	
223	222	0	iio6	
223	222	3/8	i6	
224	223	0	#viio6	
224	223	1/4	V65	
225	224	0	i	
225	224	1/4	iv	
226	225	0	V(64)	
226	225	1/4	V\\	
227	226	0	#viio43/iv	
228	227	0	iv6	
229	228	0	viio43/V	
230	229	0	V6	
231	230	0	#viio43	
232	231	0	i6	
232	231	1/4	iv	
233	232	0	V(64)	
233	232	1/4	V\\	
234	233	0	i	
234	233	3/8	v	
235	234	0	VI	
235	234	3/8	III	
236	235	0	iv	
236	235	3/8	i	
237	236	0	iio	
237	236	3/8	VI	
238	237	0	iio6	
