mc	mn	onset	chords
1	0	1/2	.c.i
3	2	0	#viio6
4	3	0	#viio7
5	4	0	i
6	5	0	i6
6	5	1/2	#viio/iv
7	6	0	iv
7	6	1/2	#viio6/iv
8	7	0	iv6
8	7	1/2	viio6/V
9	8	0	V(#74)
9	8	1/4	V\\
10	9	0	i
11	10	0	#viio6
12	11	0	#viio7
13	12	0	#viio43/iv
14	13	0	V65/iv
15	14	0	iv
15	14	1/4	i64
15	14	1/2	.It6
16	15	0	V(64)
16	15	1/2	V7
17	16	0	i\\
18	17	0	V[V7
19	18	0	i
20	19	0	V7
21	20	0	i]
22	21	0	#viio43
23	22	0	i6
24	23	0	#viio6
25	24	0	V65\\
27	26	0	i
28	27	0	viio43/V
29	28	0	V65
29	28	1/2	i
30	29	0	iio6
30	29	1/4	V(64)
30	29	1/2	V
31	30	0	i\\
32	31	0	V[V7
33	32	0	i
34	33	0	V7
35	34	0	i]
36	35	0	#viio43
37	36	0	i6
38	37	0	#viio6
39	38	0	V65\\
41	40	0	i
42	41	0	viio43/V
43	42	0	V65
43	42	1/2	i
44	43	0	iio6
44	43	1/4	V(64)
44	43	1/2	V
45	44	0	i\\
46	45	0	V7/III
47	46	0	III.I[I
49	48	0	V43
51	50	0	I(9)
51	50	1/2	I
53	52	0	V43
55	54	0	I(9)
55	54	1/2	I]
57	56	0	viio6/V
58	57	0	.bVI
58	57	1/2	.Ger6
59	58	0	V\\
60	59	1/2	.It6
61	60	0	V
62	61	1/2	.It6
63	62	0	V\\
69	68	0	I6
71	70	0	IV
72	71	0	ii6
73	72	0	viio7/V
74	73	0	V(64)
74	73	1/2	V7
75	74	0	I\\
76	75	0	V65
77	76	0	V2/IV
78	77	0	IV6
79	78	0	I6
80	79	0	ii6
81	80	0	V(64)
82	81	0	V7
83	82	0	I\\
84	83	0	V65
85	84	0	V2/IV
86	85	0	IV6
87	86	0	I6
88	87	0	ii6
89	88	0	V(64)
90	89	0	V7
91	90	0	I\\
92	91	0	V7
93	92	0	I
94	93	0	V2
95	94	0	I6
96	95	0	V2
97	96	0	I6
99	98	0	V2/V
101	100	0	i.#viio65
102	101	0	ii%2
103	102	0	V65\\
105	104	0	i
106	105	0	#viio6
107	106	0	#viio7
108	107	0	i
109	108	0	i6
109	108	1/2	#viio/iv
110	109	0	iv
110	109	1/2	#viio6/iv
111	110	0	iv6
111	110	1/2	viio6/V
112	111	0	V(#74)
112	111	1/4	V\\
113	112	0	i
114	113	0	#viio6
115	114	0	#viio7
116	115	0	#viio43/iv
117	116	0	V65/iv
118	117	0	iv
118	117	1/4	i64
118	117	1/2	.It6
119	118	0	V(64)
119	118	1/2	V
120	119	0	i\\
121	120	0	V[V7
122	121	0	i
123	122	0	V7
124	123	0	i]
125	124	0	#viio43
126	125	0	i6
127	126	0	#viio6
128	127	0	V65\\
130	129	0	i
131	130	0	viio43/V
132	131	0	V65
132	131	1/2	i
133	132	0	iio6
133	132	1/4	V(64)
133	132	1/2	V
134	133	0	i\\
135	134	0	V[V7
136	135	0	i
137	136	0	V7
138	137	0	i]
139	138	0	#viio43
140	139	0	i6
141	140	0	#viio6
142	141	0	V65\\
144	143	0	#viio7/iv
147	146	0	iv.i
148	147	0	#viio
149	148	0	i
150	149	0	V65
151	150	0	i(6)
151	150	1/2	i
152	151	0	V65
153	152	0	i(6)
153	152	1/2	i
154	153	0	v.iv6
155	154	0	V7
155	154	1/4	#viio7\\
158	157	0	i
159	158	0	#viio
160	159	0	i
161	160	0	V65
162	161	0	i(6)
162	161	1/2	i
163	162	0	V65
164	163	0	i(6)
164	163	1/2	i
165	164	0	i.V
166	165	0	V65(9)
167	166	0	V65\\
168	167	0	i[i
170	169	0	V43
172	171	0	i(9)
172	171	1/2	i
174	173	0	V43
176	175	0	i(9)
176	175	1/2	i]
177	176	0	V2/iv
178	177	0	IV6
179	178	0	VI
179	178	1/2	.Ger6
180	179	0	V\\
181	180	1/2	.It6
182	181	0	V
183	182	1/2	.It6
184	183	0	V\\
192	191	0	iv6
193	192	0	#viio2
194	193	0	V6/iv
194	193	1/2	V2/iv
195	194	0	IV6
195	194	1/2	.It6
196	195	0	V
196	195	1/2	viio7/V
197	196	0	V(64)
197	196	1/2	V7
198	197	0	i\\
199	198	0	V65
200	199	0	V2/iv
201	200	0	iv6
202	201	0	i6
203	202	0	iio6
204	203	0	V(64)
205	204	0	V7
206	205	0	i\\
207	206	0	V65
208	207	0	V2/iv
209	208	0	IV6
210	209	0	.Ger6
211	210	0	V(64)
212	211	0	viio7/V
214	213	0	V7
215	214	0	#viio2
216	215	0	V7
217	216	0	#viio2
218	217	0	V7\\
222	221	0	i
223	222	0	#viio6
224	223	0	#viio7
225	224	0	i
226	225	0	i6
226	225	1/2	#viio/iv
227	226	0	iv
227	226	1/2	#viio6/iv
228	227	0	iv6
228	227	1/2	viio6/V
229	228	0	V(#74)
229	228	1/4	V\\
230	229	0	i6
231	230	0	#viio65(2)
232	231	0	#viio65\\
234	233	0	#viio7
235	234	0	#viio43(2)/iv
236	235	0	#viio43/iv
238	237	0	V65/iv
239	238	0	iv(9)
240	239	0	iv\\
242	241	0	#viio43
243	242	0	V6/V
246	245	0	viio65/V
247	246	0	V(64)
248	247	0	V7
249	248	0	i\\
250	249	0	V[V7
251	250	0	i
252	251	0	V7
253	252	0	i]
254	253	0	#viio43
255	254	0	i6
256	255	0	#viio6
257	256	0	V65\\
259	258	0	i
260	259	0	viio43/V
261	260	0	V65
261	260	1/2	i
262	261	0	iio6
262	261	1/4	V(64)
262	261	1/2	V
263	262	0	i\\
264	263	0	V[V7
265	264	0	i
266	265	0	V7
267	266	0	i]
268	267	0	#viio43
269	268	0	i6
270	269	0	#viio6
271	270	0	V65\\
273	272	0	iv.#viio7\\
276	275	0	i
277	276	0	#viio
278	277	0	i
279	278	0	V65
280	279	0	i(6)
280	279	1/2	i
281	280	0	V65
282	281	0	i(6)
282	281	1/2	i
283	282	0	#viio
284	283	0	i(6)
284	283	1/2	i
285	284	0	i.viio7/V
286	285	0	V(64)
287	286	0	V7
288	287	0	i\\
289	288	0	V7
290	289	0	i
291	290	0	V2
292	291	0	i6
293	292	0	V2
294	293	0	i6
295	294	0	V65/iv
296	295	0	iv
297	296	0	V7
298	297	0	VI
299	298	0	iio6
300	299	0	V(64)
301	300	0	V
302	301	0	VI
305	304	0	viio7/V
306	305	0	V(64)
307	306	0	VI
308	307	0	ii%65
309	308	0	V
310	309	0	i\\
311	310	0	V43
312	311	0	i
313	312	0	V43
314	313	0	i
315	314	0	V7
316	315	0	i
317	316	0	V7
318	317	0	i\\
