mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2.0	0	0	4/4	2	1		C.I{	C	I		I		I						{	M	0	0	0, 4, 1		0	0
1	1	2	2	1.0	1/2	1/2	4/4	2	1		V43	C	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
1	1	3	3	0.5	3/4	3/4	4/4	2	1		V65	C	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
1	1	7/2	7/2	0.5	7/8	7/8	4/4	2	1		V7	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
2	2	4	4	0.5	0	0	4/4	2	1		I	C	I		I		I							M	0	0	0, 4, 1		0	0
2	2	9/2	9/2	0.5	1/8	1/8	4/4	2	1		iii64	C	I		iii64		iii		64					m	0	0	5, 4, 1		4	5
2	2	5	5	0.5	1/4	1/4	4/4	2	1		IV6	C	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
2	2	11/2	11/2	0.5	3/8	3/8	4/4	2	1		ii6	C	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
2	2	6	6	1.0	1/2	1/2	4/4	2	1		V(64)	C	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
2	2	7	7	0.5	3/4	3/4	4/4	2	1		V	C	I		V		V							M	0	0	1, 5, 2		1	1
2	2	15/2	15/2	0.5	7/8	7/8	4/4	2	1		viio64	C	I		viio64		vii	o	64					o	0	0	-1, 5, 2		5	-1
3	3	8	8	1.5	0	0	4/4	2	1		I6	C	I		I6		I		6					M	0	0	4, 1, 0		0	4
3	3	19/2	19/2	0.5	3/8	3/8	4/4	2	1		I	C	I		I		I							M	0	0	0, 4, 1		0	0
3	3	10	10	1.0	1/2	1/2	4/4	2	1		V43	C	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
3	3	11	11	0.5	3/4	3/4	4/4	2	1		V65	C	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
3	3	23/2	23/2	0.5	7/8	7/8	4/4	2	1		V7	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
4	4	12	12	0.5	0	0	4/4	2	1		I	C	I		I		I							M	0	0	0, 4, 1		0	0
4	4	25/2	25/2	0.5	1/8	1/8	4/4	2	1		ii6	C	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
4	4	13	13	0.5	1/4	1/4	4/4	2	1		V(64)	C	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
4	4	27/2	27/2	0.5	3/8	3/8	4/4	2	1		V7	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
4	4	14	14	1.0	1/2	1/2	4/4	2	1		I(974)}	C	I		I(974)		I			974			}	M	0	0	0, -1, 1	2, 5	0	0
4	4	15	15	2.0	3/4	3/4	4/4	2	1		I|PAC	C	I		I		I					PAC		M	0	0	0, 4, 1		0	0
5	5	16	16	0.0	0	0	4/4	2	1		{	C	I										{		0	0				
5	5	17	17	1.0	1/4	1/4	4/4	2	1		V65	C	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
5	5	18	18	0.5	1/2	1/2	4/4	2	1		I	C	I		I		I							M	0	0	0, 4, 1		0	0
5	5	37/2	37/2	0.5	5/8	5/8	4/4	2	1		V64	C	I		V64		V		64					M	0	0	2, 1, 5		1	2
5	5	19	19	0.5	3/4	3/4	4/4	2	1		I6	C	I		I6		I		6					M	0	0	4, 1, 0		0	4
5	5	39/2	39/2	0.5	7/8	7/8	4/4	2	1		I	C	I		I		I							M	0	0	0, 4, 1		0	0
6	6	20	20	0.5	0	0	4/4	2	1		V.I6	C	V		I6		I		6					M	0	0	4, 1, 0		0	4
6	6	41/2	41/2	0.5	1/8	1/8	4/4	2	1		viio6	C	V		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
6	6	21	21	0.5	1/4	1/4	4/4	2	1		I6	C	V		I6		I		6					M	0	0	4, 1, 0		0	4
6	6	43/2	43/2	0.5	3/8	3/8	4/4	2	1		I	C	V		I		I							M	0	0	0, 4, 1		0	0
6	6	22	22	0.5	1/2	1/2	4/4	2	1		V43	C	V		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
6	6	45/2	45/2	0.5	5/8	5/8	4/4	2	1		V65	C	V		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
6	6	23	23	1.0	3/4	3/4	4/4	2	1		I}	C	V		I		I						}	M	0	0	0, 4, 1		0	0
7	7	24	24	2.0	0	0	4/4	2	1		ii6{	C	V		ii6		ii		6				{	m	0	0	-1, 3, 2		2	-1
7	7	26	26	2.0	1/2	1/2	4/4	2	1		viio6	C	V		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
8	8	28	28	0.25	0	0	4/4	2	1		I6	C	V		I6		I		6					M	0	0	4, 1, 0		0	4
8	8	113/4	113/4	0.25	1/16	1/16	4/4	2	1		viio	C	V		viio		vii	o						o	0	0	5, 2, -1		5	5
8	8	57/2	57/2	0.25	1/8	1/8	4/4	2	1		I	C	V		I		I							M	0	0	0, 4, 1		0	0
8	8	115/4	115/4	0.25	3/16	3/16	4/4	2	1		viio6	C	V		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
8	8	29	29	0.5	1/4	1/4	4/4	2	1		I6	C	V		I6		I		6					M	0	0	4, 1, 0		0	4
8	8	59/2	59/2	0.5	3/8	3/8	4/4	2	1		ii6	C	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
8	8	30	30	0.5	1/2	1/2	4/4	2	1		V(64)	C	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
8	8	61/2	61/2	0.5	5/8	5/8	4/4	2	1		vii%7/V	C	V		vii%7/V		vii	%	7		V			%7	0	0	6, 3, 0, 4		6	6
8	8	31	31	1.0	3/4	3/4	4/4	2	1		V|HC}	C	V		V		V					HC	}	M	0	0	1, 5, 2		1	1
9	9	32	32	2.0	0	0	4/4	2	1		I{	C	V		I		I						{	M	0	0	0, 4, 1		0	0
9	9	34	34	2.0	1/2	1/2	4/4	2	1		V43	C	V		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
10	10	36	36	2.0	0	0	4/4	2	1		I	C	V		I		I							M	0	0	0, 4, 1		0	0
10	10	38	38	2.0	1/2	1/2	4/4	2	1		V43	C	V		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
11	11	40	40	1.5	0	0	4/4	2	1		I6	C	V		I6		I		6					M	0	0	4, 1, 0		0	4
11	11	83/2	83/2	0.5	3/8	3/8	4/4	2	1		V65/IV	C	V		V65/IV		V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4
11	11	42	42	0.5	1/2	1/2	4/4	2	1		IV(#2)	C	V		IV(#2)		IV			#2				M	0	0	-1, 8, 0		-1	-1
11	11	85/2	85/2	1.5	5/8	5/8	4/4	2	1		IV	C	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
12	12	44	44	0.5	0	0	4/4	2	1		I6	C	V		I6		I		6					M	0	0	4, 1, 0		0	4
12	12	89/2	89/2	0.5	1/8	1/8	4/4	2	1		ii6	C	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
12	12	45	45	0.5	1/4	1/4	4/4	2	1		V(64)	C	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
