mc	mn	onset	chords
1	1	0	.D.I
1	1	3/4	viio6
2	2	0	I6
3	3	1/2	ii7
3	3	3/4	V7
4	4	0	I\\
4	4	3/4	viio6
5	5	0	I6
6	6	1/2	ii7
6	6	3/4	V7
7	7	0	I\\
8	8	0	V43
9	9	0	V7
9	9	3/4	V2
10	10	0	I6
11	11	0	I
11	11	5/8	I6
12	12	0	ii6
12	12	7/8	viio/V
13	13	0	V
13	13	1/8	V2
13	13	1/4	I6
13	13	1/2	V65
13	13	3/4	I
14	14	0	V
14	14	1/8	V2
14	14	1/4	I6
14	14	1/2	V65
14	14	3/4	I
15	15	0	V
15	15	1/4	I
15	15	1/2	V
15	15	3/4	I
16	16	0	V\\
17	17	0	V.I
17	17	1/4	V43
17	17	1/2	I6
17	17	3/4	I
18	18	0	ii
18	18	1/2	V65
19	19	0	I6
19	19	1/4	V6
19	19	1/2	I
19	19	3/4	IV6
20	20	0	V(64)
20	20	1/2	V\\
21	21	0	I
21	21	1/4	V43
21	21	1/2	I6
21	21	3/4	I
22	22	0	ii
22	22	1/2	V65
23	23	0	I
23	23	1/4	ii6
23	23	1/2	V(64)
23	23	3/4	V
24	24	0	I\\
24	24	1/2	V65
25	25	0	I
25	25	1/2	V65
26	26	0	I
26	26	1/2	V2
27	27	0	I6
27	27	1/2	V65
28	28	0	I
28	28	1/4	I6
28	28	1/2	ii7
28	28	3/4	I
29	29	0	IV
30	30	0	I6
30	30	1/2	ii7
30	30	3/4	I
31	31	0	ii6
31	31	1/2	V(64)
31	31	3/4	V7
32	32	0	I\\
32	32	1/4	I6
32	32	1/2	ii7
32	32	3/4	I
33	33	0	IV
34	34	0	I6
34	34	1/2	ii7
34	34	3/4	I
35	35	0	ii6
35	35	1/2	V(64)
35	35	3/4	V7
36	36	0	I
36	36	3/8	V7
36	36	1/2	I
36	36	7/8	V7
37	37	0	I
37	37	1/4	V7
37	37	1/2	I
38	38	0	ii6
38	38	1/2	V(64)
38	38	3/4	V
39	39	0	I(9#74)
39	39	1/2	I\\
40	40	0	ii.#viio
41	41	0	V7
42	42	0	i6
42	42	1/2	V65
43	43	0	V2
43	43	1/2	i6
44	44	0	I.viio
45	45	0	V7
46	46	0	I6
46	46	1/2	V65
47	47	0	V2
47	47	1/2	I6
48	48	0	I
48	48	1/4	vi
48	48	1/2	I64
48	48	3/4	vii%7/V
49	49	0	V65/V
49	49	1/2	#viio/vi
50	50	0	vi.i(9)
50	50	1/4	iio(4)/v
50	50	1/2	v64
50	50	3/4	viio7/V
51	51	0	V65/V
51	51	1/2	viio/VI
52	52	0	VI
52	52	1/2	.Ger6
53	53	0	V7
53	53	1/2	viio7/V
54	54	0	V(64)
54	54	1/2	V7
55	55	0	i(9#74)
55	55	1/2	i\\
56	56	0	i
56	56	1/2	IV.V43
57	57	0	I
57	57	1/2	vii%7
58	58	1/4	I6
58	58	1/2	ii7
58	58	3/4	I
59	59	0	IV
60	60	0	I6
60	60	1/2	ii7
60	60	3/4	I
61	61	0	ii6
61	61	1/2	V(64)
61	61	3/4	V7
62	62	0	I\\
62	62	1/4	I6
62	62	1/2	ii7
62	62	3/4	I
63	63	0	IV
64	64	0	I6
64	64	1/2	ii7
64	64	3/4	I
65	65	0	ii6
65	65	1/2	V(64)
65	65	3/4	V7
66	66	0	I\\
66	66	3/8	V65
66	66	1/2	I
66	66	7/8	V65
67	67	0	I
67	67	3/8	V65
67	67	1/2	I
67	67	5/8	V65
67	67	3/4	I
67	67	7/8	viio6/V
68	68	0	I.I6
68	68	3/8	V65
68	68	1/2	I
68	68	7/8	V65
69	69	0	I
69	69	3/8	V65/ii
69	69	1/2	ii
69	69	7/8	V65/ii
70	70	0	ii
70	70	3/8	vii%65
70	70	1/2	I6
70	70	7/8	V64
71	71	0	I6
71	71	3/8	viio/IV
71	71	1/2	IV
71	71	5/8	I6
71	71	3/4	IV
71	71	7/8	V6/ii
72	72	0	ii
72	72	1/8	V6/ii
72	72	1/4	ii
72	72	3/8	V6
72	72	1/2	I
72	72	5/8	V6
72	72	3/4	I
72	72	7/8	V6/vi
73	73	0	vi
73	73	1/8	V6/vi
73	73	1/4	vi
73	73	3/8	#viio43/ii
73	73	1/2	ii6
74	74	3/4	V65/V
75	75	0	V\\
75	75	1/8	V2
75	75	1/4	I6
75	75	1/2	V65
75	75	3/4	I
76	76	0	V
76	76	1/8	V2
76	76	1/4	I6
76	76	1/2	V65
76	76	3/4	I
77	77	0	V
77	77	1/4	I
77	77	1/2	V
77	77	3/4	I
78	78	0	V\\
79	79	0	I
79	79	1/4	V43
79	79	1/2	I6
80	80	0	ii
80	80	1/2	V65
81	81	0	I6
81	81	1/4	V6
81	81	1/2	I
81	81	3/4	IV6
82	82	0	V(64)
82	82	1/2	V\\
83	83	0	i.i
83	83	1/2	i6
84	84	0	iio
84	84	1/2	V65
85	85	0	i
85	85	1/4	v6
85	85	1/2	.Ger6
86	86	0	V(#764)
86	86	1/2	V
87	87	0	I
87	87	1/2	V65
88	88	0	I
88	88	1/2	V65
89	89	0	I
89	89	1/2	V2
90	90	0	I6
90	90	1/2	V65
91	91	0	I
91	91	1/4	I6
91	91	1/2	ii7
91	91	3/4	I
92	92	0	IV
93	93	0	I6
93	93	1/2	ii7
93	93	3/4	I
94	94	0	ii6
94	94	1/2	V(64)
94	94	3/4	V7
95	95	0	I
95	95	1/4	I6
95	95	1/2	I(42)
95	95	3/4	I
96	96	0	IV
97	97	0	I6
97	97	1/2	ii7
97	97	3/4	I
98	98	0	ii6
98	98	1/2	V(64)
98	98	3/4	V7
99	99	0	I\\
99	99	1/2	I
99	99	3/4	viio6
100	100	0	I6
101	101	0	I6
101	101	1/2	ii7
101	101	3/4	V7
102	102	0	I
102	102	3/4	viio6
103	103	0	I6
104	104	0	I6
104	104	1/2	ii7
104	104	3/4	V7
105	105	0	I6
105	105	1/2	IV
106	106	0	V(64)
106	106	1/2	V7
107	107	0	I6
107	107	1/2	IV
108	108	0	V(64)
108	108	1/2	V7
109	109	0	I
109	109	3/8	V7
109	109	1/2	I
109	109	7/8	V7
110	110	0	I
110	110	1/4	#viio7/vi
110	110	1/2	vi
111	111	0	ii6
111	111	1/2	V(64)
111	111	3/4	V7
112	112	0	I(974)
112	112	1/2	I
